axis,log_growth_rate_per_step,fit_start,fit_end,fit_count,initial,final,max
1,,,,2,4.1962674101691695e-17,0.37204961640757206,0.37204961640757206
2,,,,2,4.177779673371281e-17,0.34674212620436023,0.3587826096379447
3,,,,3,4.0101027344478575e-17,0.34440845983780477,0.34440845983780477
4,,,,3,3.6779117343014654e-17,0.308018059867555,0.31637738536175675
5,,,,3,3.526556175827545e-17,0.29346682731824275,0.2979699122104837
6,,,,3,3.455625135744089e-17,0.27602747565218116,0.29092415654192616
7,,,,3,3.030318004306093e-17,0.2676234465504041,0.2691774577323941
8,,,,3,2.939517110399996e-17,0.2580610662918329,0.2598057557649083
9,,,,4,2.7380559910801185e-17,0.22180231503931816,0.23719733049609218
10,,,,6,2.519497913432211e-17,0.20901300304466575,0.21294186218490743
11,,,,6,2.3172977382230878e-17,0.19179933913165353,0.19929860753224746
12,,,,8,2.0841805621424755e-17,0.16691001557837662,0.18612793208628298
13,0.1838799832265582,1.0,13.0,13,1.7456771585729282e-17,0.11680227387927991,0.15821411141365407
14,0.11906610391399275,1.0,22.0,22,1.49417333449114e-17,0.10201137409556822,0.13294721416113903
15,0.11324656789393149,1.0,25.0,25,1.1222696908433255e-17,0.06077495706000672,0.10053211374997272
