step,H_total,abs_ZtZ,sum_a2,sum_b2,sum_ab,r2_min,r2_max,simplex_rank
0,3.6201925420978673,9.086931299160258e-15,1.8100962710489303,1.8100962710489368,-3.219646771412954e-15,0.021602467708721235,0.041862635138415816,15
1,3.6201925420978607,1.589839758910881e-14,1.8100962710489246,1.8100962710489357,-5.703770789011742e-15,0.021601492805205364,0.041864794689958414,15
2,3.620192542097856,1.4238826706916544e-14,1.8100962710489226,1.810096271048933,-4.829470157119431e-15,0.021599651571927343,0.041870533979587905,15
3,3.6201925420978562,1.970606775961879e-14,1.8100962710489215,1.8100962710489346,-7.077671781985373e-15,0.021596944554694294,0.04187985050306623,15
4,3.6201925420978642,2.837061112676485e-14,1.8100962710489235,1.810096271048941,-1.1088352458443751e-14,0.021593372506758184,0.0418927408248156,15
5,3.6201925420978576,2.97627270649254e-14,1.8100962710489195,1.8100962710489386,-1.1712852909795402e-14,0.021588936388536727,0.04190920057889404,15
6,3.6201925420978656,2.3667548932349095e-14,1.8100962710489248,1.8100962710489412,-8.770761894538737e-15,0.021583637367265155,0.041929224470162146,15
7,3.6201925420978744,2.135325743809934e-14,1.8100962710489297,1.810096271048945,-7.563394355258879e-15,0.021577476816577863,0.04195280627564199,15
8,3.6201925420978642,2.7406153886882172e-14,1.8100962710489232,1.8100962710489412,-1.0297318553398327e-14,0.02157045631602093,0.04197993884606836,15
9,3.6201925420978833,2.6507373945200305e-14,1.810096271048933,1.8100962710489505,-9.992007221626409e-15,0.02156257765049634,0.04201061410763422,15
10,3.6201925420978815,3.5394355783055905e-14,1.8100962710489301,1.8100962710489512,-1.426636586643326e-14,0.021553842809635355,0.0420448230639239,15
11,3.620192542097882,3.4880488306047334e-14,1.8100962710489306,1.8100962710489512,-1.429412144204889e-14,0.021544253987106226,0.042082555798045054,15
12,3.6201925420978793,3.855656073729861e-14,1.810096271048929,1.81009627104895,-1.625088952295073e-14,0.0215338135798515,0.04212380147494916,15
13,3.620192542097883,3.853901403378217e-14,1.8100962710489306,1.8100962710489523,-1.587618925213974e-14,0.021522524187259345,0.04216854834394831,15
14,3.620192542097893,3.9441522601134903e-14,1.810096271048935,1.810096271048958,-1.6014967130217883e-14,0.021510388610266946,0.04221678374142421,15
15,3.6201925420978793,3.8066607527714436e-14,1.8100962710489283,1.8100962710489505,-1.544597783009749e-14,0.021497409850397685,0.042268494093732664,15
16,3.6201925420978833,3.6948957841677006e-14,1.8100962710489306,1.8100962710489528,-1.4863110742169283e-14,0.02148359110873272,0.04232366492030326,15
