step,edge_index,i,j,a,b,a2,b2,ab,r2,theta,z2_re,z2_im,z2_phase_pi,a2n,b2n,abn,z2n_re,z2n_im
5000,0,1,2,-0.0811676807615179,0.0417748839990033,0.0065881924002036,0.0017451409331301,-0.0033907704482805,0.0083333333333338,2.6662749831948127,0.0048430514670735,-0.006781540896561,-0.3025966271291415,0.7905830880243877,0.20941691197560028,-0.4068924537936372,0.5811661760487874,-0.8137849075872744
5000,1,1,3,-0.0814053992946025,0.0413097361286681,0.0066268390343136,0.0017064942990201,-0.0033628355643089,0.0083333333333338,2.671997290982905,0.0049203447352934,-0.0067256711286178,-0.2989536928476688,0.7952206841175875,0.20477931588240053,-0.40354026771704543,0.5904413682351749,-0.8070805354340909
5000,2,1,4,-0.0201918808592647,-0.0890259584654899,0.0004077120526347,0.0079256212806991,0.001797601546717,0.0083333333333338,-1.7938318500447732,-0.0075179092280643,0.003595203093434,0.8580111759587793,0.04892544631616126,0.9510745536838388,0.21571218560602792,-0.9021491073676655,0.43142437121205585
5000,3,1,5,0.0833878769657137,-0.0371455960846621,0.006953538024849,0.0013797953084848,-0.0030974923961259,0.0083333333333338,-0.4190683728160673,0.0055737427163641,-0.0061949847922518,-0.2667872121086175,0.8344245629818333,0.16557543701816674,-0.37169908753508724,0.6688491259636545,-0.7433981750701745
5000,4,1,6,0.0080677525997372,0.0909298889327558,6.508863201056716e-05,0.0082682447013233,0.000733599847831,0.0083333333333338,1.4823030709871825,-0.0082031560693127,0.0014671996956621,0.9436634436316268,0.007810635841267621,0.9921893641587406,0.08803198173971508,-0.9843787283174689,0.17606396347944214
5000,5,1,7,-0.0689061414793932,-0.059877182630412,0.0047480563335781,0.0035852769997557,0.0041259056177186,0.0083333333333338,-2.4261896455023795,0.0011627793338224,0.0082518112354372,0.4554397001596924,0.56976676002934,0.43023323997065993,0.4951086741262043,0.13953352005868017,0.9902173482524086
5000,6,1,8,-0.0806210300937868,0.0428203554393305,0.0064997504933832,0.0018335828399506,-0.0034522211645009,0.0083333333333338,2.6533512521966003,0.0046661676534326,-0.0069044423290018,-0.3108241298153633,0.7799700592059403,0.2200299407940597,-0.4142665397400848,0.5599401184118807,-0.8285330794801696
5000,7,1,9,0.043300473416233,0.0803641856504747,0.0018749309980699,0.0064584023352639,0.0034798072843755,0.0083333333333338,1.076590196886569,-0.004583471337194,0.0069596145687511,0.6853786060750973,0.22499171976837543,0.7750082802316246,0.4175768741250366,-0.5500165604632492,0.8351537482500853
5000,8,1,10,0.0834260086293784,-0.0370598761129168,0.0069598989158291,0.0013734344175047,-0.0030917575443999,0.0083333333333338,-0.4180406410550752,0.0055864644983243,-0.0061835150887998,-0.2661329377488797,0.8351878698994453,0.1648121301005548,-0.3710109053279672,0.6703757397988785,-0.7420218106559344
5000,9,1,11,-0.0306774493559153,-0.0859780636810874,0.0009411058989847,0.0073922274343491,0.0026375876942962,0.0083333333333338,-1.91352107529683,-0.0064511215353643,0.0052751753885924,0.7818146486239624,0.11293270787815768,0.8870672921218423,0.31651052331552626,-0.7741345842436728,0.6330210466310525
5000,10,1,12,0.0808297911524132,-0.0424249713681827,0.0065334551377427,0.0017998781955911,-0.0034292015753373,0.0083333333333338,-0.4833435225507972,0.0047335769421516,-0.0068584031506746,-0.3077060433016335,0.7840146165290801,0.2159853834709199,-0.411504189040453,0.5680292330581602,-0.823008378080906
5000,11,1,13,-0.069341549405881,-0.0593724082324916,0.0048082504740082,0.0035250828593256,0.0041169747787994,0.0083333333333338,-2.4334920771245425,0.0012831676146826,0.0082339495575989,0.450790827802661,0.5769900568809517,0.4230099431190483,0.4940369734559003,0.15398011376190338,0.9880739469118127
5000,12,1,14,0.0388450067594319,0.0826099193995101,0.0015089345501403,0.0068243987831935,0.00320898287747,0.0083333333333338,1.131253570036042,-0.0053154642330532,0.0064179657549401,0.7201783902463588,0.18107214601682586,0.8189278539831741,0.3850779452963784,-0.6378557079663483,0.7701558905927689
5000,13,1,15,-0.0810781404942235,0.0419484024407703,0.006573664866001,0.0017596684673328,-0.003401098466601,0.0083333333333338,2.664136026711765,0.0048139963986682,-0.006802196933202,-0.3039583291184836,0.7888397839200758,0.2111602160799242,-0.40813181599209714,0.5776795678401516,-0.8162636319841943
5000,14,1,16,0.0375577180916894,0.083203071728627,0.0014105821882548,0.006922751145079,0.0031249175123463,0.0083333333333338,1.1467802522034742,-0.0055121689568242,0.0062498350246927,0.7300629831134133,0.16926986259056653,0.8307301374094335,0.374990101481535,-0.661460274818867,0.749980202963082
5000,15,2,3,-0.0536180813233403,-0.0738812201343314,0.0028748986447963,0.0054584346885375,0.0039613692694301,0.0083333333333338,-2.19858518107461,-0.0025835360437411,0.0079227385388603,0.6003372024935442,0.3449878373755367,0.6550121626244634,0.4753643123315854,-0.31002432524891466,0.9507286246631829
5000,16,2,4,-0.0903142151955929,0.0132919474471576,0.0081566574663958,0.0001766758669379,-0.0012004518021111,0.0083333333333338,2.995467191852505,0.0079799815994578,-0.0024009036042222,-0.0930263581882998,0.9787988959674412,0.02120110403254681,-0.14405421625332393,0.9575977919348824,-0.28810843250664786
5000,17,2,5,-0.0822943066193335,0.0395092448849252,0.0067723529019568,0.0015609804313769,-0.0032513859128583,0.0083333333333338,2.6939938930625846,0.0052113724705798,-0.0065027718257167,-0.2849502210388432,0.8126823482347705,0.1873176517652175,-0.39016630954297415,0.625364696469541,-0.7803326190859603
5000,18,2,6,-0.0002315385577922,-0.0912867992824271,5.361010374450695e-08,0.0083332797232301,2.113641385132217e-05,0.0083333333333338,-1.5733327073351144,-0.0083332261131263,4.227282770264434e-05,0.998385289997849,6.4332124493404745e-06,0.999993566787556,0.0025363696621585187,-0.9999871335751002,0.005072739324317037
5000,19,2,7,0.037544607924976,0.0832089883912411,0.0014095975842401,0.0069237357490936,0.003124048844983,0.0083333333333338,1.1469378149026777,-0.0055141381648535,0.006248097689966,0.7301632906431138,0.16915171010880253,0.8308482898911855,0.37488586139793906,-0.6616965797823829,0.7497717227958781
5000,20,2,8,0.0514902403059696,0.0753796291219808,0.0026512448467664,0.0056820884865673,0.0038813152176656,0.0083333333333338,0.9715172511869274,-0.0030308436398008,0.0077626304353313,0.6184870913018001,0.3181493816119502,0.6818506183880378,0.46575782611984595,-0.36370123677607563,0.9315156522397039
5000,21,2,9,0.0670603636898072,-0.0619373954499595,0.0044970923782092,0.0038362409551246,-0.0041535442648736,0.0083333333333338,-0.7457054001059661,0.0006608514230845,-0.0083070885297473,-0.4747308020687363,0.5396510853850738,0.4603489146149262,-0.4984253117848041,0.07930217077013556,-0.9968506235696203
5000,22,2,10,-0.0418926870500334,-0.0811069423974411,0.001754997228272,0.0065783361050618,0.003397787755441,0.0083333333333338,-2.04756589432626,-0.0048233388767897,0.0067955755108821,0.6964790664463933,0.2105996673926282,0.7894003326073719,0.40773453065289716,-0.5788006652147316,0.8154690613058064
