step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9,takagi_r10,takagi_r11,takagi_r12,takagi_r13,takagi_r14,takagi_r15,takagi_r16
0,0.3171622983586931,0.310879910702207,0.309444251124773,0.2954812954869786,0.29180435975646896,0.2520675016384823,0.2289806830080029,0.21600553743616144,0.18112614713882955,0.16638902290293311,0.1430742502790266,0.14157667788561287,0.12429703843945168,0.10344348268146118,0.08447727934511688,2.325168046043542e-09
1,0.31716268369130923,0.31088079473562424,0.3094446806810533,0.29548229465505205,0.29180478476147154,0.25206845804500816,0.2289809702983915,0.21600496843345113,0.1811259864970639,0.16638867526994225,0.14307468439794938,0.14157614575594074,0.12429670745523382,0.10344474596411085,0.08447665052018173,2.272804700276155e-09
2,0.3171640687729129,0.31088225784697776,0.3094455511972364,0.29548402024255965,0.29180547489346365,0.2520704108994108,0.2289816986225767,0.216004469353752,0.18112500360921122,0.1663878514391507,0.14307649999159627,0.14157459864908292,0.12429564924363357,0.10344752024713082,0.08447530943836425,4.009693729951158e-09
3,0.3171664537138886,0.31088430010641377,0.3094468636254871,0.2954864721263338,0.29180643056338745,0.2520733600046505,0.2289828678643327,0.2160040403517561,0.1811231993938384,0.166386551985121,0.1430796926733327,0.14157204103200266,0.12429386481894007,0.1034518040223695,0.0844732557413249,2.6106075406019837e-09
4,0.317169838854605,0.3108869216493957,0.30944861944772567,0.2954896501828649,0.29180765244840057,0.25207730513448245,0.2289844779493156,0.21600368175308196,0.18112057517739735,0.16638477773904994,0.1430842555128876,0.14156848004902983,0.12429135569869082,0.1034575951001259,0.08447048881633745,2.7514346714310367e-09
5,0.31717422476313567,0.3108901226765402,0.3094508206715585,0.2954935542880655,0.29180914148961123,0.25208224603215684,0.2289865288444944,0.21600339405332636,0.18111713269366633,0.16638252978852147,0.14309017918995534,0.14156392536645304,0.12428812390145982,0.10346489061056681,0.08446700779838617,2.63478265682989e-09
6,0.3171796122322117,0.3108939034533674,0.3094534698249525,0.2954981843169492,0.2918108988891122,0.25208818240866654,0.22898902055739168,0.21600317791682278,0.18111287408306548,0.16637980947722247,0.1430974521984518,0.1415583889658547,0.12428417194394814,0.10347368700553723,0.08446281157291066,8.993946067126224e-10
7,0.31718600227540783,0.31089826430995093,0.3094565699496694,0.2955035401432103,0.29181292610631343,0.2520951139405395,0.2289919531351304,0.21600303417510305,0.18110780189184328,0.16637661840461673,0.14310606109198187,0.14155188489562295,0.1242795028373792,0.10348398006076558,0.08445789877919772,3.532966473696906e-09
8,0.3171933961225773,0.310903205640461,0.3094601245934966,0.2955096216387145,0.2918152248535983,0.25210304026719055,0.22899532666329617,0.216002963825071,0.18110191907113843,0.16637295842558233,0.14311599075972736,0.14154442899145073,0.12427412008320765,0.10349576487846629,0.0844522678144172,2.530537054271093e-09
9,0.3172017952145285,0.31090872790257196,0.30946413780129234,0.2955164286728774,0.2918177970912999,0.2521119609878283,0.22899914126460819,0.21600296802688135,0.18109522897590713,0.16636883165,0.1431272247213731,0.1415360385772007,0.12426802766814292,0.10350903589033958,0.08444591683829775,3.0022561811070976e-09
10,0.3172112011969645,0.31091483161672956,0.3094686141048926,0.2955239611119414,0.2918206450220273,0.2521218756579354,0.22900339709741122,0.21600304810153403,0.18108773536372091,0.16636424044229647,0.14313974542986524,0.14152673215736256,0.12426123005850426,0.10352378686097247,0.08443884377843748,1.4645071170863729e-09
11,0.3172216159136797,0.3109215173652424,0.30947355851190345,0.2955322188181256,0.29182377108434376,0.2521327837853169,0.22900809435397806,0.21600320552817762,0.1810794423934225,0.16635918742093486,0.14315353457159277,0.1415165291115046,0.1242537321939016,0.10354001089164304,0.0844310463362466,2.978613399398435e-09
12,0.31723304139903435,0.3109287857911898,0.3094789764934315,0.29554120164865666,0.2918271779458247,0.2521446848257368,0.22901323325863854,0.21600344194113158,0.18107035462364574,0.1663536754578512,0.14316857335488983,0.1415054493998452,0.124245539480264,0.10355770042452911,0.08442252199351635,2.4959186842121084e-09
13,0.3172454798697121,0.31093663759711837,0.3094848739707903,0.2955509094546634,0.2918308684955121,0.25215757817814644,0.22901881406572927,0.21600375912662695,0.1810604770111916,0.16634770767783028,0.1431848427793873,0.14149351328742588,0.12423665778221965,0.1035768472473286,0.08441326801960947,1.4447859884060261e-09
14,0.31725893371577274,0.3109450735435068,0.3094912573012291,0.2955613420799278,0.2918348458357845,0.2521714631795178,0.2290248370573716,0.21600415901926778,0.18104981490925526,0.16634128745781873,0.14320232388052012,0.14148074109258535,0.12422709341484017,0.10359744249828853,0.08440328147926472,1.8644985847153867e-09
15,0.31727340549101063,0.31095409444697475,0.30949813326272985,0.29557249935948327,0.2918391132736643,0.2521863390992898,0.22903130254107976,0.2160046436982192,0.18103837406550063,0.16633441842616523,0.14322099794529985,0.14146715296364548,0.1242168531347605,0.10361947667164983,0.08439255924100886,2.5946765832489074e-09
16,0.31728889790263376,0.31096370117821875,0.3095055090379228,0.2955843811180521,0.2918436743115885,0.25220220513344155,0.22903821084720347,0.216005215383122,0.18102616061997867,0.16632710446178803,0.1432408466971406,0.14145276868603124,0.12420594413068853,0.10364293962351,0.08438109798616988,1.8645486132954656e-09
17,0.3173054138002798,0.31097389465965297,0.3095133921971708,0.2955969871683105,0.29184853263766414,0.2522190603982087,0.22904556232621082,0.2160058764297427,0.18101318110288334,0.1663193496932597,0.14326185244901168,0.1414376075205746,0.12419437401331855,0.10366782057810446,0.08436889421848298,3.766725744786387e-09
18,0.31732295616437894,0.310984675862736,0.3095217906808697,0.29561031730897525,0.2918536921154372,0.2522369039234507,0.2290533573458148,0.21600662932536058,0.18099944243214017,0.16631115849780614,0.14328399822542495,0.14142168807249908,0.12418215080466277,0.10369410813451127,0.08435594427428153,2.2355212717457368e-09
19,0.31734152809388305,0.310996045804964,0.30953071278101485,0.2956243713226951,0.2918591567731948,0.2522557346456845,0.22906159628794567,0.21600747668389328,0.18098495191081965,0.1663025355002077,0.14330726785473383,0.14140502818964154,0.1241692829268175,0.10372179027378038,0.08434224433326193,3.840141627422541e-09
