step,r1_full,r2_full,r3_full,r4_full,r1_perp,r2_perp,r3_perp,r4_perp
0,0.33333350441887283,0.33333350441887283,0.33333350441887283,2.2269448146150874e-09,7.773012550036442e-17,6.821730714632426e-17,6.092898697330146e-17,5.709465263937259e-25
40,0.3333335044188735,0.3333335044188734,0.33333350441887316,2.8437658444660226e-09,1.1782625805167308e-15,7.673254634491514e-16,3.0318147235626985e-16,1.1421960412762728e-23
80,0.3333335044188751,0.33333350441887477,0.3333335044188737,3.121116899254767e-09,2.5177048823853803e-15,1.2897376984064924e-15,7.116184713876846e-16,9.094525284727432e-24
120,0.3333335044188767,0.3333335044188765,0.33333350441887566,3.1043507573418026e-09,2.2057591968767718e-15,9.456416679829227e-16,5.512044706600069e-16,1.0075680164555805e-23
160,0.3333335044188786,0.3333335044188784,0.3333335044188778,3.438211828210429e-09,1.6398893423307667e-15,1.321261018846949e-15,8.180264705591991e-16,6.532532378742449e-24
200,0.33333350441887954,0.3333335044188793,0.3333335044188788,1.1150573477698227e-09,1.704044250546584e-15,1.5892809491924473e-15,1.1785894696448193e-15,1.625580054930231e-23
240,0.3333335044188811,0.33333350441888077,0.3333335044188797,3.783166221345349e-09,1.992592709677687e-15,1.7401262760938982e-15,1.3364507883194611e-15,1.9395088303674837e-23
280,0.33333350441888526,0.3333335044188825,0.3333335044188809,2.7572176452774784e-09,2.3485562764020144e-15,1.929723915601633e-15,1.6882990142502646e-15,1.5923021214877154e-23
320,0.33333350441888326,0.3333335044188832,0.33333350441888304,2.1633560437685654e-09,2.419898074615966e-15,1.953192424849745e-15,1.7136187692625565e-15,1.1131439480796857e-23
360,0.33333350441888393,0.333333504418883,0.33333350441888254,2.880738397990793e-09,2.428383042078431e-15,2.129398229386921e-15,1.6632704900437684e-15,1.3960319513609394e-23
400,0.33333350441888554,0.333333504418885,0.3333335044188813,2.7528346891987464e-09,2.889258827751784e-15,2.560418673625024e-15,1.9330731540750317e-15,3.182768396218649e-23
440,0.33333350441888604,0.3333335044188847,0.3333335044188803,3.010039730132426e-09,2.7362212921571755e-15,2.2462589706557384e-15,1.7122452117821021e-15,2.1523925479791498e-23
480,0.3333335044188868,0.3333335044188826,0.3333335044188802,2.782505660481625e-09,3.118629236416328e-15,2.9764134120278304e-15,1.9530197328469935e-15,2.4326251207988208e-23
520,0.3333335044188859,0.33333350441888365,0.3333335044188815,3.2862556598690584e-09,3.417062964110304e-15,2.8717076458457057e-15,1.9213938607981524e-15,2.7296574118863606e-23
560,0.3333335044188843,0.33333350441888315,0.3333335044188817,3.0067366383945924e-09,3.4028952048188446e-15,2.9330153567865137e-15,2.171056631448486e-15,2.2581007659498828e-23
600,0.33333350441888615,0.3333335044188838,0.3333335044188774,3.6125912102590825e-09,3.904697539219583e-15,3.2492659716676673e-15,2.6409412748752622e-15,2.148175464361585e-23
640,0.33333350441889065,0.3333335044188815,0.33333350441887905,1.934077598225288e-09,4.53317522374374e-15,3.4392556708480596e-15,2.8072160047668374e-15,3.727132202837284e-23
680,0.3333335044188904,0.33333350441888315,0.3333335044188804,2.064013866133522e-09,4.890964298209342e-15,3.955085601326629e-15,3.3359898911393392e-15,3.032601764281529e-23
720,0.33333350441888615,0.3333335044188813,0.33333350441888115,2.7552080010870984e-09,5.230193934748235e-15,4.325804918628903e-15,3.4122568423662377e-15,3.810778608839246e-23
760,0.33333350441888704,0.33333350441888504,0.3333335044188793,2.479427645597432e-09,5.6368243232094e-15,4.4606607390372766e-15,3.8423414849572656e-15,4.1480692443754564e-23
800,0.33333350441888926,0.33333350441888365,0.3333335044188755,3.58180156351538e-09,5.8026790510737375e-15,4.795214682354148e-15,4.2756695231983865e-15,6.636341554053338e-23
840,0.3333335044188917,0.3333335044188792,0.3333335044188788,2.567336511326811e-09,5.804689006949912e-15,5.2402802950161645e-15,4.232803764380839e-15,6.721326460235014e-23
880,0.3333335044188908,0.33333350441888326,0.3333335044188789,8.345261472678432e-10,6.107250685316871e-15,5.865650743161603e-15,4.3030978055790946e-15,5.2101705403420316e-23
920,0.3333335044188878,0.3333335044188834,0.33333350441888254,3.2137024100969865e-09,6.1936168270255775e-15,5.508758074332407e-15,4.2100646190856664e-15,5.545124213717445e-23
960,0.33333350441888726,0.33333350441888715,0.3333335044188781,1.6364548495138612e-09,6.2859896909539745e-15,5.731280102572907e-15,4.087873785414098e-15,4.6456777780703095e-23
1000,0.33333350441889004,0.3333335044188822,0.3333335044188739,1.6075660829918546e-09,6.6024206793303056e-15,5.462111830858192e-15,4.205212593756561e-15,3.8921200172701996e-23
1040,0.33333350441889237,0.3333335044188784,0.33333350441887827,2.500439292579073e-09,6.713827271636176e-15,5.6120715407110416e-15,4.40463966674592e-15,6.608651945376813e-23
1080,0.3333335044188896,0.33333350441888215,0.333333504418879,2.555243624709116e-09,6.995183180919623e-15,5.880956992496053e-15,4.801554807575681e-15,4.3113078655660915e-23
1120,0.33333350441888704,0.3333335044188852,0.3333335044188802,3.3161500817732837e-09,6.766373501936607e-15,5.630465889714239e-15,4.728078195054251e-15,9.042769593313862e-23
1160,0.33333350441888887,0.3333335044188865,0.3333335044188766,2.069293157480033e-09,6.514359170511779e-15,5.5804724503524844e-15,4.7968887266004575e-15,6.814926877919259e-23
1200,0.3333335044188927,0.3333335044188804,0.333333504418876,2.9619759303909744e-09,6.945733304115626e-15,5.8497639378862645e-15,4.870325615829884e-15,2.4936885066124994e-23
1240,0.3333335044188924,0.3333335044188819,0.33333350441887705,1.4569377971125938e-09,6.9677274778287674e-15,5.922650973997135e-15,4.832146644292977e-15,6.708222731204519e-23
1280,0.33333350441889015,0.3333335044188832,0.3333335044188814,2.5681801526032244e-09,7.47009662443855e-15,6.247000914967051e-15,4.993245668395452e-15,7.363401095049602e-23
1320,0.33333350441888715,0.3333335044188847,0.3333335044188779,1.9137604025919853e-09,7.347505102513091e-15,5.955933806567743e-15,4.722430935205381e-15,4.119539469642031e-23
1360,0.33333350441889176,0.3333335044188845,0.3333335044188765,3.3014464308552725e-09,7.504619623100993e-15,5.8225233991307865e-15,4.261525507883924e-15,6.375841006414621e-23
1400,0.33333350441889203,0.3333335044188789,0.33333350441887766,3.1913962415062353e-09,7.982203632228059e-15,6.288516619932664e-15,3.786132039921505e-15,4.772855332064034e-23
1440,0.3333335044188894,0.3333335044188829,0.3333335044188768,2.306544630849923e-09,8.06603436340455e-15,6.2234319387900545e-15,3.2886089151529382e-15,5.129353148235628e-23
1480,0.3333335044188882,0.333333504418885,0.33333350441887954,2.518560747034706e-09,8.056841575662836e-15,6.341081320046216e-15,2.4523050450995202e-15,5.2149988462320107e-23
1520,0.33333350441889054,0.3333335044188834,0.33333350441887905,3.066675309180574e-09,7.994443208345425e-15,6.225134685062538e-15,3.3822358131975213e-15,4.7840773802765634e-23
1560,0.3333335044188928,0.33333350441888104,0.33333350441887694,2.9708437115014886e-09,8.384581646884818e-15,6.436752567382577e-15,4.110579593069963e-15,7.747430559302151e-23
1600,0.3333335044188919,0.333333504418881,0.3333335044188745,8.807203573694114e-10,9.456708204403142e-15,5.93397842826794e-15,4.411372551712754e-15,6.681901397140702e-23
1640,0.33333350441888854,0.33333350441888543,0.3333335044188763,2.904709835473514e-09,9.842078006571923e-15,6.132665730767735e-15,4.879673076209002e-15,6.763283348858105e-23
1680,0.333333504418889,0.33333350441888066,0.3333335044188793,2.8082080226239245e-09,1.025369464768781e-14,6.453638171917777e-15,5.0016032819077955e-15,3.95317023114854e-23
1720,0.3333335044188942,0.3333335044188835,0.33333350441887716,2.1093228229789843e-09,1.0212341650433143e-14,6.956355960085026e-15,5.5326821543208186e-15,7.148368461630111e-23
1760,0.3333335044188958,0.3333335044188785,0.3333335044188778,3.004579305132377e-09,1.0625033030417291e-14,7.314255155591134e-15,5.5725831093203346e-15,6.393571844343296e-23
1800,0.33333350441889215,0.33333350441888265,0.3333335044188738,3.914808554402579e-09,1.1302176330574307e-14,8.440471417372909e-15,6.657784443926552e-15,9.512372534998423e-23
1840,0.33333350441888954,0.33333350441888265,0.3333335044188747,3.475539931397057e-09,1.1960937212589955e-14,9.263312157393938e-15,7.194540279679325e-15,1.1081401382701306e-22
1880,0.3333335044188913,0.3333335044188807,0.3333335044188745,2.7702141055737975e-09,1.267594436397189e-14,1.006193112834264e-14,7.893586734146893e-15,1.1076169582271638e-22
1920,0.3333335044188945,0.33333350441887977,0.33333350441887066,4.381963905247455e-09,1.3701893355600028e-14,1.1480827270799867e-14,8.921706469452313e-15,9.465221900673696e-23
