step,R_v0,R_v1,R_v2,R_v3,nulldev_v0,nulldev_v1,nulldev_v2,nulldev_v3
560,0.2886752827592452,0.28867528275924476,0.28867528275924487,0.28867528275924587,1.3097013237488984e-14,2.624001139581639e-14,3.280498454550107e-14,1.833460079343725e-14
600,0.28867528275924487,0.28867528275924437,0.2886752827592439,0.2886752827592453,1.3204740314573738e-14,3.236784685574162e-14,2.5989435788689485e-14,1.7605504538777088e-14
640,0.2886752827592461,0.28867528275924553,0.28867528275924514,0.2886752827592466,3.316624657431885e-14,2.4535344272949976e-14,1.5952303392299688e-14,3.4784717390660045e-14
680,0.2886752827592471,0.28867528275924637,0.2886752827592457,0.28867528275924725,4.4388386048238864e-14,1.5337449064735345e-14,2.674726198982706e-14,4.138044744523015e-14
720,0.28867528275924553,0.2886752827592447,0.2886752827592441,0.2886752827592457,3.928968728156373e-14,3.191765699198107e-14,3.4804524264909817e-14,2.789062298790347e-14
760,0.2886752827592465,0.28867528275924553,0.28867528275924464,0.2886752827592464,2.52739825984436e-14,5.31449544953389e-14,4.2596674153424676e-14,1.5247438545552762e-14
800,0.28867528275924564,0.2886752827592446,0.2886752827592437,0.2886752827592457,2.539995121255503e-14,4.646924867369198e-14,3.4456395030523096e-14,3.733143583291552e-14
840,0.2886752827592462,0.2886752827592448,0.2886752827592442,0.2886752827592462,4.498531903511655e-14,2.451259207259229e-14,2.31026317303805e-14,5.388788494735224e-14
880,0.288675282759247,0.288675282759246,0.288675282759245,0.28867528275924725,5.763427059614584e-14,1.952349242609088e-14,3.3326954739163395e-14,5.2274609957199093e-14
920,0.2886752827592473,0.28867528275924614,0.28867528275924526,0.28867528275924753,4.3975663039303686e-14,4.986129444004904e-14,4.9613061107036504e-14,3.046268290579444e-14
960,0.28867528275924675,0.28867528275924564,0.288675282759245,0.2886752827592472,2.4414593252945195e-14,6.461009712653554e-14,5.66955034162218e-14,2.1230032996385268e-14
1000,0.28867528275924537,0.2886752827592436,0.2886752827592432,0.28867528275924526,3.3675613030328606e-14,5.412711379788561e-14,4.9241206749200485e-14,4.355516662784197e-14
1040,0.2886752827592461,0.28867528275924437,0.28867528275924403,0.28867528275924603,5.201633580509172e-14,2.8249234422689317e-14,2.5462582463120335e-14,6.721788304478695e-14
1080,0.28867528275924675,0.2886752827592448,0.28867528275924453,0.28867528275924664,5.451852941443766e-14,2.7535166158648443e-14,3.119065537259001e-14,6.31732578651707e-14
1120,0.28867528275924736,0.2886752827592452,0.28867528275924514,0.28867528275924687,3.7889478884965894e-14,5.368811829915824e-14,5.635436080133959e-14,3.332393510453648e-14
1160,0.28867528275924714,0.2886752827592449,0.28867528275924503,0.28867528275924675,2.6678242722609918e-14,5.539307376812683e-14,5.853872982675833e-14,1.6562131310879817e-14
1200,0.2886752827592464,0.288675282759244,0.28867528275924437,0.288675282759246,4.694452762339713e-14,3.768774864003612e-14,4.310066776971787e-14,5.013884001367285e-14
1240,0.2886752827592471,0.2886752827592445,0.288675282759245,0.2886752827592464,5.827181636465756e-14,2.852727591265197e-14,2.057025496115115e-14,7.205142806301665e-14
1280,0.2886752827592483,0.28867528275924526,0.2886752827592462,0.2886752827592474,4.547208862838628e-14,4.6307587356664954e-14,4.171732646056251e-14,6.600516585314379e-14
1320,0.2886752827592468,0.2886752827592439,0.2886752827592447,0.2886752827592458,2.8431772756274527e-14,5.4421602320763786e-14,6.426971045558035e-14,2.4884299759901392e-14
1360,0.2886752827592477,0.28867528275924476,0.28867528275924564,0.28867528275924653,3.754663263461931e-14,4.143080897676994e-14,6.505164229377521e-14,2.4207359627740597e-14
1400,0.2886752827592468,0.2886752827592433,0.2886752827592447,0.2886752827592451,4.485430760929935e-14,2.953964969688623e-14,4.1096989856889224e-14,6.611011982444885e-14
1440,0.28867528275924687,0.28867528275924353,0.2886752827592451,0.28867528275924514,4.066238348102064e-14,4.03018383343768e-14,5.3034936307783405e-15,7.976809049658857e-14
1480,0.2886752827592479,0.28867528275924453,0.28867528275924637,0.28867528275924587,3.8333671688686306e-14,4.9087157428626074e-14,4.4538495051071977e-14,6.907942775859528e-14
1520,0.2886752827592479,0.2886752827592447,0.2886752827592468,0.2886752827592458,4.876284912318296e-14,3.9380445818446724e-14,7.279669757224479e-14,2.826433170390687e-14
1560,0.2886752827592473,0.28867528275924403,0.2886752827592464,0.28867528275924487,5.221485077332691e-14,3.444277900599096e-14,7.666577118757806e-14,2.5674107910321738e-14
1600,0.28867528275924637,0.2886752827592435,0.2886752827592455,0.2886752827592433,2.998225150145967e-14,5.3724136536887294e-14,5.1702738704048326e-14,6.968056949255338e-14
1640,0.28867528275924714,0.28867528275924453,0.28867528275924637,0.28867528275924376,3.1462226687590176e-14,6.925773285773411e-14,1.4130026278182214e-14,7.901404231542996e-14
1680,0.28867528275924675,0.2886752827592442,0.28867528275924625,0.28867528275924337,6.631309540526372e-14,5.758173569813177e-14,4.771172420081959e-14,6.34162363245194e-14
1720,0.2886752827592484,0.2886752827592458,0.2886752827592483,0.2886752827592449,8.110050382217441e-14,2.4295089416626296e-14,8.487107655092424e-14,2.3190068128445706e-14
1760,0.28867528275924725,0.2886752827592451,0.288675282759248,0.288675282759244,6.107135002292278e-14,5.136005288224075e-14,8.285894100737406e-14,3.044796942287801e-14
1800,0.2886752827592458,0.28867528275924415,0.2886752827592474,0.28867528275924254,1.2880157192532914e-14,8.760142603215385e-14,5.161381605676423e-14,7.26630793471608e-14
1840,0.2886752827592455,0.288675282759244,0.2886752827592471,0.28867528275924165,4.9618563385379007e-14,8.38385253274443e-14,1.2537251702926892e-14,8.550075845234657e-14
1880,0.28867528275924514,0.2886752827592437,0.2886752827592473,0.28867528275924126,1.0085287658534888e-13,4.068942459879697e-14,4.87628491231828e-14,7.697186668870679e-14
1920,0.2886752827592445,0.28867528275924365,0.2886752827592475,0.2886752827592404,1.1343447714784828e-13,2.8181362663821157e-14,8.410350781658872e-14,3.633505336705144e-14
1960,0.2886752827592471,0.2886752827592463,0.2886752827592505,0.28867528275924276,7.437317697895246e-14,9.521832900524591e-14,9.724650333235852e-14,2.9795799142168464e-14
2000,0.28867528275924653,0.2886752827592457,0.2886752827592506,0.28867528275924215,2.2262543712053477e-14,1.2399992281668652e-13,6.342597287142563e-14,8.717574473253718e-14
2040,0.2886752827592462,0.288675282759246,0.28867528275925103,0.2886752827592419,9.3172224879965e-14,9.67139290997502e-14,7.904919486757181e-15,1.1048853388318817e-13
2080,0.288675282759245,0.2886752827592449,0.2886752827592501,0.2886752827592405,1.4048160363812268e-13,3.3591777457877185e-14,6.077422828518781e-14,8.667847937013338e-14
2120,0.28867528275924487,0.2886752827592447,0.28867528275925003,0.2886752827592397,1.3121819205610593e-13,8.145627935743314e-14,1.0481660051171922e-13,2.5614869096722445e-14
2160,0.2886752827592471,0.2886752827592473,0.28867528275925336,0.2886752827592425,7.273965254348196e-14,1.4271455271593466e-13,9.861202018807883e-14,5.080863506696107e-14
2200,0.2886752827592458,0.2886752827592462,0.28867528275925225,0.2886752827592407,6.588296153273435e-14,1.4541309116768526e-13,5.824184284518134e-14,1.0854819781516079e-13
2240,0.28867528275924553,0.288675282759246,0.2886752827592524,0.2886752827592404,1.3421905742694681e-13,9.1100000152912e-14,1.6632027176850178e-14,1.229776406748383e-13
2280,0.2886752827592454,0.2886752827592463,0.28867528275925264,0.2886752827592401,1.655082325084319e-13,5.7897517269572e-14,8.048237670829775e-14,9.038847025144712e-14
2320,0.28867528275924537,0.28867528275924653,0.28867528275925325,0.28867528275924,1.3755657030294568e-13,1.24303467438833e-13,1.1383604222240088e-13,3.4905740799943565e-14
2360,0.2886752827592449,0.2886752827592467,0.2886752827592533,0.28867528275923954,8.405837041345577e-14,1.69735550955962e-13,1.0546117471548651e-13,7.065000416836196e-14
2400,0.2886752827592434,0.2886752827592453,0.2886752827592526,0.28867528275923804,1.189708854043019e-13,1.5620840423259616e-13,5.1471288003112204e-14,1.2992709665374383e-13
2440,0.28867528275924387,0.28867528275924564,0.2886752827592533,0.2886752827592383,1.8017140973759034e-13,9.399895991220287e-14,3.740511458134835e-14,1.3287508367864352e-13
2480,0.28867528275924376,0.28867528275924537,0.2886752827592533,0.28867528275923776,1.8585162159688103e-13,1.0935494993540712e-13,1.0654335069677459e-13,7.810460503553823e-14
2520,0.28867528275924337,0.28867528275924514,0.28867528275925336,0.2886752827592375,1.307711447196993e-13,1.7416098921838843e-13,1.317491457451772e-13,5.2205178508666116e-14
2560,0.2886752827592435,0.2886752827592454,0.288675282759254,0.28867528275923793,9.018382204274307e-14,1.9343698910178175e-13,9.99110859862821e-14,1.226031196192409e-13
2600,0.28867528275924376,0.288675282759246,0.2886752827592546,0.2886752827592381,1.5121013036978857e-13,1.4838561076104863e-13,3.754658069916276e-14,1.6024924039041845e-13
2640,0.28867528275924254,0.288675282759245,0.2886752827592535,0.2886752827592367,2.0207259547527661e-13,9.622961529608646e-14,6.835203915334413e-14,1.3892568954276458e-13
2680,0.2886752827592442,0.2886752827592468,0.2886752827592555,0.28867528275923837,1.8243536337033103e-13,1.4518657702930661e-13,1.2774987757880686e-13,7.536990066157718e-14
2720,0.2886752827592443,0.2886752827592473,0.28867528275925597,0.28867528275923854,1.1965625779439235e-13,2.0137731359991942e-13,1.3437560299231033e-13,8.407754051525978e-14
2760,0.28867528275924353,0.2886752827592469,0.28867528275925586,0.28867528275923776,1.2267808811632044e-13,1.9854612540556534e-13,9.692618338444165e-14,1.4508561074262486e-13
2800,0.28867528275924276,0.2886752827592466,0.28867528275925525,0.2886752827592368,1.9467928451405636e-13,1.3997003842227597e-13,4.144676803987436e-14,1.7343772282637768e-13
2840,0.28867528275924115,0.28867528275924526,0.28867528275925347,0.2886752827592349,2.2431767628882274e-13,1.140546111980043e-13,1.0049533627551465e-13,1.3531545002611162e-13
2880,0.28867528275924315,0.2886752827592473,0.2886752827592557,0.28867528275923654,1.825256974111243e-13,1.8159699881632298e-13,1.5142966640567788e-13,7.033135788215526e-14
2920,0.28867528275924315,0.28867528275924736,0.28867528275925614,0.2886752827592366,1.2970708560837998e-13,2.2190402164813296e-13,1.4151260781453272e-13,1.0601821103029213e-13
2960,0.28867528275924204,0.2886752827592468,0.2886752827592558,0.2886752827592356,1.7228027451644526e-13,1.9767754211525227e-13,8.54163268235092e-14,1.6714142810805968e-13
3000,0.28867528275924154,0.2886752827592467,0.2886752827592558,0.288675282759235,2.352477978703568e-13,1.4212668358629866e-13,6.581861563258363e-14,1.7539290068084578e-13
3040,0.288675282759242,0.28867528275924736,0.2886752827592568,0.2886752827592355,2.374143217291979e-13,1.676802436487494e-13,1.2594035683396893e-13,1.2551276794384718e-13
3080,0.28867528275924054,0.2886752827592461,0.28867528275925597,0.288675282759234,1.8629996970483404e-13,2.3246416580681725e-13,1.5473371320304393e-13,8.834508922468275e-14
3120,0.28867528275924104,0.2886752827592467,0.2886752827592565,0.28867528275923426,1.629080027177009e-13,2.477783763880348e-13,1.3069214837494e-13,1.3691352529980255e-13
3160,0.2886752827592409,0.2886752827592464,0.28867528275925675,0.2886752827592339,2.222658190748107e-13,2.0486793375293494e-13,6.996787433460358e-14,1.8137566927275546e-13
3200,0.288675282759242,0.28867528275924714,0.28867528275925813,0.288675282759235,2.5913025898792903e-13,1.649821927665354e-13,8.72307093560412e-14,1.7131929689134317e-13
3240,0.2886752827592419,0.28867528275924687,0.2886752827592582,0.2886752827592347,2.3148026295502243e-13,2.1515959189834126e-13,1.5380966636416667e-13,1.1019762680317772e-13
3280,0.2886752827592415,0.28867528275924675,0.2886752827592582,0.2886752827592346,1.6977497118249971e-13,2.655190813371397e-13,1.5875255940860034e-13,1.2260811740856204e-13
3320,0.28867528275924154,0.2886752827592471,0.28867528275925813,0.2886752827592345,1.8075651846862201e-13,2.506201265918384e-13,1.137034033408219e-13,1.7845166847520248e-13
3360,0.2886752827592408,0.2886752827592466,0.288675282759258,0.28867528275923376,2.4767384158154177e-13,1.9159964086363874e-13,6.880457658105307e-14,2.0455710779861924e-13
3400,0.2886752827592406,0.28867528275924637,0.28867528275925763,0.28867528275923304,2.7021860635067994e-13,1.8397790114096877e-13,1.226292680336727e-13,1.6568169021283608e-13
3440,0.28867528275924037,0.2886752827592462,0.28867528275925763,0.2886752827592323,2.303894384798157e-13,2.494528866005885e-13,1.7137013584122038e-13,1.1055267484349383e-13
3480,0.2886752827592412,0.288675282759247,0.28867528275925924,0.28867528275923315,1.9011563388118376e-13,2.8701312355695554e-13,1.550206314642536e-13,1.4839499796706425e-13
3520,0.28867528275924137,0.28867528275924703,0.2886752827592595,0.2886752827592329,2.3177811402793024e-13,2.565247909621311e-13,1.0335236019378588e-13,2.008491662852505e-13
3560,0.2886752827592425,0.2886752827592484,0.28867528275926146,0.2886752827592339,2.8556268406460207e-13,2.1719475447885775e-13,9.700109517434595e-14,2.0357227655650525e-13
3600,0.28867528275924265,0.28867528275924814,0.2886752827592616,0.2886752827592331,2.8731330710350823e-13,2.391058134129453e-13,1.562926094472593e-13,1.6199564369773833e-13
3640,0.28867528275924076,0.28867528275924664,0.28867528275926035,0.2886752827592308,2.491123285340924e-13,3.007294463515115e-13,1.8513239010570123e-13,1.3975590687957973e-13
3680,0.28867528275924015,0.2886752827592459,0.28867528275926013,0.28867528275922955,2.4338334442634074e-13,3.166841447447096e-13,1.493607895856451e-13,1.9314532554084427e-13
3720,0.28867528275923826,0.2886752827592442,0.2886752827592589,0.28867528275922727,3.0548124642616656e-13,2.771147510324616e-13,1.0433563204611935e-13,2.302550501347021e-13
3760,0.2886752827592405,0.28867528275924637,0.2886752827592618,0.2886752827592291,3.456859978012461e-13,2.540112795309491e-13,1.4325059873186612e-13,2.1177751736790816e-13
3800,0.2886752827592412,0.2886752827592472,0.2886752827592632,0.2886752827592295,3.198855564118419e-13,3.1797153509941143e-13,2.0257755928025817e-13,1.5245432142745557e-13
3840,0.28867528275924176,0.28867528275924786,0.28867528275926413,0.2886752827592293,2.770259267097128e-13,3.6718702494428554e-13,1.8884384365850287e-13,1.7714976356281475e-13
3880,0.2886752827592423,0.2886752827592478,0.28867528275926496,0.28867528275922916,3.09749192593355e-13,3.495336777270439e-13,1.377419295590504e-13,2.3631812247202727e-13
3920,0.2886752827592423,0.28867528275924764,0.28867528275926535,0.2886752827592287,3.754427741937105e-13,3.0142722225597177e-13,1.275727933605778e-13,2.4708123054194364e-13
3960,0.28867528275924287,0.28867528275924714,0.2886752827592661,0.28867528275922844,3.878642856208131e-13,3.1111431370255505e-13,1.901528806265585e-13,2.0078606267103337e-13
4000,0.2886752827592426,0.2886752827592467,0.288675282759266,0.28867528275922744,3.347165523539228e-13,3.8295038745722266e-13,2.268896985701837e-13,1.7210212690551274e-13
4040,0.2886752827592407,0.28867528275924453,0.2886752827592647,0.2886752827592251,3.1220187117201163e-13,4.13045935474418e-13,1.8112782392109505e-13,2.3695841274804147e-13
4080,0.28867528275924054,0.2886752827592438,0.28867528275926474,0.2886752827592241,3.7812465254454324e-13,3.6906511478877005e-13,1.300231476161681e-13,2.793705330469362e-13
4120,0.28867528275923887,0.2886752827592424,0.2886752827592636,0.2886752827592221,4.305433957002924e-13,3.346526939685147e-13,1.7123317968610907e-13,2.479824274817304e-13
4160,0.2886752827592393,0.2886752827592424,0.2886752827592642,0.2886752827592218,4.1472684463213404e-13,3.7996298040379926e-13,2.3071820096640996e-13,1.9018403697743298e-13
4200,0.2886752827592394,0.28867528275924187,0.2886752827592647,0.2886752827592211,3.6532686489242396e-13,4.443028042088939e-13,2.2605287121589586e-13,2.0861842173707563e-13
4240,0.2886752827592373,0.28867528275923937,0.2886752827592625,0.28867528275921817,3.749853104893261e-13,4.477322340267322e-13,1.700583683974143e-13,2.6606124388723094e-13
4280,0.28867528275923615,0.28867528275923765,0.28867528275926124,0.28867528275921617,4.483282191703553e-13,3.9023535177311683e-13,1.4768264219334943e-13,2.797795686123361e-13
4320,0.288675282759234,0.28867528275923454,0.28867528275925847,0.28867528275921284,4.79220707850331e-13,3.7321783259045336e-13,2.1542710235432164e-13,2.2176708230360745e-13
4360,0.28867528275923326,0.28867528275923277,0.288675282759257,0.28867528275921084,4.3532207168334794e-13,4.379179586570138e-13,2.5665374258011767e-13,1.66182311068624e-13
4400,0.2886752827592345,0.2886752827592331,0.28867528275925797,0.2886752827592113,3.8495035956610775e-13,4.900972058090007e-13,2.1616634083087456e-13,2.237113520990801e-13
4440,0.2886752827592346,0.2886752827592319,0.2886752827592577,0.28867528275921067,4.2441325513076184e-13,4.633328284963803e-13,1.4665991986077601e-13,2.8039044913558807e-13
4480,0.2886752827592358,0.28867528275923154,0.2886752827592585,0.2886752827592114,4.928679990707323e-13,3.9617629703191064e-13,1.8664541617000148e-13,2.588830668631541e-13
4520,0.2886752827592382,0.2886752827592322,0.28867528275926024,0.2886752827592126,4.948933373970104e-13,4.0437694157148247e-13,2.6086310471538593e-13,1.8679680142136667e-13
4560,0.2886752827592392,0.28867528275923154,0.2886752827592605,0.28867528275921284,4.2904464868059166e-13,4.794643657996235e-13,2.552183056831545e-13,2.082302465978009e-13
4600,0.288675282759241,0.28867528275923154,0.28867528275926174,0.2886752827592138,3.979058467475587e-13,5.061348320561038e-13,1.8296766987865078e-13,2.9302643285164893e-13
4640,0.2886752827592427,0.28867528275923166,0.2886752827592631,0.2886752827592147,4.656018676487438e-13,4.5039397808097705e-13,1.7975242044761173e-13,3.128328316868323e-13
4680,0.28867528275924403,0.2886752827592317,0.2886752827592637,0.2886752827592151,5.236037037423227e-13,3.9616778494483934e-13,2.6575819687897115e-13,2.460987439667349e-13
4720,0.2886752827592443,0.28867528275923043,0.28867528275926335,0.28867528275921456,4.976974197924948e-13,4.427844391602722e-13,2.9666973431345737e-13,2.0926541514434509e-13
4760,0.2886752827592455,0.28867528275922977,0.28867528275926385,0.28867528275921495,4.2598496472194405e-13,5.155249716530445e-13,2.5043980675775074e-13,2.8590357981134457e-13
4800,0.28867528275924736,0.28867528275923005,0.2886752827592654,0.2886752827592161,4.2151599645487814e-13,5.206160207143815e-13,1.9193021831400836e-13,3.50939099901475e-13
4840,0.2886752827592488,0.2886752827592296,0.2886752827592656,0.28867528275921633,5.03705356513565e-13,4.4735569986338617e-13,2.563787477432437e-13,3.251206774148697e-13
4880,0.2886752827592512,0.2886752827592304,0.288675282759267,0.288675282759218,5.447421115155407e-13,4.062737753056993e-13,3.3449332806639087e-13,2.491872288984741e-13
4920,0.2886752827592541,0.2886752827592317,0.28867528275926924,0.28867528275922016,4.960478217250689e-13,4.709706071256392e-13,3.261808078919735e-13,2.756705340260709e-13
4960,0.28867528275925475,0.28867528275923054,0.2886752827592693,0.28867528275922005,4.2763581911634836e-13,5.376644214581484e-13,2.550199399603388e-13,3.71954637614452e-13
5000,0.2886752827592547,0.28867528275922844,0.28867528275926785,0.2886752827592185,4.504888597617372e-13,5.189751481211136e-13,2.5029455541907263e-13,3.9865262183284794e-13
5040,0.28867528275925713,0.2886752827592293,0.2886752827592697,0.2886752827592203,5.346123492250178e-13,4.3802187536532096e-13,3.453259200790046e-13,3.4211388207348446e-13
5080,0.28867528275925813,0.2886752827592286,0.28867528275927007,0.28867528275922066,5.577485220868062e-13,4.257286626984919e-13,3.960670779624332e-13,2.962025832342293e-13
5120,0.2886752827592599,0.2886752827592287,0.28867528275927096,0.28867528275922155,4.932681598176032e-13,5.070049200018918e-13,3.5367280759418965e-13,3.680362594676146e-13
5160,0.2886752827592605,0.2886752827592277,0.2886752827592708,0.2886752827592212,4.3788214852045745e-13,5.541021277914782e-13,2.9311101506321964e-13,4.4649354648127604e-13
5200,0.28867528275926096,0.28867528275922655,0.2886752827592704,0.28867528275922083,4.926150071805912e-13,5.137289223504417e-13,3.4185945721555884e-13,4.3301327375113026e-13
5240,0.2886752827592611,0.2886752827592245,0.28867528275926946,0.2886752827592198,5.694317485877041e-13,4.4413614545829746e-13,4.313495753786348e-13,3.6172066649072244e-13
5280,0.2886752827592628,0.28867528275922455,0.2886752827592704,0.2886752827592207,5.645768153640091e-13,4.656120470434333e-13,4.445942288961256e-13,3.700934690107926e-13
5320,0.2886752827592636,0.2886752827592232,0.28867528275927,0.28867528275922033,4.914261553482424e-13,5.512000339174746e-13,3.799257566532287e-13,4.655947510993064e-13
5360,0.2886752827592643,0.28867528275922194,0.2886752827592692,0.2886752827592197,4.71759624412864e-13,5.745291045074503e-13,3.6766059996871816e-13,5.023013030982678e-13
5400,0.2886752827592658,0.28867528275922155,0.28867528275926946,0.28867528275922005,5.448698735023852e-13,5.157055880820072e-13,4.5465660722069394e-13,4.5262179307312793e-13
5440,0.28867528275926635,0.28867528275921983,0.28867528275926857,0.2886752827592194,6.004865468690188e-13,4.649058452041263e-13,5.231663029164232e-13,4.0734099256462274e-13
5480,0.28867528275926774,0.28867528275921867,0.28867528275926857,0.2886752827592194,5.675907036144444e-13,5.222566590113072e-13,4.972134167808511e-13,4.768376442690981e-13
5520,0.28867528275927046,0.2886752827592187,0.28867528275926957,0.28867528275922055,4.902390835501331e-13,6.063704408228855e-13,4.357261347812017e-13,5.722400000716213e-13
5560,0.2886752827592723,0.2886752827592179,0.2886752827592698,0.28867528275922105,5.062687975335948e-13,6.07132684805963e-13,4.793713316545691e-13,5.709727936452544e-13
5600,0.2886752827592729,0.28867528275921606,0.2886752827592693,0.2886752827592208,6.043323554157433e-13,5.243175520653879e-13,5.904808962390366e-13,4.976852375435249e-13
5640,0.28867528275927434,0.2886752827592146,0.2886752827592688,0.2886752827592206,6.374134905048786e-13,4.995517057621661e-13,6.246533693835355e-13,5.064773189892137e-13
5680,0.2886752827592757,0.288675282759213,0.2886752827592685,0.2886752827592208,5.829378821286795e-13,5.760811761252543e-13,5.691135172902341e-13,6.131483324847827e-13
5720,0.288675282759278,0.2886752827592124,0.2886752827592689,0.28867528275922183,5.113718370260456e-13,6.518837762417776e-13,5.358489919808447e-13,6.869452499349505e-13
5760,0.288675282759278,0.2886752827592093,0.2886752827592672,0.2886752827592206,5.484208987066872e-13,6.326642104431613e-13,6.215046655553682e-13,6.559579499118021e-13
5800,0.2886752827592801,0.2886752827592082,0.2886752827592674,0.2886752827592219,6.387217713006764e-13,5.485713350775334e-13,7.23567846855564e-13,6.02319790181619e-13
5840,0.28867528275928334,0.28867528275920834,0.28867528275926857,0.288675282759224,6.658054118256523e-13,5.312591803430044e-13,7.312849860718149e-13,6.498766307158832e-13
5880,0.2886752827592854,0.28867528275920695,0.2886752827592686,0.2886752827592246,6.015210862586547e-13,6.15075150721123e-13,6.725373479806996e-13,7.66232056768797e-13
5920,0.28867528275928656,0.28867528275920507,0.2886752827592677,0.2886752827592245,5.415472769642442e-13,6.76141480890439e-13,6.796407564033744e-13,8.111508681408216e-13
5960,0.2886752827592896,0.28867528275920507,0.2886752827592692,0.2886752827592266,5.970528158249147e-13,6.379110711523805e-13,7.904448287273191e-13,7.610467440688412e-13
6000,0.28867528275929116,0.28867528275920346,0.28867528275926846,0.28867528275922666,6.817933579035082e-13,5.6253569261817e-13,8.630095741523662e-13,7.314354866491739e-13
6040,0.28867528275929366,0.2886752827592034,0.2886752827592693,0.28867528275922805,6.816341153828454e-13,5.80245429357885e-13,8.284542081358833e-13,8.171173333989286e-13
6080,0.288675282759294,0.2886752827592011,0.28867528275926824,0.28867528275922744,6.063779037738396e-13,6.751121968569598e-13,7.761985023470265e-13,9.123936490584281e-13
6120,0.2886752827592964,0.2886752827591999,0.28867528275926824,0.28867528275922805,5.799933897357595e-13,7.148167107850892e-13,8.410005976539491e-13,9.133616850606533e-13
6160,0.288675282759296,0.28867528275919646,0.28867528275926574,0.28867528275922605,6.627730546019207e-13,6.579439974166388e-13,9.583236790468042e-13,8.483186395944522e-13
6200,0.28867528275929655,0.2886752827591941,0.2886752827592647,0.2886752827592255,7.362934468632465e-13,5.919253391309526e-13,9.8991682628814e-13,8.690203774615485e-13
6240,0.2886752827592983,0.2886752827591933,0.2886752827592647,0.28867528275922605,6.974483898185153e-13,6.504203097522938e-13,9.230129624881533e-13,9.861600669545525e-13
6280,0.28867528275930077,0.28867528275919324,0.2886752827592656,0.2886752827592275,6.108667531908942e-13,7.424943214981674e-13,9.021520482285765e-13,1.0486908599617433e-12
6320,0.2886752827593017,0.2886752827591921,0.288675282759265,0.2886752827592273,6.231826697187587e-13,7.485062700185618e-13,9.994611447265517e-13,9.933318936199625e-13
6360,0.2886752827593019,0.2886752827591895,0.2886752827592639,0.2886752827592265,7.299195126387781e-13,6.641530614004649e-13,1.0920118485728505e-12,9.437588538726116e-13
6400,0.2886752827593027,0.2886752827591879,0.2886752827592636,0.28867528275922644,7.673622071471427e-13,6.275390948602261e-13,1.0759971876524955e-12,1.014051678857329e-12
6440,0.28867528275930454,0.28867528275918763,0.2886752827592644,0.2886752827592274,7.068572033322891e-13,7.121087976889317e-13,9.992111284407094e-13,1.1268647214326429e-12
6480,0.28867528275930504,0.2886752827591862,0.2886752827592638,0.288675282759227,6.332389776378658e-13,7.953096282116367e-13,1.0176953596400834e-12,1.1423271637650393e-12
6520,0.28867528275930565,0.2886752827591848,0.2886752827592633,0.28867528275922655,6.852795692978406e-13,7.61959439332135e-13,1.1376151273618526e-12,1.0660865560990918e-12
