period_steps,deviation_deg,readout_mode,per_step_leak,max_D_AB_near_protocol_diff,max_V_AB_protocol_diff,max_protocol_display_deviation_diff,label_free_protocol_degenerate
96,10.0,leak_5e-5,5e-05,0.0,0.0,0.3482290759693494,True
96,10.0,leak_2e-4,0.0002,0.0,0.0,0.34573051989514614,True
96,10.0,leak_1e-3,0.001,0.0,0.0,0.33269846574380635,True
96,20.0,readout_off,0.0,0.0,0.0,0.6981317007977308,True
96,20.0,leak_1e-6,1e-06,0.0,0.0,0.6980981912635722,True
96,20.0,leak_1e-5,1e-05,0.0,0.0,0.6977966763185312,True
96,20.0,leak_5e-5,5e-05,0.0,0.0,0.6964581519386988,True
96,20.0,leak_2e-4,0.0002,0.0,0.0,0.6914610397902923,True
96,20.0,leak_1e-3,0.001,0.0,0.0,0.6653969314876127,True
96,35.0,readout_off,0.0,0.0,0.0,1.2217304763960286,True
96,35.0,leak_1e-6,1e-06,0.0,0.0,1.2216718347112514,True
96,35.0,leak_1e-5,1e-05,0.0,0.0,1.2211441835574297,True
96,35.0,leak_5e-5,5e-05,0.0,0.0,1.2188017658927224,True
96,35.0,leak_2e-4,0.0002,0.0,0.0,1.2100568196330115,True
96,35.0,leak_1e-3,0.001,0.0,0.0,1.164444630103322,True
96,60.0,readout_off,0.0,0.0,0.0,2.094395102393193,True
96,60.0,leak_1e-6,1e-06,0.0,0.0,2.094294573790716,True
96,60.0,leak_1e-5,1e-05,0.0,0.0,2.0933900289555947,True
96,60.0,leak_5e-5,5e-05,0.0,0.0,2.0893744558160963,True
96,60.0,leak_2e-4,0.0002,0.0,0.0,2.0743831193708773,True
96,60.0,leak_1e-3,0.001,0.0,0.0,1.9961907944628376,True
144,1.0,readout_off,0.0,0.0,0.0,0.03490658503988798,True
144,1.0,leak_1e-6,1e-06,0.0,0.0,0.03490407185498292,True
144,1.0,leak_1e-5,1e-05,0.0,0.0,0.03488146121869987,True
144,1.0,leak_5e-5,5e-05,0.0,0.0,0.034781144126817244,True
144,1.0,leak_2e-4,0.0002,0.0,0.0,0.034407482467239583,True
144,1.0,leak_1e-3,0.001,0.0,0.0,0.032482053576427,True
144,2.0,readout_off,0.0,0.0,0.0,0.06981317007977596,True
144,2.0,leak_1e-6,1e-06,0.0,0.0,0.06980814370996584,True
144,2.0,leak_1e-5,1e-05,0.0,0.0,0.06976292243739975,True
144,2.0,leak_5e-5,5e-05,0.0,0.0,0.06956228825363449,True
144,2.0,leak_2e-4,0.0002,0.0,0.0,0.06881496493447917,True
144,2.0,leak_1e-3,0.001,0.0,0.0,0.064964107152854,True
144,5.0,readout_off,0.0,0.0,0.0,0.17453292519943936,True
144,5.0,leak_1e-6,1e-06,0.0,0.0,0.17452035927491463,True
144,5.0,leak_1e-5,1e-05,0.0,0.0,0.1744073060934993,True
144,5.0,leak_5e-5,5e-05,0.0,0.0,0.17390572063408619,True
144,5.0,leak_2e-4,0.0002,0.0,0.0,0.17203741233619796,True
144,5.0,leak_1e-3,0.001,0.0,0.0,0.1624102678821349,True
144,10.0,readout_off,0.0,0.0,0.0,0.3490658503988787,True
144,10.0,leak_1e-6,1e-06,0.0,0.0,0.34904071854982927,True
144,10.0,leak_1e-5,1e-05,0.0,0.0,0.3488146121869986,True
144,10.0,leak_5e-5,5e-05,0.0,0.0,0.34781144126817237,True
144,10.0,leak_2e-4,0.0002,0.0,0.0,0.3440748246723959,True
144,10.0,leak_1e-3,0.001,0.0,0.0,0.3248205357642698,True
144,20.0,readout_off,0.0,0.0,0.0,0.6981317007977574,True
144,20.0,leak_1e-6,1e-06,0.0,0.0,0.6980814370996585,True
144,20.0,leak_1e-5,1e-05,0.0,0.0,0.6976292243739972,True
144,20.0,leak_5e-5,5e-05,0.0,0.0,0.6956228825363447,True
144,20.0,leak_2e-4,0.0002,0.0,0.0,0.6881496493447918,True
144,20.0,leak_1e-3,0.001,0.0,0.0,0.6496410715285396,True
144,35.0,readout_off,0.0,0.0,0.0,1.2217304763960795,True
144,35.0,leak_1e-6,1e-06,0.0,0.0,1.221642514924402,True
144,35.0,leak_1e-5,1e-05,0.0,0.0,1.2208511426544943,True
144,35.0,leak_5e-5,5e-05,0.0,0.0,1.2173400444386027,True
144,35.0,leak_2e-4,0.0002,0.0,0.0,1.2042618863533865,True
144,35.0,leak_1e-3,0.001,0.0,0.0,1.1368718751749451,True
144,60.0,readout_off,0.0,0.0,0.0,2.094395102393282,True
144,60.0,leak_1e-6,1e-06,0.0,0.0,2.094244311298974,True
144,60.0,leak_1e-5,1e-05,0.0,0.0,2.092887673121991,True
144,60.0,leak_5e-5,5e-05,0.0,0.0,2.086868647609033,True
144,60.0,leak_2e-4,0.0002,0.0,0.0,2.0644489480343764,True
144,60.0,leak_1e-3,0.001,0.0,0.0,1.948923214585621,True
192,1.0,readout_off,0.0,0.0,0.0,0.03490658503988861,True
192,1.0,leak_1e-6,1e-06,0.0,0.0,0.03490323416689172,True
192,1.0,leak_1e-5,1e-05,0.0,0.0,0.034873090630665134,True
192,1.0,leak_5e-5,5e-05,0.0,0.0,0.03473943074405714,True
192,1.0,leak_2e-4,0.0002,0.0,0.0,0.034242705853461945,True
192,1.0,leak_1e-3,0.001,0.0,0.0,0.03172460005503611,True
192,2.0,readout_off,0.0,0.0,0.0,0.06981317007977722,True
192,2.0,leak_1e-6,1e-06,0.0,0.0,0.06980646833378344,True
192,2.0,leak_1e-5,1e-05,0.0,0.0,0.06974618126133027,True
192,2.0,leak_5e-5,5e-05,0.0,0.0,0.06947886148811427,True
192,2.0,leak_2e-4,0.0002,0.0,0.0,0.06848541170692389,True
192,2.0,leak_1e-3,0.001,0.0,0.0,0.06344920011007223,True
192,5.0,readout_off,0.0,0.0,0.0,0.17453292519944283,True
192,5.0,leak_1e-6,1e-06,0.0,0.0,0.1745161708344586,True
192,5.0,leak_1e-5,1e-05,0.0,0.0,0.17436545315332563,True
192,5.0,leak_5e-5,5e-05,0.0,0.0,0.17369715372028569,True
192,5.0,leak_2e-4,0.0002,0.0,0.0,0.1712135292673095,True
192,5.0,leak_1e-3,0.001,0.0,0.0,0.15862300027518061,True
192,10.0,readout_off,0.0,0.0,0.0,0.34906585039888566,True
192,10.0,leak_1e-6,1e-06,0.0,0.0,0.3490323416689172,True
192,10.0,leak_1e-5,1e-05,0.0,0.0,0.34873090630665127,True
192,10.0,leak_5e-5,5e-05,0.0,0.0,0.34739430744057137,True
192,10.0,leak_2e-4,0.0002,0.0,0.0,0.342427058534619,True
192,10.0,leak_1e-3,0.001,0.0,0.0,0.31724600055036123,True
192,20.0,readout_off,0.0,0.0,0.0,0.6981317007977713,True
192,20.0,leak_1e-6,1e-06,0.0,0.0,0.6980646833378344,True
192,20.0,leak_1e-5,1e-05,0.0,0.0,0.6974618126133025,True
192,20.0,leak_5e-5,5e-05,0.0,0.0,0.6947886148811427,True
192,20.0,leak_2e-4,0.0002,0.0,0.0,0.684854117069238,True
192,20.0,leak_1e-3,0.001,0.0,0.0,0.6344920011007225,True
192,35.0,readout_off,0.0,0.0,0.0,1.2217304763960954,True
192,35.0,leak_1e-6,1e-06,0.0,0.0,1.2216131958412104,True
192,35.0,leak_1e-5,1e-05,0.0,0.0,1.2205581720732792,True
192,35.0,leak_5e-5,5e-05,0.0,0.0,1.215880076041999,True
192,35.0,leak_2e-4,0.0002,0.0,0.0,1.1984947048711672,True
192,35.0,leak_1e-3,0.001,0.0,0.0,1.1103610019262635,True
192,60.0,readout_off,0.0,0.0,0.0,2.0943951023933107,True
192,60.0,leak_1e-6,1e-06,0.0,0.0,2.094194050013505,True
192,60.0,leak_1e-5,1e-05,0.0,0.0,2.0923854378399067,True
192,60.0,leak_5e-5,5e-05,0.0,0.0,2.0843658446434272,True
192,60.0,leak_2e-4,0.0002,0.0,0.0,2.054562351207714,True
192,60.0,leak_1e-3,0.001,0.0,0.0,1.9034760033021652,True
