readout_mode,per_step_leak,case_count,max_normalized_f_AB_projection_error,mean_normalized_f_AB_projection_error,max_abs_decay_rate_V_AB,mean_abs_decay_rate_V_AB,min_envelope_ratio_final_over_initial,max_envelope_ratio_final_over_initial
readout_off,0.0,70,2.3191544552338146e-16,1.7828056158834067e-16,8.255309734203768e-17,5.740164318291422e-17,0.9999999999999504,1.0000000000001217
leak_1e-6,1e-06,70,2.6104938238942896e-07,1.4376634743745425e-07,2.0000010002041215e-06,2.000001000045633e-06,0.9969327122325149,0.9992322944527444
leak_1e-5,1e-05,70,2.610223649948883e-06,1.4373875419886592e-06,2.000010000066167e-05,2.0000100000531834e-05,0.9697469152896518,0.9923493777408395
leak_5e-5,5e-05,70,1.3045115939866196e-05,7.180809822366327e-06,0.00010000250008349528,0.00010000250008332163,0.8576117050657791,0.9623270088564329
leak_2e-4,0.0002,70,5.209051906014682e-05,2.8631549818212146e-05,0.0004000400053341621,0.00040004000533405264,0.540932136857735,0.8576018237889561
leak_1e-3,0.001,70,0.0002580660255432312,0.00014075361448771432,0.0020010006671671585,0.0020010006671670215,0.046257252117821133,0.46376178351238123
