period_steps,omega_step,case_count,max_normalized_f_AB_projection_error,mean_normalized_f_AB_projection_error,max_abs_decay_rate_V_AB
48,0.1308996938995747,84,0.0002580660255432312,5.4345488929281856e-05,0.0020010006671671585
72,0.08726646259971647,84,0.00017128609259666383,3.6108607086114093e-05,0.002001000667167067
96,0.06544984694978735,84,0.00012776666270611215,2.6962737282054558e-05,0.0020010006671670397
144,0.04363323129985824,84,8.419463986879993e-05,1.7805409837181665e-05,0.0020010006671669117
192,0.032724923474893676,84,6.245465172380063e-05,1.3233696880282171e-05,0.002001000667166963
