step,treat_Hperp,treat_Hperp_frac,treat_PR_M,treat_amp_std
0,3.0178506516940446e-31,1.2382422287581244e-31,1.0000000000000013,6.798699777552591e-17
5,1.2113431696475285e-29,4.9702137027003296e-30,1.0000000000000002,3.099102700479406e-16
10,3.0290599579667154e-29,1.2428414743749048e-29,1.0000000000000002,5.682164193849842e-16
25,8.229914446422777e-29,3.3767832748472086e-29,1.0000000000000007,1.0052312767913058e-15
50,1.4875465578274383e-28,6.103492775932292e-29,1.0,1.3611401787511914e-15
75,2.2995694179733816e-28,9.435271290502718e-29,1.0,1.6389469237284646e-15
100,2.607229607134125e-28,1.0697619505490466e-28,1.0000000000000002,1.6004820689679567e-15
125,3.6503754152167775e-28,1.4977709342258504e-28,1.0000000000000007,1.9650298897173227e-15
150,4.497560351252488e-28,1.8453759963843456e-28,1.0000000000000002,2.188934344920104e-15
200,5.712273323017683e-28,2.3437800166812294e-28,1.0,2.568774058829367e-15
250,6.781836000371558e-28,2.782628000314793e-28,1.0000000000000004,2.7652030803091213e-15
300,8.010282175439232e-28,3.2866668363225675e-28,1.0000000000000004,2.970464365260513e-15
350,8.904487900356867e-28,3.6535648102725753e-28,1.0,3.0079482625586875e-15
400,9.961123074678604e-28,4.087108561850179e-28,1.0000000000000002,3.1590873380609613e-15
450,1.084188421578019e-27,4.44849014239624e-28,1.0000000000000004,3.2368047242722277e-15
500,1.2626649410346378e-27,5.180790009882699e-28,1.0,3.4767566307028e-15
