step,edge_index,i,j,a,b,a2,b2,ab,r2,theta,z2_re,z2_im,z2_phase_pi,a2n,b2n,abn,z2n_re,z2n_im
5000,0,1,2,-0.1556401551133493,0.0771000214045738,0.0242238578837074,0.0059444133005857,-0.0119998592906504,0.0301682711842931,2.681653022534379,0.0182794445831216,-0.0239997185813008,-0.2928066632253272,0.8029581057438712,0.19704189425612886,-0.3977642343953087,0.6059162114877389,-0.7955284687906174
5000,1,1,3,-0.0765902673054477,-0.1558916358833074,0.0058660690459199,0.0243022021383737,0.011939782062986,0.0301682711842936,-2.027463395248886,-0.0184361330924537,0.023879564125972,0.7092767148330505,0.19444498526564327,0.8055550147343566,0.3957728300056573,-0.6111100294687102,0.7915456600113145
5000,2,1,4,0.1047065630879332,0.1385814086759371,0.0109634643536873,0.0192048068306071,0.0145103830103416,0.0301682711842944,0.9237463320788044,-0.0082413424769197,0.0290207660206833,0.5880751796533967,0.3634104283507926,0.6365895716492074,0.48098158895812715,-0.2731791432984116,0.9619631779162575
5000,3,1,5,0.1419321387045124,-0.1001176267550121,0.0201447319972369,0.0100235391870559,-0.0142099088873589,0.0301682711842928,-0.6143348044528741,0.010121192810181,-0.0284198177747179,-0.3910976833682713,0.6677456548363737,0.3322543451636263,-0.4710216505464633,0.3354913096727475,-0.9420433010929299
5000,4,1,6,0.093916656646153,0.1461093179393522,0.0088203383955913,0.0213479327887027,0.0137220986457137,0.0301682711842941,0.9995109672848772,-0.0125275943931113,0.0274441972914275,0.6363084444717997,0.2923713573677783,0.7076286426322184,0.4548520053365723,-0.41525728526443667,0.9097040106731479
5000,5,1,7,0.1213614680944976,-0.124256449515672,0.0147286059380517,0.0154396652462407,-0.0150799451334317,0.0301682711842925,-0.7971841413973721,-0.0007110593081889,-0.0301598902668635,-0.5075031866314409,0.4882151134242103,0.5117848865757862,-0.49986109715439275,-0.023569773151572642,-0.9997221943087887
5000,6,1,8,-0.1244449085331495,0.121168213341902,0.0154865352598239,0.0146817359244686,-0.0150787672264581,0.0301682711842926,2.369534578834972,0.0008047993353552,-0.0301575344529162,-0.4915074358049676,0.513338506048935,0.4866614939510617,-0.4998220525911013,0.026677012097870115,-0.9996441051822026
5000,7,1,9,-0.0947945838318446,-0.1455412589626785,0.0089860131238526,0.0211822580604414,0.0137965230737298,0.030168271184294,-2.148102072366251,-0.0121962449365888,0.0275930461474596,0.6324757476678677,0.29786304521589013,0.7021369547841099,0.4573189822329777,-0.4042739095682197,0.9146379644659554
5000,8,1,10,0.0812947394157887,0.1534908353212425,0.0066088346566809,0.0235594365276128,0.0124779974601521,0.0301682711842938,1.0837195874322292,-0.0169506018709318,0.0249559949203043,0.6899173170613949,0.21906574017146832,0.7809342598285284,0.4136132754815726,-0.5618685196570569,0.8272265509631486
5000,9,1,11,-0.0763135353281208,-0.1560272909141774,0.0058237556742763,0.0243445155100173,0.01190699417733,0.0301682711842937,-2.02568901170915,-0.018520759835741,0.0238139883546601,0.7104063224782102,0.1930424066629407,0.8069575933370561,0.39468599657540393,-0.6139151866741153,0.7893719931508112
5000,10,1,12,0.171590850209895,0.026923062762991,0.0294434198757546,0.0007248513085399,0.0046197512297559,0.0301682711842945,0.1556337950809324,0.0287185685672146,0.0092395024595119,0.0990795511971259,0.9759730577827325,0.024026942217267495,0.153132779851201,0.9519461155654617,0.30626555970240527
5000,11,1,13,-0.0662700101550444,-0.1605507923940082,0.0043917142459496,0.0257765569383439,0.0106397026423513,0.0301682711842936,-1.962259746340417,-0.0213848426923942,0.0212794052847027,0.7507866469586959,0.14557394486151537,0.8544260551384814,0.3526785667416902,-0.7088521102769625,0.7053571334833837
5000,12,1,14,-0.154498574424921,0.0793628482664304,0.0238698094993328,0.0062984616849604,-0.0122614469194648,0.0301682711842933,2.6670609287751987,0.0175713478143724,-0.0245228938389296,-0.3020962786326629,0.791222319420156,0.20877768057984072,-0.4064351863108601,0.5824446388403153,-0.8128703726217202
5000,13,1,15,-0.1498271015157833,0.0878641612699526,0.0224481603486208,0.0077201108356722,-0.0131644326101923,0.0301682711842931,2.611205617510811,0.0147280495129486,-0.0263288652203847,-0.3376548741753178,0.7440983346870826,0.255901665312914,-0.43636682161111934,0.4881966693741687,-0.872733643222242
5000,14,1,16,-0.1563864558832483,0.0755747815118917,0.0244567235837231,0.0057115476005701,-0.0118188722347955,0.0301682711842933,2.691429289628013,0.018745175983153,-0.0236377444695911,-0.2865828982935731,0.8106770001608896,0.1893229998391071,-0.39176498257377224,0.6213540003217825,-0.7835299651475478
5000,15,2,3,0.0362413290384875,0.1698671164581809,0.0013134339304759,0.0288548372538172,0.00615621006038,0.0301682711842931,1.3605967869543676,-0.0275414033233413,0.01231242012076,0.8661828167949521,0.04353693065314695,0.956463069346853,0.20406240791103694,-0.9129261386937061,0.4081248158220739
5000,16,2,4,-0.1004272312855251,-0.1417132400328836,0.0100856287836763,0.0200826424006177,0.0142318683330035,0.030168271184294,-2.1873141698640417,-0.0099970136169413,0.0284637366660071,0.6075125510847685,0.33431245436851587,0.6656875456314841,0.47174954925533813,-0.33137509126296494,0.9434990985106796
5000,17,2,5,-0.0363041885905932,-0.1698536931452234,0.0013179941092213,0.0288502770750717,0.0061664005087529,0.030168271184293,-1.7813659325814106,-0.0275322829658503,0.0123328010175058,0.865947225496658,0.043688088759541145,0.9563119112404588,0.20440019486311875,-0.9126238224809143,0.4088003897262375
5000,18,2,6,0.1619858432743839,-0.062680601169583,0.0262394134213132,0.0039288577629803,-0.0101533700374002,0.0301682711842936,-0.3692069660479419,0.0223105556583329,-0.0203067400748004,-0.2350444546819661,0.8697685479230951,0.13023145207690145,-0.3365579013585078,0.7395370958461938,-0.6731158027170157
5000,19,2,7,-0.1086898180116114,-0.1354798680428093,0.0118134765393972,0.018354794644897,0.01472528220181,0.0301682711842942,-2.246912627627802,-0.0065413181054998,0.0294505644036201,0.5695709944697444,0.39158612925580477,0.6084138707441952,0.48810494018218975,-0.21682774148839037,0.9762098803643828
5000,20,2,8,-0.0964561938764039,-0.1444454009208028,0.0093037973371224,0.0208644738471714,0.0139326535957718,0.0301682711842939,-2.1595618537280727,-0.011560676510049,0.0278653071915437,0.6251802242659222,0.3083967682565155,0.6916032317434813,0.4618313562172356,-0.38320646348696574,0.9236627124344745
5000,21,2,9,-0.0716180180154264,-0.1582375766998335,0.0051291405044579,0.0250391306798356,0.0113326616188061,0.0301682711842936,-1.995808688251703,-0.0199099901753777,0.0226653232376122,0.7294287271959596,0.17001771407863325,0.8299822859213635,0.3756483608084968,-0.6599645718427302,0.7512967216169936
