step,tol,triplet_cluster_count
0,0.01,2
0,0.001,2
0,0.0001,2
0,1e-06,2
0,1e-08,2
50,0.01,2
50,0.001,2
50,0.0001,2
50,1e-06,2
50,1e-08,2
100,0.01,2
100,0.001,2
100,0.0001,4
100,1e-06,36
100,1e-08,112
150,0.01,55
150,0.001,102
150,0.0001,117
150,1e-06,120
150,1e-08,120
200,0.01,62
200,0.001,107
200,0.0001,118
200,1e-06,120
200,1e-08,120
250,0.01,67
250,0.001,106
250,0.0001,118
250,1e-06,120
250,1e-08,120
300,0.01,65
300,0.001,104
300,0.0001,116
300,1e-06,120
300,1e-08,120
350,0.01,62
350,0.001,102
350,0.0001,116
350,1e-06,120
350,1e-08,120
400,0.01,68
400,0.001,105
400,0.0001,116
400,1e-06,120
400,1e-08,120
450,0.01,65
450,0.001,104
450,0.0001,116
450,1e-06,120
450,1e-08,120
500,0.01,62
500,0.001,102
500,0.0001,116
500,1e-06,120
500,1e-08,120
750,0.01,65
750,0.001,104
750,0.0001,116
750,1e-06,120
750,1e-08,120
1000,0.01,68
1000,0.001,105
1000,0.0001,116
1000,1e-06,120
1000,1e-08,120
1500,0.01,65
1500,0.001,104
1500,0.0001,116
1500,1e-06,120
1500,1e-08,120
2000,0.01,62
2000,0.001,102
2000,0.0001,116
2000,1e-06,120
2000,1e-08,120
2500,0.01,68
2500,0.001,105
2500,0.0001,116
2500,1e-06,120
2500,1e-08,120
3000,0.01,65
3000,0.001,104
3000,0.0001,116
3000,1e-06,120
3000,1e-08,120
3500,0.01,62
3500,0.001,102
3500,0.0001,116
3500,1e-06,120
3500,1e-08,120
4000,0.01,68
4000,0.001,105
4000,0.0001,116
4000,1e-06,120
4000,1e-08,120
4500,0.01,65
4500,0.001,104
4500,0.0001,116
4500,1e-06,120
4500,1e-08,120
5000,0.01,62
5000,0.001,102
5000,0.0001,116
5000,1e-06,120
5000,1e-08,120
