step,H_total,abs_ZtZ,sum_a2,sum_b2,sum_ab,r2_min,r2_max,simplex_rank
0,3.6201925420978798,1.616747389211548e-14,1.8100962710489332,1.8100962710489463,-4.551914400963142e-15,0.02160246770872127,0.041862635138415816,15
1,3.620192542097869,1.0704876105541625e-14,1.8100962710489292,1.8100962710489399,-4.718447854656915e-16,0.02160246770872134,0.04186263513841591,15
2,3.6201925420978736,1.7426573055418564e-14,1.8100962710489281,1.8100962710489459,9.645062526431047e-16,0.02160246770872145,0.041862635138416066,15
3,3.620192542097869,2.0560718945040657e-14,1.8100962710489243,1.8100962710489445,-1.1796119636642288e-15,0.02160246770872143,0.04186263513841583,15
4,3.6201925420978616,1.452617291415487e-14,1.8100962710489252,1.8100962710489363,-4.690692279041286e-15,0.02160246770872141,0.04186263513841569,15
5,3.6201925420978713,9.756746123539063e-15,1.8100962710489337,1.810096271048938,-4.343747583845925e-15,0.021602467708721526,0.041862635138415816,15
6,3.6201925420978727,5.948311908962453e-15,1.8100962710489332,1.810096271048939,-1.0824674490095276e-15,0.02160246770872164,0.041862635138416024,15
7,3.6201925420978776,1.0420444501147842e-14,1.8100962710489341,1.8100962710489434,-2.3245294578089215e-15,0.02160246770872174,0.04186263513841626,15
8,3.620192542097878,1.52371790423247e-14,1.8100962710489337,1.8100962710489448,-5.204170427930421e-15,0.021602467708721783,0.04186263513841629,15
9,3.6201925420978833,1.786709533502549e-14,1.8100962710489386,1.8100962710489448,-8.382183835919932e-15,0.02160246770872183,0.041862635138416204,15
10,3.6201925420978887,1.304512053934559e-14,1.8100962710489439,1.8100962710489443,-6.536438057480609e-15,0.02160246770872188,0.041862635138416156,15
11,3.6201925420978913,8.965738342090653e-15,1.8100962710489439,1.8100962710489474,-4.093947403305265e-15,0.02160246770872206,0.04186263513841629,15
12,3.620192542097898,1.4228624520802642e-14,1.810096271048943,1.810096271048955,-3.8441472227646045e-15,0.02160246770872239,0.04186263513841663,15
13,3.6201925420978913,1.905197379545566e-14,1.810096271048939,1.8100962710489525,-6.494804694057166e-15,0.021602467708722532,0.041862635138416496,15
14,3.6201925420978918,2.040810336925053e-14,1.8100962710489403,1.8100962710489505,-8.835814024887867e-15,0.021602467708722706,0.04186263513841618,15
15,3.6201925420978904,1.1471349517479625e-14,1.8100962710489439,1.8100962710489463,-5.564992910933597e-15,0.021602467708723035,0.04186263513841594,15
16,3.620192542097885,7.304727555988313e-15,1.81009627104894,1.8100962710489452,-2.4702462297909733e-15,0.021602467708723497,0.041862635138416,15
17,3.620192542097885,1.711553821125927e-14,1.8100962710489346,1.810096271048951,-2.7478019859472624e-15,0.021602467708724146,0.0418626351384161,15
18,3.620192542097892,2.00631154819152e-14,1.8100962710489383,1.810096271048954,-6.5503158452884236e-15,0.021602467708724805,0.04186263513841607,15
19,3.6201925420978966,1.9650967137250703e-14,1.8100962710489426,1.810096271048954,-7.875644580934704e-15,0.021602467708725596,0.04186263513841589,15
20,3.6201925420978904,1.3551999095955062e-14,1.8100962710489414,1.8100962710489492,-5.509481759702339e-15,0.02160246770872673,0.04186263513841579,15
