step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9,takagi_r10,takagi_r11,takagi_r12,takagi_r13,takagi_r14,takagi_r15,takagi_r16
0,0.3171622983586931,0.310879910702207,0.309444251124773,0.2954812954869786,0.29180435975646896,0.2520675016384823,0.2289806830080029,0.21600553743616144,0.18112614713882955,0.16638902290293311,0.1430742502790266,0.14157667788561287,0.12429703843945168,0.10344348268146118,0.08447727934511688,2.325168046043542e-09
1,0.3171622983586927,0.3108799107022067,0.30944425112477225,0.2954812954869781,0.29180435975646885,0.25206750163848185,0.2289806830080025,0.21600553743616113,0.1811261471388295,0.16638902290293314,0.1430742502790268,0.141576677885612,0.12429703843945128,0.10344348268146154,0.08447727934511727,2.913302234663513e-09
2,0.3171622983586931,0.31087991070220683,0.3094442511247725,0.2954812954869781,0.29180435975646896,0.25206750163848196,0.22898068300800253,0.21600553743616133,0.18112614713882974,0.16638902290293356,0.143074250279027,0.14157667788561154,0.12429703843945082,0.10344348268146193,0.08447727934511758,2.2543477322194494e-09
3,0.31716229835869275,0.3108799107022064,0.30944425112477236,0.295481295486978,0.2918043597564686,0.25206750163848207,0.22898068300800248,0.21600553743616144,0.18112614713882955,0.1663890229029335,0.14307425027902668,0.14157667788561126,0.12429703843945093,0.10344348268146146,0.08447727934511727,3.248296829774709e-09
4,0.31716229835869236,0.3108799107022059,0.30944425112477214,0.2954812954869777,0.2918043597564681,0.25206750163848196,0.22898068300800242,0.21600553743616133,0.18112614713882932,0.16638902290293334,0.14307425027902634,0.14157667788561104,0.12429703843945088,0.10344348268146099,0.08447727934511717,2.1077089198918276e-09
5,0.31716229835869275,0.31087991070220644,0.30944425112477253,0.29548129548697816,0.29180435975646857,0.2520675016384822,0.22898068300800284,0.2160055374361616,0.18112614713882974,0.16638902290293328,0.14307425027902662,0.14157667788561165,0.12429703843945136,0.10344348268146106,0.08447727934511727,3.3723857521187293e-09
6,0.31716229835869286,0.31087991070220655,0.30944425112477264,0.29548129548697816,0.2918043597564686,0.2520675016384821,0.22898068300800273,0.21600553743616147,0.18112614713882993,0.1663890229029335,0.14307425027902673,0.14157667788561126,0.12429703843945095,0.10344348268146122,0.0844772793451176,1.7418748721004154e-09
7,0.31716229835869314,0.31087991070220694,0.3094442511247728,0.2954812954869783,0.29180435975646896,0.25206750163848224,0.22898068300800278,0.2160055374361616,0.18112614713883016,0.16638902290293364,0.14307425027902704,0.14157667788561112,0.12429703843945097,0.10344348268146149,0.08447727934511773,1.2384671569873436e-09
8,0.31716229835869314,0.31087991070220694,0.3094442511247729,0.2954812954869783,0.29180435975646896,0.2520675016384823,0.2289806830080029,0.21600553743616166,0.18112614713883024,0.16638902290293373,0.14307425027902698,0.1415766778856109,0.12429703843945077,0.1034434826814615,0.08447727934511763,2.0657308342804238e-09
9,0.31716229835869325,0.31087991070220694,0.30944425112477325,0.29548129548697866,0.29180435975646896,0.25206750163848257,0.22898068300800326,0.21600553743616202,0.1811261471388303,0.1663890229029338,0.14307425027902676,0.14157667788561062,0.12429703843945089,0.10344348268146122,0.08447727934511727,1.1556578891112803e-09
10,0.31716229835869336,0.3108799107022072,0.3094442511247735,0.29548129548697905,0.29180435975646923,0.25206750163848274,0.22898068300800356,0.21600553743616227,0.1811261471388304,0.1663890229029337,0.14307425027902668,0.14157667788561076,0.12429703843945118,0.10344348268146139,0.08447727934511684,3.4287352677684467e-09
11,0.3171622983586935,0.3108799107022074,0.30944425112477375,0.29548129548697905,0.2918043597564693,0.25206750163848274,0.2289806830080034,0.21600553743616227,0.18112614713883066,0.16638902290293392,0.1430742502790268,0.14157667788561054,0.12429703843945077,0.1034434826814616,0.0844772793451172,2.232155476638941e-09
12,0.3171622983586937,0.3108799107022079,0.3094442511247739,0.2954812954869792,0.29180435975646973,0.2520675016384828,0.22898068300800353,0.21600553743616258,0.1811261471388312,0.16638902290293411,0.14307425027902723,0.14157667788561018,0.1242970384394508,0.10344348268146218,0.0844772793451176,2.633763882192424e-09
