t,H,Q2_re,Q2_im,generator_norm,antisym_residual
776,np.float64(1480.2466133011735),np.float64(-74.79871400419012),np.float64(353.86167864008524),np.float64(659.3356794031049),np.float64(2.842170943040401e-14)
777,np.float64(1480.246613301172),np.float64(-74.7987140041786),np.float64(353.86167864008684),np.float64(659.3356799493308),np.float64(2.842170943040401e-14)
778,np.float64(1480.2466133011699),np.float64(-74.79871400415838),np.float64(353.86167864009013),np.float64(659.3356805740938),np.float64(2.842170943040401e-14)
779,np.float64(1480.2466133011671),np.float64(-74.79871400417329),np.float64(353.86167864008723),np.float64(659.3356811346603),np.float64(2.842170943040401e-14)
780,np.float64(1480.246613301167),np.float64(-74.79871400415055),np.float64(353.8616786400923),np.float64(659.3356815332995),np.float64(3.552713678800501e-15)
781,np.float64(1480.246613301165),np.float64(-74.79871400415689),np.float64(353.8616786400929),np.float64(659.3356817414494),np.float64(2.842170943040401e-14)
782,np.float64(1480.246613301164),np.float64(-74.79871400418695),np.float64(353.86167864008553),np.float64(659.3356818254057),np.float64(2.842170943040401e-14)
783,np.float64(1480.246613301164),np.float64(-74.79871400413779),np.float64(353.8616786400957),np.float64(659.3356819237441),np.float64(2.842170943040401e-14)
784,np.float64(1480.2466133011626),np.float64(-74.79871400414154),np.float64(353.86167864009565),np.float64(659.3356821426422),np.float64(2.842170943040401e-14)
785,np.float64(1480.2466133011646),np.float64(-74.79871400412563),np.float64(353.8616786400998),np.float64(659.3356825614319),np.float64(2.842170943040401e-14)
786,np.float64(1480.246613301168),np.float64(-74.79871400410569),np.float64(353.8616786401053),np.float64(659.3356831264282),np.float64(2.842170943040401e-14)
787,np.float64(1480.2466133011676),np.float64(-74.79871400407959),np.float64(353.8616786401116),np.float64(659.3356837540058),np.float64(2.842170943040401e-14)
788,np.float64(1480.2466133011644),np.float64(-74.79871400415112),np.float64(353.8616786400961),np.float64(659.3356842799277),np.float64(2.842170943040401e-14)
789,np.float64(1480.246613301164),np.float64(-74.79871400416687),np.float64(353.86167864009326),np.float64(659.3356846297868),np.float64(2.842170943040401e-14)
790,np.float64(1480.246613301163),np.float64(-74.79871400417662),np.float64(353.8616786400901),np.float64(659.3356847777648),np.float64(2.842170943040401e-14)
791,np.float64(1480.246613301162),np.float64(-74.79871400415101),np.float64(353.8616786400959),np.float64(659.3356848319837),np.float64(2.842170943040401e-14)
792,np.float64(1480.2466133011644),np.float64(-74.79871400415053),np.float64(353.86167864009633),np.float64(659.3356849178311),np.float64(2.842170943040401e-14)
793,np.float64(1480.246613301164),np.float64(-74.79871400414052),np.float64(353.8616786400978),np.float64(659.3356851574961),np.float64(2.842170943040401e-14)
794,np.float64(1480.2466133011676),np.float64(-74.79871400415848),np.float64(353.86167864009354),np.float64(659.3356855941984),np.float64(4.748507359889076e-15)
795,np.float64(1480.2466133011621),np.float64(-74.79871400411768),np.float64(353.8616786401008),np.float64(659.3356861688143),np.float64(2.842170943040401e-14)
796,np.float64(1480.2466133011599),np.float64(-74.79871400409726),np.float64(353.8616786401049),np.float64(659.3356867691339),np.float64(2.842170943040401e-14)
797,np.float64(1480.246613301163),np.float64(-74.79871400409542),np.float64(353.8616786401063),np.float64(659.3356872388083),np.float64(2.842170943040401e-14)
798,np.float64(1480.2466133011624),np.float64(-74.79871400409027),np.float64(353.86167864010685),np.float64(659.3356875206781),np.float64(2.842170943040401e-14)
799,np.float64(1480.2466133011621),np.float64(-74.79871400405635),np.float64(353.86167864011674),np.float64(659.335687611134),np.float64(2.842170943040401e-14)
800,np.float64(1480.2466133011671),np.float64(-74.79871400405466),np.float64(353.8616786401196),np.float64(659.3356876440487),np.float64(2.842170943040401e-14)
801,np.float64(1480.2466133011724),np.float64(-74.79871400405409),np.float64(353.86167864012117),np.float64(659.3356877314774),np.float64(2.842170943040401e-14)
802,np.float64(1480.2466133011753),np.float64(-74.79871400401656),np.float64(353.86167864012754),np.float64(659.3356879990845),np.float64(2.842170943040401e-14)
803,np.float64(1480.2466133011762),np.float64(-74.79871400402563),np.float64(353.8616786401261),np.float64(659.3356884462613),np.float64(2.842170943040401e-14)
804,np.float64(1480.2466133011783),np.float64(-74.79871400400697),np.float64(353.86167864012833),np.float64(659.3356890138848),np.float64(2.842170943040401e-14)
805,np.float64(1480.246613301177),np.float64(-74.79871400401382),np.float64(353.86167864012594),np.float64(659.3356895587011),np.float64(2.842170943040401e-14)
