wave_id,resolution,base_wave,harmonics,phase_composition,reflection_fraction,reflection_value,theta_over_pi,finite_order_lock,real_rotation_period,closure_address,conjugate_address,charge_magnitude,particle_antiparticle,conjugate_direction_count,winding_cover_spin
N6-W0001,6,1lambda0(0deg),なし,base:0deg,0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,内部倍音なし（スピン型未分類）
N6-W0002,6,1lambda0(180deg),なし,base:180deg,0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,内部倍音なし（スピン型未分類）
N6-W0003,6,2lambda0(0deg),なし,base:0deg,0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,内部倍音なし（スピン型未分類）
N6-W0004,6,2lambda0(0deg),1lambda0(0deg);order=2,"base:0deg, order2:0deg",0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,偶数巻数のみ: 1:1被覆（整数スピン型）
N6-W0005,6,2lambda0(0deg),1lambda0(180deg);order=2,"base:0deg, order2:180deg",0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,偶数巻数のみ: 1:1被覆（整数スピン型）
N6-W0006,6,2lambda0(180deg),なし,base:180deg,0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,内部倍音なし（スピン型未分類）
N6-W0007,6,2lambda0(180deg),1lambda0(0deg);order=2,"base:180deg, order2:0deg",0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,偶数巻数のみ: 1:1被覆（整数スピン型）
N6-W0008,6,2lambda0(180deg),1lambda0(180deg);order=2,"base:180deg, order2:180deg",0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,偶数巻数のみ: 1:1被覆（整数スピン型）
N6-W0009,6,3lambda0(0deg),なし,base:0deg,0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,内部倍音なし（スピン型未分類）
N6-W0010,6,3lambda0(0deg),1lambda0(0deg);order=3,"base:0deg, order3:0deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N6-W0011,6,3lambda0(0deg),1lambda0(180deg);order=3,"base:0deg, order3:180deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N6-W0012,6,3lambda0(180deg),なし,base:180deg,0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,内部倍音なし（スピン型未分類）
N6-W0013,6,3lambda0(180deg),1lambda0(0deg);order=3,"base:180deg, order3:0deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N6-W0014,6,3lambda0(180deg),1lambda0(180deg);order=3,"base:180deg, order3:180deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N6-W0015,6,6lambda0(0deg),なし,base:0deg,0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,内部倍音なし（スピン型未分類）
N6-W0016,6,6lambda0(0deg),3lambda0(0deg);order=2,"base:0deg, order2:0deg",0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,偶数巻数のみ: 1:1被覆（整数スピン型）
N6-W0017,6,6lambda0(0deg),3lambda0(180deg);order=2,"base:0deg, order2:180deg",0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,偶数巻数のみ: 1:1被覆（整数スピン型）
N6-W0018,6,6lambda0(0deg),2lambda0(0deg);order=3,"base:0deg, order3:0deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N6-W0019,6,6lambda0(0deg),2lambda0(0deg);order=3+3lambda0(0deg);order=2,"base:0deg, order3:0deg, order2:0deg",1/4,0.25,1/6,True,12,+1/3,-1/3 (=2/3),0.7499999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇偶巻数混合: 混合被覆（単一スピン型に未分類）
N6-W0020,6,6lambda0(0deg),2lambda0(0deg);order=3+3lambda0(180deg);order=2,"base:0deg, order3:0deg, order2:180deg",1/4,0.25,1/6,True,12,+1/3,-1/3 (=2/3),0.7499999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇偶巻数混合: 混合被覆（単一スピン型に未分類）
N6-W0021,6,6lambda0(0deg),2lambda0(180deg);order=3,"base:0deg, order3:180deg",1/2,0.5,1/4,True,8,+1/4,-1/4 (=3/4),0.4999999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇数巻数のみ: 2:1被覆（半整数スピン型）
N6-W0022,6,6lambda0(0deg),2lambda0(180deg);order=3+3lambda0(0deg);order=2,"base:0deg, order3:180deg, order2:0deg",1/4,0.25,1/6,True,12,+1/3,-1/3 (=2/3),0.7499999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇偶巻数混合: 混合被覆（単一スピン型に未分類）
N6-W0023,6,6lambda0(0deg),2lambda0(180deg);order=3+3lambda0(180deg);order=2,"base:0deg, order3:180deg, order2:180deg",1/4,0.25,1/6,True,12,+1/3,-1/3 (=2/3),0.7499999999999999,粒子・反粒子の共役方向対（+住所 / -住所）,2,奇偶巻数混合: 混合被覆（単一スピン型に未分類）
N6-W0024,6,6lambda0(0deg),1lambda0(0deg);order=6,"base:0deg, order6:0deg",0,0.0,0,False,,なし,なし,0.0,閉鎖共役対なし（自由基底）,1,偶数巻数のみ: 1:1被覆（整数スピン型）
