族ID,分解能N,基底波長,利用可能な奇数倍音次数,利用可能な偶数倍音次数,選択する奇数倍音数,選択する偶数倍音数,波長・倍音構成数,各構成の位相数,位相込み波形数,反射率R（等振幅）,theta/pi,有限位数閉鎖,実回転周期,閉鎖住所,共役住所,住所電荷量sin2(pi*m/n),粒子・反粒子,巻数・被覆から読むスピン,共役方向を区別した候補状態数
N6-F001,6,1lambda0,なし,なし,0,0,1,2,2,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,内部倍音なし（スピン型未分類）,2
N6-F002,6,2lambda0,なし,2,0,0,1,2,2,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,内部倍音なし（スピン型未分類）,2
N6-F003,6,2lambda0,なし,2,0,1,1,4,4,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,4
N6-F004,6,3lambda0,3,なし,0,0,1,2,2,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,内部倍音なし（スピン型未分類）,2
N6-F005,6,3lambda0,3,なし,1,0,1,4,4,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,8
N6-F006,6,6lambda0,3,"6,2",0,0,1,2,2,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,内部倍音なし（スピン型未分類）,2
N6-F007,6,6lambda0,3,"6,2",0,1,2,4,8,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,8
N6-F008,6,6lambda0,3,"6,2",0,2,1,8,8,0,0,不成立,—,なし,なし,0,閉鎖共役対なし（自由基底）,偶数巻数のみ: 1:1被覆（整数スピン型）,8
N6-F009,6,6lambda0,3,"6,2",1,0,1,4,4,1/2,1/4,成立,8,+1/4,-1/4 (=3/4),0.5,粒子・反粒子の共役方向対（+住所 / -住所）,奇数巻数のみ: 2:1被覆（半整数スピン型）,8
N6-F010,6,6lambda0,3,"6,2",1,1,2,8,16,1/4,1/6,成立,12,+1/3,-1/3 (=2/3),0.75,粒子・反粒子の共役方向対（+住所 / -住所）,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,32
N6-F011,6,6lambda0,3,"6,2",1,2,1,16,16,1/6,0.133860236401（無理数）,不成立,—,なし（有限位数非成立）,なし,—,閉鎖共役対なし,奇偶巻数混合: 混合被覆（単一スピン型に未分類）,16
