step,time,gram_symmetry_error,gram_reconstruction_error,reduced_skew_error,reduced_eigen_residual,lifted_eigen_residual,orth_Bdom,orth_C4,conservation_error
0,0,0.00000000000000000e+00,2.11067582831192264e-15,0.00000000000000000e+00,5.38473433384229677e-16,1.22057440053379656e-15,8.02193420194092324e-16,nan,4.44089209850062616e-16
5,5,0.00000000000000000e+00,2.04892291329983242e-15,0.00000000000000000e+00,5.29442372055940974e-16,1.05534759906597461e-15,4.44499536927757449e-16,nan,4.44089209850062616e-16
10,10,0.00000000000000000e+00,2.03708535147161310e-15,0.00000000000000000e+00,6.21007531019743688e-16,1.36337345243665947e-15,2.22166552204097533e-16,nan,4.44089209850062616e-16
15,15,0.00000000000000000e+00,2.16309331655280407e-15,0.00000000000000000e+00,4.73093494692034741e-16,1.62522513237378962e-15,4.44158920763501197e-16,nan,2.22044604925031308e-16
20,20,0.00000000000000000e+00,2.15034686657940770e-15,0.00000000000000000e+00,7.23424797502663444e-16,2.09821215681245904e-15,3.14301622874550273e-16,nan,4.44089209850062616e-16
25,25,0.00000000000000000e+00,2.18004944508015665e-15,0.00000000000000000e+00,1.21060690898240624e-16,1.01521124639913096e-15,1.71498692040372088e-17,nan,4.44089209850062616e-16
30,30,0.00000000000000000e+00,2.04532808048228944e-15,0.00000000000000000e+00,4.75637978770849045e-16,1.24423938601786426e-15,1.11040851942347565e-16,nan,4.44089209850062616e-16
35,35,0.00000000000000000e+00,2.16017314141301592e-15,0.00000000000000000e+00,1.19350996006134621e-16,1.87705177262193865e-15,1.31277748350448986e-17,nan,4.44089209850062616e-16
40,40,0.00000000000000000e+00,2.19579987104884257e-15,0.00000000000000000e+00,2.36202086580449930e-16,1.86574420665948670e-15,2.23161424518444940e-16,nan,2.22044604925031308e-16
45,45,0.00000000000000000e+00,2.11735018427713909e-15,0.00000000000000000e+00,6.48778861998193716e-16,1.14885543904173174e-15,5.55155121240380752e-16,nan,2.22044604925031308e-16
50,50,0.00000000000000000e+00,2.04054972006708123e-15,0.00000000000000000e+00,4.63613124827696196e-16,1.51310402942754291e-15,1.58037742935730144e-16,nan,6.66133814775093924e-16
55,55,0.00000000000000000e+00,2.16085534785282181e-15,0.00000000000000000e+00,5.35778843048961512e-16,1.24741603284105927e-15,4.44759059183550287e-16,nan,4.44089209850062616e-16
60,60,0.00000000000000000e+00,2.11534796578615898e-15,0.00000000000000000e+00,8.02057134766399042e-16,1.66047122836863123e-15,2.22368066096132538e-16,nan,4.44089209850062616e-16
65,65,0.00000000000000000e+00,2.04998614776784067e-15,0.00000000000000000e+00,1.17271511130257575e-15,2.27819122686912094e-15,2.48726014669337640e-16,nan,2.22044604925031308e-16
70,70,0.00000000000000000e+00,2.08582483783702776e-15,0.00000000000000000e+00,5.57671358207630320e-16,1.50062982210930276e-15,6.66154216166193210e-16,nan,2.22044604925031308e-16
75,75,0.00000000000000000e+00,1.98083308036216537e-15,0.00000000000000000e+00,8.90316051213931465e-16,1.10223512831368205e-15,4.96592647656784592e-16,nan,2.22044604925031308e-16
80,80,0.00000000000000000e+00,2.11955113639191005e-15,0.00000000000000000e+00,4.71290650322223838e-16,1.25359161362355647e-15,6.29609991335019278e-16,nan,2.22044604925031308e-16
85,85,0.00000000000000000e+00,2.27895033740941394e-15,0.00000000000000000e+00,5.94929734641769718e-16,3.17496220258829150e-15,2.50978176640325931e-16,nan,2.22044604925031308e-16
90,90,0.00000000000000000e+00,1.96594300100936528e-15,0.00000000000000000e+00,1.35305346088266567e-15,1.84069163175556896e-15,3.14022436326713496e-16,nan,4.44089209850062616e-16
95,95,0.00000000000000000e+00,2.06031943636324791e-15,0.00000000000000000e+00,7.59745168660322935e-16,1.01103272988842853e-15,6.75326199245457566e-16,nan,4.44089209850062616e-16
100,100,0.00000000000000000e+00,2.14786127788826661e-15,0.00000000000000000e+00,8.29594865541646934e-16,1.58879372418192210e-15,2.22671702996579476e-16,nan,2.22044604925031308e-16
105,105,0.00000000000000000e+00,2.04897751629271630e-15,0.00000000000000000e+00,6.22099171754703783e-16,1.37889258626346441e-15,4.96507490760961670e-16,nan,4.44089209850062616e-16
110,110,0.00000000000000000e+00,2.03420822431534673e-15,0.00000000000000000e+00,3.69463855802191016e-16,1.73810521656424829e-15,2.22079614304995174e-16,nan,6.66133814775093924e-16
115,115,0.00000000000000000e+00,2.11246452753975779e-15,0.00000000000000000e+00,1.07140367477406683e-15,1.17315975592035865e-15,4.96614918408744491e-16,nan,0.00000000000000000e+00
120,120,0.00000000000000000e+00,2.12388636407959511e-15,0.00000000000000000e+00,1.37026973166476938e-15,1.62770276225235003e-15,2.22194337945986975e-16,nan,4.44089209850062616e-16
125,125,0.00000000000000000e+00,2.12972091602235708e-15,0.00000000000000000e+00,5.18208720248026080e-16,1.14318073588043901e-15,4.98314945270668434e-16,nan,4.44089209850062616e-16
