candidate_step,candidate_label,step,time,relative_time,eps_fro,eps_op,eta4
2210,post_crossing,0,0,-2011,2.50021376099975988e-15,1.79418973182790917e-15,3.12553442534628081e-30
2210,post_crossing,25,25,-1986,2.91338196922061945e-14,2.39437783427000136e-14,4.24389724928990644e-28
2210,post_crossing,50,50,-1961,6.53857388232381604e-14,5.75618561981124231e-14,2.13764742073035665e-27
2210,post_crossing,75,75,-1936,1.17402663494649100e-13,1.07796364821232049e-13,6.89169269781890364e-27
2210,post_crossing,100,100,-1911,1.96352953991857039e-13,1.84773056191942237e-13,1.92772412706641597e-26
2210,post_crossing,125,125,-1886,3.18573455693385350e-13,3.04081351080920966e-13,5.07445233362126699e-26
2210,post_crossing,150,150,-1861,5.08635767920988041e-13,4.89519826248823528e-13,1.29355172204286581e-25
2210,post_crossing,175,175,-1836,8.04863834901935818e-13,7.78321707267669377e-13,3.23902896366525220e-25
2210,post_crossing,200,200,-1811,1.26699756195176016e-12,1.22863630126942052e-12,8.02641410995851996e-25
2210,post_crossing,225,225,-1786,1.98824992676509406e-12,1.93110047763707642e-12,1.97656888564070071e-24
2210,post_crossing,250,250,-1761,3.11401099727434915e-12,3.02705157109622108e-12,4.84853224557279267e-24
2210,post_crossing,275,275,-1736,4.87106019523782323e-12,4.73688060400816369e-12,1.18636137128151678e-23
2210,post_crossing,300,300,-1711,7.61381296946618588e-12,7.40477423329679823e-12,2.89850739670057440e-23
2210,post_crossing,325,325,-1686,1.18955409319594075e-11,1.15678630409883318e-11,7.07519470319608587e-23
2210,post_crossing,350,350,-1661,1.85804240744893796e-11,1.80646342631783781e-11,1.72616079393932312e-22
2210,post_crossing,375,375,-1636,2.90175980925988952e-11,2.82035437494738442e-11,4.21010499531799416e-22
2210,post_crossing,400,400,-1611,4.53139401716113322e-11,4.40268199131963531e-11,1.02667658693818550e-21
2210,post_crossing,425,425,-1586,7.07599599971456834e-11,6.87223998149650984e-11,2.50348596939882847e-21
2210,post_crossing,450,450,-1561,1.10494634844086657e-10,1.07266437220648360e-10,6.10453216466402275e-21
2210,post_crossing,475,475,-1536,1.72543950658296800e-10,1.67426415699966453e-10,1.48857074543863786e-20
2210,post_crossing,500,500,-1511,2.69443033969203739e-10,2.61327087009282410e-10,3.62997742772647479e-20
2210,post_crossing,525,525,-1486,4.20770294096458216e-10,4.07895285891382488e-10,8.85238201970099497e-20
2210,post_crossing,550,550,-1461,6.57105867178313559e-10,6.36676556734998695e-10,2.15894060340081776e-19
2210,post_crossing,575,575,-1436,1.02621447001190145e-09,9.93792768877801981e-10,5.26558069230903784e-19
2210,post_crossing,600,600,-1411,1.60270482425537485e-09,1.55124381742401230e-09,1.28433137684572581e-18
2210,post_crossing,625,625,-1386,2.50311753247274963e-09,2.42142734455546450e-09,3.13279869068623247e-18
2210,post_crossing,650,650,-1361,3.90949703540092154e-09,3.77980817985932156e-09,7.64208353490429545e-18
2210,post_crossing,675,675,-1336,6.10621506004954641e-09,5.90030835066336965e-09,1.86429311797879453e-17
2210,post_crossing,700,700,-1311,9.53749740163694183e-09,9.21055696925908816e-09,4.54819283431156887e-17
2210,post_crossing,725,725,-1286,1.48972970762887269e-08,1.43781465143651380e-08,1.10964730089600295e-16
2210,post_crossing,750,750,-1261,2.32697023284270828e-08,2.24452956694066623e-08,2.70739523226802327e-16
2210,post_crossing,775,775,-1236,3.63483011708830032e-08,3.50390872898270714e-08,6.60599499004607241e-16
2210,post_crossing,800,800,-1211,5.67789056029585585e-08,5.46996949249970247e-08,1.61192206073483892e-15
2210,post_crossing,825,825,-1186,8.86950183173150859e-08,8.53928188939679865e-08,3.93340313715442864e-15
2210,post_crossing,850,850,-1161,1.38554454665050662e-07,1.33309721614543434e-07,9.59866845376478475e-15
2210,post_crossing,875,875,-1136,2.16446515717769810e-07,2.08116279382243379e-07,2.34245470831813795e-14
2210,post_crossing,900,900,-1111,3.38134418103598121e-07,3.24903078521398118e-07,5.71674423531294229e-14
2210,post_crossing,925,925,-1086,5.28246618058634899e-07,5.07230054676058877e-07,1.39522244745192615e-13
2210,post_crossing,950,950,-1061,8.25263434545495130e-07,7.91880084636629706e-07,3.40529868198913423e-13
2210,post_crossing,975,975,-1036,1.28930918611237349e-06,1.23628091590282705e-06,8.31159088696875056e-13
2210,post_crossing,1000,1000,-1011,2.01432876053625324e-06,1.93009360183107986e-06,2.02876017776175819e-12
2210,post_crossing,1025,1025,-986,3.14711669655876128e-06,3.01330724045751216e-06,4.95217175087946474e-12
2210,post_crossing,1050,1050,-961,4.91705746103755878e-06,4.70449491530299035e-06,1.20887270375725587e-11
2210,post_crossing,1075,1075,-936,7.68261138139751640e-06,7.34494159488601306e-06,2.95112588187893169e-11
2210,post_crossing,1100,1100,-911,1.20039873050756127e-05,1.14675709149597665e-05,7.20478556102082123e-11
2210,post_crossing,1125,1125,-886,1.87567823394270547e-05,1.79046346817129709e-05,1.75908441864321243e-10
2210,post_crossing,1150,1150,-861,2.93097509418547096e-05,2.79560309394685585e-05,4.29530750136776429e-10
2210,post_crossing,1175,1175,-836,4.58030567321737904e-05,4.36525462581262519e-05,1.04896000300536561e-09
