step,H_parallel,H_perp,H_total,PR,PR_over_M,abs_ZT_Z,sigma1_of_step_generator,amp_min,amp_max,amp_std,K_spectral_norm,K_antisym_error,measured_phase_advance,angle_times_sigma1_next
0.0,3.135587137180701,6.649364555166192e-32,3.135587137180701,62.705162925113086,0.6890677244517922,1.864332169829804e-17,nan,0.01680428882495958,0.32421900132112164,0.0679257263143486,nan,nan,5.067616628083313e-05,0.00040455221567192826
1.0,3.135587135536333,1.6443667712077752e-09,3.1355871371807,62.70516286768507,0.689067723820715,2.1299582354523068e-05,0.7983924123007773,0.016804288795695184,0.3242190021354103,0.06792572635954482,0.798392412300777,9.826744692545314e-17,5.0676166234443034e-05,0.00040455221563103763
2.0,3.1355871306032315,6.577470381821055e-09,3.135587137180702,62.705162580547224,0.6890677206653542,4.259819703205127e-05,0.7983924122200787,0.01680428864938103,0.3242190062065912,0.06792572658552619,0.7983924122200778,8.778443768942791e-17,5.067616618801588e-05,0.00040455221542658464
3.0,3.1355871223813874,1.4799315797447468e-08,3.1355871371807034,62.70516206370361,0.6890677149857539,6.389584079890428e-05,0.7983924118165864,0.01680428838604171,0.3242190135339635,0.06792572699229198,0.7983924118165852,9.486479283254673e-17,5.067616614162061e-05,0.00040455221505856836
4.0,3.1355871108707962,2.6309908010428917e-08,3.1355871371807043,62.70516131715849,0.6890677067819615,8.519251041775812e-05,0.7983924110902985,0.016804288005701558,0.32421902411682546,0.06792572757984142,0.7983924110902986,9.851958289467559e-17,5.0676166095194565e-05,0.0004045522145269895
5.0,3.135587096071454,4.1109252040124045e-08,3.135587137180706,62.70516034091607,0.6890676960540227,0.00010648820265372312,0.7983924100412163,0.016804287508385116,0.3242190379544733,0.06792572834817372,0.798392410041216,9.042447667467986e-17,5.067616604883535e-05,0.00040455221383184744
6.0,3.135587077983355,5.919735293283493e-08,3.135587137180708,62.70515913498062,0.6890676828019848,0.0001277829142715838,0.7983924086693386,0.016804286894117282,0.32421905504620313,0.06792572929728809,0.7983924086693382,9.715828091890793e-17,5.067616600240696e-05,0.00040455221297314197
7.0,3.1355870566064903,8.057421576117663e-08,3.135587137180706,62.705157699356526,0.689067667025896,0.00014907664203421908,0.7983924069746651,0.0168042861629228,0.32421907539130945,0.06792573042718347,0.7983924069746648,8.281266270977398e-17,5.067616595599287e-05,0.0004045522119508729
8.0,3.135587031940861,1.0523984562469689e-07,3.135587137180707,62.70515603404814,0.6890676487258037,0.00017036938270694675,0.7983924049571953,0.016804285314826306,0.3242190989890847,0.06792573173785918,0.7983924049571949,8.970237502743264e-17,5.0676165909578496e-05,0.00040455221076504027
9.0,3.1355870039864633,1.3319424765018526e-07,3.135587137180711,62.70515413905989,0.689067627901757,0.00019166113305087704,0.7983924026169293,0.016804284349852174,0.32421912583882095,0.0679257332293142,0.7983924026169297,8.757005718625097e-17,5.067616586320995e-05,0.00040455220941564517
10.0,3.135586972743283,1.644374269909883e-07,3.1355871371807096,62.70515201439633,0.6890676045538059,0.00021295188983043637,0.7983923999538693,0.016804283268025935,0.3242191559398076,0.06792573490154738,0.7983923999538688,9.12253045258153e-17,5.067616581673911e-05,0.00040455220790268565
11.0,3.1355869382113197,1.9896938882723656e-07,3.1355871371807087,62.705149660062084,0.689067578682001,0.00023424164980921064,0.7983923969680116,0.016804282069372133,0.32421918929133475,0.06792573675455774,0.7983923969680113,9.132758315110836e-17,5.067616577040539e-05,0.0004045522062261626
12.0,3.135586900390566,2.3679013836601894e-07,3.1355871371807043,62.70514707606174,0.6890675502863928,0.00025553040974942565,0.7983923936593575,0.016804280753915,0.32421922589269,0.06792573878834414,0.798392393659358,1.0186136356290545e-16,5.067616572396873e-05,0.00040455220438607623
13.0,3.1355868592810268,2.778996808410853e-07,3.135587137180708,62.705144262399905,0.6890675193670319,0.0002768181664150314,0.798392390027908,0.016804279321679886,0.3242192657431605,0.06792574100290569,0.7983923900279086,9.360002130583794e-17,5.06761656775739e-05,0.00040455220238242866
14.0,3.1355868148826858,3.2229802151320825e-07,3.1355871371807074,62.705141219081426,0.6890674859239717,0.00029810491656760257,0.7983923860736668,0.0168042777726915,0.32421930884202926,0.06792574339824094,0.7983923860736659,9.348078343130235e-17,5.0676165631140124e-05,0.00040455220021521737
15.0,3.1355867671955413,3.699851656696073e-07,3.135587137180707,62.705137946110995,0.6890674499572637,0.0003193906569690795,0.7983923817966292,0.016804276106974905,0.32421935518858225,0.06792574597434874,0.798392381796629,9.066804210398121e-17,5.067616558477577e-05,0.0004045521978844434
16.0,3.1355867162195894,4.209611186246768e-07,3.135587137180708,62.705134443493534,0.6890674114669619,0.00034067538438210153,0.7983923771967971,0.016804274324554842,0.32421940478210237,0.06792574873122782,0.798392377196797,8.848582094944728e-17,5.06761655383424e-05,0.0004045521953901076
