t,H,Q2_re,Q2_im,generator_norm
0,np.float64(504.410646654057),np.float64(-46.64805501988849),np.float64(63.781541758304954),np.float64(20.53437082069602)
1,np.float64(504.410646654056),np.float64(-46.648055019888446),np.float64(63.78154175830461),np.float64(21.07418275321222)
2,np.float64(504.4106466540551),np.float64(-46.64805501988842),np.float64(63.78154175830444),np.float64(21.560472257510245)
3,np.float64(504.4106466540547),np.float64(-46.64805501988854),np.float64(63.781541758304414),np.float64(21.656322600581007)
4,np.float64(504.4106466540535),np.float64(-46.648055019888375),np.float64(63.7815417583042),np.float64(21.881229057394204)
5,np.float64(504.4106466540549),np.float64(-46.64805501988839),np.float64(63.781541758304215),np.float64(22.092603259361855)
6,np.float64(504.4106466540554),np.float64(-46.64805501988829),np.float64(63.78154175830438),np.float64(22.270111332939102)
7,np.float64(504.4106466540545),np.float64(-46.648055019888076),np.float64(63.78154175830433),np.float64(22.370516247190643)
8,np.float64(504.4106466540536),np.float64(-46.64805501988773),np.float64(63.78154175830436),np.float64(22.40686566871167)
9,np.float64(504.41064665405383),np.float64(-46.64805501988768),np.float64(63.78154175830443),np.float64(22.405176787228314)
10,np.float64(504.4106466540533),np.float64(-46.64805501988768),np.float64(63.78154175830427),np.float64(22.500198491404632)
11,np.float64(504.41064665405236),np.float64(-46.64805501988734),np.float64(63.781541758304186),np.float64(22.55831376937698)
12,np.float64(504.41064665405077),np.float64(-46.648055019886996),np.float64(63.781541758304215),np.float64(22.57064995359535)
13,np.float64(504.4106466540492),np.float64(-46.64805501988685),np.float64(63.78154175830396),np.float64(22.59973496793099)
14,np.float64(504.41064665404883),np.float64(-46.64805501988702),np.float64(63.78154175830377),np.float64(22.645650992459178)
15,np.float64(504.4106466540509),np.float64(-46.64805501988698),np.float64(63.78154175830406),np.float64(22.663030209797686)
16,np.float64(504.4106466540508),np.float64(-46.648055019886925),np.float64(63.78154175830396),np.float64(22.599745134377795)
17,np.float64(504.41064665405133),np.float64(-46.648055019886904),np.float64(63.78154175830407),np.float64(22.647586231893076)
18,np.float64(504.4106466540513),np.float64(-46.648055019886996),np.float64(63.78154175830406),np.float64(22.7136688682225)
19,np.float64(504.41064665405065),np.float64(-46.64805501988703),np.float64(63.781541758303916),np.float64(22.675478674360708)
20,np.float64(504.4106466540522),np.float64(-46.64805501988718),np.float64(63.7815417583042),np.float64(22.649416019119613)
21,np.float64(504.4106466540518),np.float64(-46.64805501988723),np.float64(63.78154175830401),np.float64(22.693759232252095)
22,np.float64(504.4106466540495),np.float64(-46.6480550198872),np.float64(63.781541758303774),np.float64(22.741657322131267)
23,np.float64(504.4106466540504),np.float64(-46.648055019887074),np.float64(63.7815417583038),np.float64(22.682038163970628)
24,np.float64(504.4106466540506),np.float64(-46.6480550198871),np.float64(63.78154175830385),np.float64(22.644561469971947)
25,np.float64(504.41064665405133),np.float64(-46.64805501988714),np.float64(63.781541758303916),np.float64(22.73423832574281)
26,np.float64(504.4106466540502),np.float64(-46.64805501988742),np.float64(63.78154175830369),np.float64(22.736331323892735)
27,np.float64(504.41064665404997),np.float64(-46.64805501988742),np.float64(63.78154175830361),np.float64(22.66823779352237)
28,np.float64(504.4106466540501),np.float64(-46.64805501988738),np.float64(63.78154175830365),np.float64(22.675516975658613)
29,np.float64(504.41064665404986),np.float64(-46.64805501988745),np.float64(63.7815417583036),np.float64(22.743100094123818)
30,np.float64(504.410646654049),np.float64(-46.64805501988742),np.float64(63.78154175830339),np.float64(22.741485539903927)
31,np.float64(504.41064665404883),np.float64(-46.64805501988765),np.float64(63.781541758303284),np.float64(22.648597703216243)
32,np.float64(504.41064665404997),np.float64(-46.64805501988785),np.float64(63.78154175830331),np.float64(22.699825114044003)
33,np.float64(504.4106466540498),np.float64(-46.64805501988778),np.float64(63.7815417583034),np.float64(22.76511644896236)
34,np.float64(504.4106466540513),np.float64(-46.64805501988782),np.float64(63.781541758303696),np.float64(22.705059374605117)
35,np.float64(504.4106466540515),np.float64(-46.64805501988775),np.float64(63.7815417583038),np.float64(22.659605089398482)
36,np.float64(504.410646654051),np.float64(-46.64805501988788),np.float64(63.78154175830358),np.float64(22.714332953457262)
37,np.float64(504.4106466540508),np.float64(-46.64805501988799),np.float64(63.78154175830339),np.float64(22.771310270811604)
38,np.float64(504.4106466540513),np.float64(-46.64805501988795),np.float64(63.78154175830353),np.float64(22.685651137904937)
39,np.float64(504.41064665405105),np.float64(-46.648055019887856),np.float64(63.78154175830353),np.float64(22.65482516042299)
40,np.float64(504.4106466540517),np.float64(-46.64805501988784),np.float64(63.781541758303604),np.float64(22.755896935819425)
41,np.float64(504.4106466540514),np.float64(-46.648055019887806),np.float64(63.7815417583035),np.float64(22.75160157927325)
42,np.float64(504.41064665405077),np.float64(-46.64805501988775),np.float64(63.781541758303405),np.float64(22.66441015904122)
43,np.float64(504.41064665404923),np.float64(-46.64805501988757),np.float64(63.781541758303284),np.float64(22.678262764599626)
44,np.float64(504.4106466540492),np.float64(-46.64805501988768),np.float64(63.781541758303426),np.float64(22.765753249197502)
45,np.float64(504.4106466540492),np.float64(-46.64805501988765),np.float64(63.78154175830335),np.float64(22.744870772951096)
46,np.float64(504.4106466540488),np.float64(-46.64805501988744),np.float64(63.78154175830345),np.float64(22.637760389190603)
47,np.float64(504.41064665404804),np.float64(-46.64805501988734),np.float64(63.78154175830345),np.float64(22.71086006158102)
48,np.float64(504.4106466540482),np.float64(-46.64805501988735),np.float64(63.781541758303355),np.float64(22.782972769531106)
49,np.float64(504.4106466540477),np.float64(-46.6480550198871),np.float64(63.78154175830349),np.float64(22.702743694078304)
50,np.float64(504.41064665404724),np.float64(-46.648055019886826),np.float64(63.781541758303604),np.float64(22.649299710002822)
51,np.float64(504.41064665404645),np.float64(-46.6480550198869),np.float64(63.78154175830344),np.float64(22.72992821608814)
52,np.float64(504.41064665404747),np.float64(-46.648055019886975),np.float64(63.781541758303554),np.float64(22.790009418107417)
