mode,level,gauge_count,row_count,active_row_count,single_gauge_sign_failure_count,max_chi_mean_error_abs,max_p_mean_error_abs,max_g1_mean_error_abs,max_chi_minus_p_mean_error_abs,max_chi_minus_g1_mean_error_abs,max_p_minus_g1_mean_error_abs,max_channel_std,zero_mean_valid,common_bias_detected
zero_mean,0.0,97,828,160,0,8.271806125530277e-25,8.271806125530277e-25,8.271806125530277e-25,1.0339757656912846e-23,1.0339757656912846e-23,6.979336418416171e-25,8.271806125530277e-25,True,False
zero_mean,0.05,97,828,160,3336,1.0339757656912846e-25,2.0679515313825692e-25,1.0339757656912846e-25,1.0343821608053772e-23,1.0344088096653177e-23,6.72084247699335e-25,7.765805379066259e-11,True,False
zero_mean,0.2,97,828,160,8312,2.0679515313825692e-25,4.1359030627651384e-25,2.0679515313825692e-25,1.0356013461476549e-23,1.0357079415874169e-23,6.72084247699335e-25,3.106322151626503e-10,True,False
zero_mean,0.5,97,828,160,10078,2.0679515313825692e-25,1.0339757656912846e-25,1.0339757656912846e-25,1.0351483155286666e-23,1.0355746972877145e-23,6.72084247699335e-25,7.765805379066258e-10,True,False
zero_mean,1.0,97,828,160,10982,3.101927297073854e-25,2.0679515313825692e-25,1.0339757656912846e-25,1.039305537679384e-23,1.04015830119748e-23,7.108583389127582e-25,1.5531610758132517e-09,True,False
common_bias,0.0001,97,828,160,0,2.3170731707367557e-13,1.1585365853683779e-13,5.792682926924607e-14,3.475609756200959e-13,1.7378048781521783e-13,1.7378048780608386e-13,8.271806125530277e-25,False,True
common_bias,0.001,97,828,160,0,2.3170731707322062e-12,1.1585365853662065e-12,5.792682926830516e-13,3.4756097561079015e-12,1.7378048780591206e-12,1.7378048780493615e-12,8.271806125530277e-25,False,True
common_bias,0.01,97,828,160,0,2.3170731707317513e-11,1.1585365853658963e-11,5.7926829268294816e-12,3.475609756098595e-11,1.7378048780498145e-11,1.737804878048834e-11,8.271806125530277e-25,False,True
