t,H,Q2_re,Q2_im,generator_norm,antisym_residual
0,np.float64(115.02943725152289),np.float64(-21.797958971132708),np.float64(8.513197950573756e-15),np.float64(18.854891090329776),np.float64(7.888609052210118e-31)
1,np.float64(115.02943725152261),np.float64(-21.7979589711327),np.float64(9.325873406851315e-15),np.float64(19.109308782578772),np.float64(8.881784197001252e-16)
2,np.float64(115.0294372515226),np.float64(-21.797958971132765),np.float64(2.653433028854124e-14),np.float64(20.884411067378853),np.float64(8.881784197001252e-16)
3,np.float64(115.02943725152252),np.float64(-21.79795897113266),np.float64(4.3298697960381105e-15),np.float64(31.542185144914686),np.float64(1.7763568394002505e-15)
4,np.float64(115.02943725152232),np.float64(-21.797958971132545),np.float64(-5.839773109528323e-14),np.float64(40.32266720251026),np.float64(1.7763568394002505e-15)
5,np.float64(115.02943725152245),np.float64(-21.79795897113264),np.float64(1.4210854715202004e-14),np.float64(40.356581268721136),np.float64(1.7763568394002505e-15)
6,np.float64(115.0294372515225),np.float64(-21.7979589711326),np.float64(1.0802470029602773e-13),np.float64(40.38305289422137),np.float64(1.7763568394002505e-15)
7,np.float64(115.02943725152241),np.float64(-21.79795897113256),np.float64(1.343092304040283e-13),np.float64(40.404733631200486),np.float64(1.7763568394002505e-15)
8,np.float64(115.02943725152241),np.float64(-21.797958971132537),np.float64(2.573496971081113e-13),np.float64(40.422803679813605),np.float64(1.7763568394002505e-15)
9,np.float64(115.02943725152244),np.float64(-21.797958971132537),np.float64(2.681188604469753e-13),np.float64(40.4371619872403),np.float64(8.881784197001252e-16)
10,np.float64(115.0294372515223),np.float64(-21.79795897113248),np.float64(2.752242878045763e-13),np.float64(40.44852560757134),np.float64(1.7763568394002505e-15)
11,np.float64(115.02943725152225),np.float64(-21.797958971132488),np.float64(4.1722181265413383e-13),np.float64(40.459443031404106),np.float64(1.7763568394002505e-15)
12,np.float64(115.02943725152218),np.float64(-21.797958971132477),np.float64(3.4849900742983664e-13),np.float64(40.474035839920816),np.float64(4.440892098500626e-16)
13,np.float64(115.029437251522),np.float64(-21.797958971132466),np.float64(3.566036355096003e-13),np.float64(40.495986422112516),np.float64(1.7763568394002505e-15)
14,np.float64(115.02943725152171),np.float64(-21.797958971132402),np.float64(3.7730929491885945e-13),np.float64(40.52564593865532),np.float64(1.7763568394002505e-15)
15,np.float64(115.02943725152164),np.float64(-21.797958971132438),np.float64(3.594902153736257e-13),np.float64(40.5597921782412),np.float64(1.7763568394002505e-15)
16,np.float64(115.02943725152195),np.float64(-21.797958971132648),np.float64(4.0034642267983145e-13),np.float64(40.59682905342206),np.float64(1.7763568394002505e-15)
17,np.float64(115.02943725152178),np.float64(-21.797958971132743),np.float64(4.242162177092723e-13),np.float64(40.63961595290002),np.float64(1.7763568394002505e-15)
