j,reO,imO,absO
0,0.9999394129328258,2.0432569805923435e-19,0.9999394129328258
1,0.9998880657841902,-1.885649668800113e-17,0.9998880657841902
2,0.9997340296116651,7.823281477526317e-17,0.9997340296116651
3,0.9994773202348447,2.878877564238519e-17,0.9994773202348447
4,0.9991179640179144,6.848252992547653e-17,0.9991179640179144
5,0.9986559978669445,-7.692391738115879e-17,0.9986559978669445
6,0.9980914692260994,6.441391354208818e-17,0.9980914692260994
7,0.9974244360727647,-4.421363100947954e-17,0.9974244360727647
8,0.9966549669115906,-6.02326918238964e-17,0.9966549669115906
9,0.9957831407674584,-6.281979924333356e-17,0.9957831407674584
10,0.9948090471773668,-5.784369263689762e-17,0.9948090471773668
11,0.9937327861812405,1.892067848864029e-17,0.9937327861812405
12,0.9925544683116309,-5.483105899412805e-17,0.9925544683116309
13,0.9912742145824031,8.683244189038293e-17,0.9912742145824031
14,0.9898921564762796,4.0410677502488364e-17,0.9898921564762796
15,0.9884084359313449,-7.799551491921425e-17,0.9884084359313449
16,0.9868232053264698,1.9205460615927652e-17,0.9868232053264698
17,0.9851366274656626,7.51419039206194e-18,0.9851366274656626
18,0.9833488755613443,7.888922302867848e-17,0.9833488755613443
19,0.9814601332165658,1.202291050628852e-16,0.9814601332165658
20,0.9794705944061443,1.402675671957661e-17,0.9794705944061443
21,0.9773804634567523,2.1192968700878766e-16,0.9773804634567523
22,0.9751899550259236,2.6486291520798978e-17,0.9751899550259236
23,0.9728992940800132,-3.7477207188530177e-17,0.9728992940800132
24,0.9705087158710877,3.387801050873319e-17,0.9705087158710877
25,0.9680184659127742,-4.011235199029261e-17,0.9680184659127742
26,0.9654287999550353,-2.906622105897761e-17,0.9654287999550353
27,0.9627399839579116,9.500371798972347e-17,0.9627399839579116
28,0.9599522940642015,1.5927914491760443e-17,0.9599522940642015
29,0.9570660165711082,-5.411826192540397e-17,0.9570660165711082
30,0.9540814479008277,-3.923468816408568e-17,0.9540814479008277
31,0.9509988945701153,3.2819535042084355e-17,0.9509988945701153
32,0.9478186731587965,3.0010429935189945e-17,0.9478186731587965
33,0.9445411102772653,-9.095397732704782e-17,0.9445411102772653
34,0.941166542532932,5.3714849774101246e-17,0.941166542532932
35,0.9376953164956576,-1.0641443544763426e-17,0.9376953164956576
36,0.9341277886621596,2.5911516927892445e-17,0.9341277886621596
37,0.9304643254193989,2.085536925149615e-17,0.9304643254193989
38,0.9267053030069561,-2.4191673876417862e-17,0.9267053030069561
39,0.9228511074783844,4.249670001691924e-17,0.9228511074783844
40,0.9189021346615694,1.3681049942059378e-17,0.9189021346615694
41,0.9148587901180677,1.6946802378584713e-17,0.9148587901180677
42,0.9107214891014686,-1.385186919086064e-17,0.9107214891014686
43,0.906490656514733,5.918728795453838e-17,0.906490656514733
44,0.9021667268665694,-1.5025553131656982e-16,0.9021667268665694
45,0.897750144226794,-5.675056534787108e-20,0.897750144226794
46,0.893241362180745,6.880741944550745e-17,0.893241362180745
47,0.8886408437826768,2.045829638237748e-18,0.8886408437826768
48,0.8839490615082221,-3.0160664499993214e-17,0.8839490615082221
49,0.8791664972058557,1.1085359785183801e-16,0.8791664972058557
50,0.8742936420474181,-2.5409999392058007e-17,0.8742936420474181
51,0.8693309964776657,-3.0435829013961506e-17,0.8693309964776657
52,0.8642790701628773,4.5351466113181093e-17,0.8642790701628773
53,0.8591383819385093,-1.2964241530902817e-17,0.8591383819385093
54,0.8539094597559143,-6.770154891097287e-17,0.8539094597559143
55,0.8485928406281186,8.984060118963884e-17,0.8485928406281186
56,0.8431890705746654,-5.604923265727416e-17,0.8431890705746654
57,0.83769870456555,1.1158321382523234e-17,0.83769870456555
58,0.8321223064642143,-2.0340429743572733e-17,0.8321223064642143
59,0.8264604489696395,-7.283166532760839e-18,0.8264604489696395
60,0.8207137135575339,-1.9719307531347808e-20,0.8207137135575339
61,0.8148826904206065,3.95482954008977e-17,0.8148826904206065
