case,memory_decay_C,memory_decay_R,epsilon_to_C,epsilon_C_return,epsilon_r2_pressure,epsilon_r3_direct,reaction_scale,C_distance_change,R2_distance_change,R3_distance_change,reaction_distance_sum,combined_distance_change,residual_after_R2_R3,reaction_dominance_ratio_abs,C_final_memory,combined_final_C_memory,combined_max_Q_raw_abs,combined_max_Q_closed_abs,C_only_window_length,C_only_full_window_valid,C_only_max_error,residual_window_length,residual_full_window_valid,residual_first_validity_break_step,residual_first_sign_break_step,residual_sign_match_ratio,residual_max_error,residual_max_error_inside_window,residual_max_error_outside_window,residual_classified
base,0.92,0.9,1e-06,0.001,8e-07,5e-07,1.0,-1.3414465233063666e-07,0.00014981441759243097,9.363072540669037e-05,0.00024344514299912134,0.00024332848252417438,-1.166604749469613e-07,1814.7957355697142,3.5873841187439845e-06,3.5885231940069144e-06,9.783490886810155e-09,0.0,46,True,4.3658818912747546e-23,27,False,28,28,0.5869565217391305,1.9677154423536674e-11,1.642432436599931e-11,1.9677154423536674e-11,True
C_decay_0_78,0.78,0.9,1e-06,0.001,8e-07,5e-07,1.0,-5.907055067311262e-08,0.00014981441759243097,9.363072540669037e-05,0.00024344514299912134,0.00024340357581820182,-4.156718091952172e-08,4121.260767422154,1.3287758331047528e-06,1.3292997775897762e-06,7.524268085545774e-09,0.0,46,True,1.9439753348093928e-23,11,False,12,12,0.2391304347826087,1.9691765979284777e-11,7.76621911392494e-12,1.9691765979284777e-11,True
C_decay_0_86,0.86,0.9,1e-06,0.001,8e-07,5e-07,1.0,-8.741069518203304e-08,0.00014981441759243097,9.363072540669037e-05,0.00024344514299912134,0.00024337522772965858,-6.991526946276139e-08,2785.072724706583,2.0865914847436823e-06,2.087354953758726e-06,8.282323022178489e-09,0.0,46,True,2.26607300109574e-23,16,False,17,17,0.34782608695652173,1.9686672296930595e-11,1.1273124693540409e-11,1.9686672296930595e-11,True
C_decay_0_97,0.97,0.9,1e-06,0.001,8e-07,5e-07,1.0,-2.2568392032962237e-07,0.00014981441759243097,9.363072540669037e-05,0.00024344514299912134,0.00024323692543493092,-2.0821756419042714e-07,1078.6995486588405,7.48602811158621e-06,7.487845541916322e-06,1.3682812556362216e-08,0.0,46,True,4.983763190631992e-23,46,True,,,1.0,1.965536885540922e-11,1.965536885540922e-11,0.0,True
R_decay_0_78,0.92,0.78,1e-06,0.001,8e-07,5e-07,1.0,-1.3414465233063666e-07,7.750519728333405e-05,4.8439662824417695e-05,0.00012594486010775174,0.00012581648192711015,-1.2837818064159734e-07,938.8735064691639,3.5873841187439845e-06,3.587995925522649e-06,6.42153200614235e-09,0.0,46,True,4.3658818912747546e-23,43,False,44,44,0.9347826086956522,4.229576114670472e-12,4.229199693405865e-12,4.229576114670472e-12,True
R_decay_0_96,0.92,0.96,1e-06,0.001,8e-07,5e-07,1.0,-1.3414465233063666e-07,0.00026258837439119276,0.00016411034427143978,0.00042669871866263254,0.0004266039272734501,-9.4791389182447e-08,3180.8850464714415,3.5873841187439845e-06,3.5892659188338636e-06,1.698026880608329e-08,0.0,46,True,4.3658818912747546e-23,20,False,21,21,0.43478260869565216,7.400269610567457e-11,2.8102078812307565e-11,7.400269610567457e-11,True
C_source_half,0.92,0.9,5e-07,0.001,8e-07,5e-07,1.0,-6.707232891312032e-08,0.00014981441759243097,9.363072540669037e-05,0.00024344514299912134,0.000243395574493821,-4.9568505300356946e-08,3629.591322443255,1.7936922140650979e-06,1.7942617517143818e-06,7.989230014088395e-09,0.0,46,True,2.5792040799028926e-23,21,False,22,22,0.45652173913043476,1.9689029772042582e-11,1.4048777004543462e-11,1.9689029772042582e-11,True
C_source_double,0.92,0.9,2e-06,0.001,8e-07,5e-07,1.0,-2.682892840666362e-07,0.00014981441759243097,9.363072540669037e-05,0.00024344514299912134,0.00024319429860064634,-2.5084439847500306e-07,907.3979374392597,7.174766999943175e-06,7.177045150326492e-06,1.337201170398823e-08,0.0,46,True,9.736820538544116e-23,34,False,35,35,0.7391304347826086,1.965340387424688e-11,1.8171137877577103e-11,1.965340387424688e-11,True
C_return_half,0.92,0.9,1e-06,0.0005,8e-07,5e-07,1.0,-6.707232891312032e-08,0.00014981441759243097,9.363072540669037e-05,0.00024344514299912134,0.000243395574493821,-4.9568505300356946e-08,3629.591322443255,3.5873844281301957e-06,3.5885235034287637e-06,9.783491765802777e-09,0.0,46,True,2.5792040799028926e-23,21,False,22,22,0.45652173913043476,1.9689029772042582e-11,1.4048777004543462e-11,1.9689029772042582e-11,True
C_return_double,0.92,0.9,1e-06,0.002,8e-07,5e-07,1.0,-2.682892840666362e-07,0.00014981441759243097,9.363072540669037e-05,0.00024344514299912134,0.00024319429860064634,-2.5084439847500306e-07,907.3979374392597,3.5873834999715876e-06,3.588522575163246e-06,9.783489128824987e-09,0.0,46,True,9.736820538544116e-23,34,False,35,35,0.7391304347826086,1.965340387424688e-11,1.8171137877577103e-11,1.965340387424688e-11,True
reaction_quarter,0.92,0.9,1e-06,0.001,2e-07,1.25e-07,0.25,-1.3414465233063666e-07,3.745097595020397e-05,2.3406654625302004e-05,6.085763057550597e-05,6.072457127093145e-05,-1.330593045745232e-07,453.6716858865569,3.5873841187439845e-06,3.587668874392326e-06,5.136018453063185e-09,0.0,46,True,4.3658818912747546e-23,46,True,,,1.0,1.2251701580366516e-12,1.2251701580366516e-12,0.0,True
reaction_half,0.92,0.9,1e-06,0.001,4e-07,2.5e-07,0.5,-1.3414465233063666e-07,7.490370417873038e-05,4.6813993729966086e-05,0.00012171769790869646,0.00012158791435412653,-1.2978355456993995e-07,907.3615369227651,3.5873841187439845e-06,3.587953638820064e-06,6.684914350788731e-09,0.0,46,True,4.3658818912747546e-23,42,False,43,43,0.9130434782608695,4.91281941744644e-12,4.826750623381989e-12,4.91281941744644e-12,True
reaction_double,0.92,0.9,1e-06,0.001,1.6e-06,1e-06,2.0,-1.3414465233063666e-07,0.0002996568731018501,0.00018727240283888946,0.00048692927594073954,0.0004868651505436361,-6.412539710343168e-08,3629.8821270978992,3.5873841187439845e-06,3.589662409658368e-06,1.598378327340897e-08,0.0,46,True,4.3658818912747546e-23,15,False,16,16,0.32608695652173914,7.877315650937289e-11,4.2521005939687836e-11,7.877315650937289e-11,True
slow_C_weak_reaction,0.97,0.9,1e-06,0.001,2e-07,1.25e-07,0.25,-2.2568392032962237e-07,3.745097595020397e-05,2.3406654625302004e-05,6.085763057550597e-05,6.0633027547662977e-05,-2.2460302784299557e-07,269.65869117578444,7.48602811158621e-06,7.486482451031187e-06,9.0348318601181e-09,0.0,46,True,4.983763190631992e-23,46,True,,,1.0,1.2197241151235587e-12,1.2197241151235587e-12,0.0,True
slow_C_strong_reaction,0.97,0.9,1e-06,0.001,1.6e-06,1e-06,2.0,-2.2568392032962237e-07,0.0002996568731018501,0.00018727240283888946,0.00048692927594073954,0.00048677357563164936,-1.5570030909017873e-07,2157.571860811154,7.48602811158621e-06,7.489663165628725e-06,1.9883782672607265e-08,0.0,46,True,4.983763190631992e-23,30,False,31,31,0.6521739130434783,7.872958125648568e-11,6.920064035294847e-11,7.872958125648568e-11,True
fast_C_weak_reaction,0.78,0.9,1e-06,0.001,2e-07,1.25e-07,0.25,-5.907055067311262e-08,3.745097595020397e-05,2.3406654625302004e-05,6.085763057550597e-05,6.079965017058431e-05,-5.7980404921664785e-08,1030.2533137414407,1.3287758331047528e-06,1.328906812046931e-06,2.877256544495876e-09,0.0,46,True,1.9439753348093928e-23,20,False,21,21,0.43478260869565216,1.2288224629331953e-12,8.457348550382901e-13,1.2288224629331953e-12,True
fast_C_strong_reaction,0.78,0.9,1e-06,0.001,1.6e-06,1e-06,2.0,-5.907055067311262e-08,0.0002996568731018501,0.00018727240283888946,0.00048692927594073954,0.0004869402630313102,1.0987090570679925e-08,8243.181592047982,1.3287758331047528e-06,1.3298237986153935e-06,1.3723945892779172e-08,0.0,46,True,1.9439753348093928e-23,7,False,8,8,0.15217391304347827,7.880238518865901e-11,1.8477473572319337e-11,7.880238518865901e-11,True
