label,mode,step,particle,actual_Ra,predicted_minus_partial_chi_E,partial_chi_E_read,g1_balance_error,C_memory,delta_C_memory_forward,sign_match,sweep_case,window_mode
base:C_only,single_C_memory_time_gradient,1,A,1.5087216506023456e-10,1.5087216506023461e-10,-1.5087216506023461e-10,-5.169878828456423e-26,5.612786791850754e-07,2.4743035069878475e-07,True,base,C_only
base:C_only,single_C_memory_time_gradient,1,B,-1.5087216506023443e-10,-1.5087216506023461e-10,1.5087216506023461e-10,1.809457589959748e-25,5.612786791850754e-07,2.4743035069878475e-07,True,base,C_only
base:C_only,single_C_memory_time_gradient,2,A,1.3880239159154417e-10,1.3880239159154394e-10,-1.3880239159154394e-10,2.3264454728053903e-25,8.087090298838602e-07,2.2763592221013206e-07,True,base,C_only
base:C_only,single_C_memory_time_gradient,2,B,-1.3880239159154422e-10,-1.3880239159154394e-10,1.3880239159154394e-10,-2.8434333556510326e-25,8.087090298838602e-07,2.2763592221013206e-07,True,base,C_only
base:C_only,single_C_memory_time_gradient,3,A,1.276981999260748e-10,1.2769819992607461e-10,-1.2769819992607461e-10,1.809457589959748e-25,1.0363449520939922e-06,2.0942504787876235e-07,True,base,C_only
base:C_only,single_C_memory_time_gradient,3,B,-1.2769819992607402e-10,-1.2769819992607461e-10,1.2769819992607461e-10,5.945360652724886e-25,1.0363449520939922e-06,2.0942504787876235e-07,True,base,C_only
base:C_only,single_C_memory_time_gradient,4,A,1.174823435255091e-10,1.174823435255094e-10,-1.174823435255094e-10,-3.101927297073854e-25,1.2457699999727546e-06,1.9267104338183543e-07,True,base,C_only
base:C_only,single_C_memory_time_gradient,4,B,-1.1748234352550968e-10,-1.174823435255094e-10,1.174823435255094e-10,-2.8434333556510326e-25,1.2457699999727546e-06,1.9267104338183543e-07,True,base,C_only
base:C_only,single_C_memory_time_gradient,5,A,1.0808375557412309e-10,1.080837555741232e-10,-1.080837555741232e-10,-1.1632227364026952e-25,1.43844104335459e-06,1.7725735914156206e-07,True,base,C_only
base:C_only,single_C_memory_time_gradient,5,B,-1.0808375557412392e-10,-1.080837555741232e-10,1.080837555741232e-10,-7.108583389127582e-25,1.43844104335459e-06,1.7725735914156206e-07,True,base,C_only
base:C_only,single_C_memory_time_gradient,6,A,9.943705460101236e-11,9.943705460101179e-11,-9.943705460101179e-11,5.686866711302065e-25,1.615698402496152e-06,1.6307676954565935e-07,True,base,C_only
base:C_only,single_C_memory_time_gradient,6,B,-9.943705460101127e-11,-9.943705460101179e-11,9.943705460101179e-11,5.169878828456423e-25,1.615698402496152e-06,1.6307676954565935e-07,True,base,C_only
base:C_only,single_C_memory_time_gradient,7,A,9.14820896525376e-11,9.148208965253876e-11,-9.148208965253876e-11,-1.1632227364026952e-24,1.7787751720418114e-06,1.5003062703016356e-07,True,base,C_only
