label,mode,step,particle,actual_Ra,predicted_minus_partial_chi_E,partial_chi_E_read,g1_balance_error,C_memory,delta_C_memory_forward,sign_match,sweep_case,window_mode
base:C_only,single_C_memory_time_gradient,7,B,-9.148208965253899e-11,-9.148208965253876e-11,9.148208965253876e-11,-2.3264454728053903e-25,1.7787751720418114e-06,1.5003062703016356e-07,True,base,C_only
base:C_only,single_C_memory_time_gradient,8,A,8.416352185099344e-11,8.416352185099068e-11,-8.416352185099068e-11,2.7658851732241863e-24,1.928805799071975e-06,1.380281758356247e-07,True,base,C_only
base:C_only,single_C_memory_time_gradient,8,B,-8.41635218509899e-11,-8.416352185099068e-11,8.416352185099068e-11,7.754818242684634e-25,1.928805799071975e-06,1.380281758356247e-07,True,base,C_only
base:C_only,single_C_memory_time_gradient,9,A,7.743043942852543e-11,7.743043942852952e-11,-7.743043942852952e-11,-4.097128971551715e-24,2.0668339749075997e-06,1.2698592066278843e-07,True,base,C_only
base:C_only,single_C_memory_time_gradient,9,B,-7.743043942853106e-11,-7.743043942852952e-11,7.743043942852952e-11,-1.5380389514657858e-24,2.0668339749075997e-06,1.2698592066278843e-07,True,base,C_only
base:C_only,single_C_memory_time_gradient,10,A,7.123600355843362e-11,7.123600355843146e-11,-7.123600355843146e-11,2.1584244108805566e-24,2.193819895570388e-06,1.168270458358276e-07,True,base,C_only
base:C_only,single_C_memory_time_gradient,10,B,-7.123600355842845e-11,-7.123600355843146e-11,7.123600355843146e-11,3.0114544175758664e-24,2.193819895570388e-06,1.168270458358276e-07,True,base,C_only
base:C_only,single_C_memory_time_gradient,11,A,6.553712251982185e-11,6.55371225198221e-11,-6.55371225198221e-11,-2.455692443516801e-25,2.3106469414062157e-06,1.0748088093250823e-07,True,base,C_only
base:C_only,single_C_memory_time_gradient,11,B,-6.553712251982392e-11,-6.55371225198221e-11,6.55371225198221e-11,-1.822382287030889e-24,2.3106469414062157e-06,1.0748088093250823e-07,True,base,C_only
base:C_only,single_C_memory_time_gradient,12,A,6.029415192923219e-11,6.029415192923113e-11,-6.029415192923113e-11,1.0598251598335667e-24,2.418127822338724e-06,9.888240916393904e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,12,B,-6.029415192923188e-11,-6.029415192923113e-11,6.029415192923113e-11,-7.496324301261813e-25,2.418127822338724e-06,9.888240916393904e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,13,A,5.547061895362344e-11,5.5470618953624085e-11,-5.5470618953624085e-11,-6.462348535570529e-25,2.517010231502663e-06,9.09718150839435e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,13,B,-5.547061895362137e-11,-5.5470618953624085e-11,5.5470618953624085e-11,2.714186384939622e-24,2.517010231502663e-06,9.09718150839435e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,14,A,5.103296858638243e-11,5.103296858638296e-11,-5.103296858638296e-11,-5.299125799167834e-25,2.6079820465866065e-06,8.369406848166805e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,14,B,-5.1032968586384496e-11,-5.103296858638296e-11,5.103296858638296e-11,-1.5380389514657858e-24,2.6079820465866065e-06,8.369406848166805e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,15,A,4.6950330221215134e-11,4.695033022121202e-11,-4.695033022121202e-11,3.114851994144995e-24,2.6916761150682745e-06,7.699854156278771e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,15,B,-4.695033022121462e-11,-4.695033022121202e-11,4.695033022121202e-11,-2.5978641112993525e-24,2.6916761150682745e-06,7.699854156278771e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,16,A,4.319430290013148e-11,4.319430290013122e-11,-4.319430290013122e-11,2.5849394142282115e-25,2.7686746566310622e-06,7.08386567562152e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,16,B,-4.3194302900132304e-11,-4.319430290013122e-11,4.319430290013122e-11,-1.0856745539758488e-24,2.7686746566310622e-06,7.08386567562152e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,17,A,3.9738757741617395e-11,3.9738757741623774e-11,-3.9738757741623774e-11,-6.378338004608112e-24,2.8395133133872774e-06,6.517156269626298e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,17,B,-3.9738757741618326e-11,-3.9738757741623774e-11,3.9738757741623774e-11,5.447759815485956e-24,2.8395133133872774e-06,6.517156269626298e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,18,A,3.655965617453768e-11,3.655965617453135e-11,-3.655965617453135e-11,6.3266392163235476e-24,2.9046848760835404e-06,5.995783612623141e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,18,B,-3.655965617453189e-11,-3.655965617453135e-11,3.655965617453135e-11,-5.363749284523539e-25,2.9046848760835404e-06,5.995783612623141e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,19,A,3.3634882713238685e-11,3.363488271324359e-11,-3.363488271324359e-11,-4.904922538498031e-24,2.964642712209772e-06,5.516120764971949e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,19,B,-3.3634882713246233e-11,-3.363488271324359e-11,3.363488271324359e-11,-2.6431005510483462e-24,2.964642712209772e-06,5.516120764971949e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,20,A,3.09440911108615e-11,3.09440911108601e-11,-3.09440911108601e-11,1.4023296322188047e-24,3.0198039198594913e-06,5.074830942181056e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,20,B,-3.094409111085902e-11,-3.09440911108601e-11,3.09440911108601e-11,1.0792122054402783e-24,3.0198039198594913e-06,5.074830942181056e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,21,A,2.8468562820109966e-11,2.84685628201089e-11,-2.84685628201089e-11,1.0662875083691372e-24,3.070552229281302e-06,4.66884430249786e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,21,B,-2.8468562820113482e-11,-2.84685628201089e-11,2.84685628201089e-11,-4.581805111719505e-24,3.070552229281302e-06,4.66884430249786e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,22,A,2.6191076777380168e-11,2.6191076777383832e-11,-2.6191076777383832e-11,-3.66415161966849e-24,3.1172406723062805e-06,4.2953365914909484e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,22,B,-2.6191076777377893e-11,-2.6191076777383832e-11,2.6191076777383832e-11,5.938898304189316e-24,3.1172406723062805e-06,4.2953365914909484e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,23,A,2.4095789604068357e-11,2.409578960406148e-11,-2.409578960406148e-11,6.875938841847043e-24,3.16019403822119e-06,3.951709495066083e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,23,B,-2.4095789604070425e-11,-2.409578960406148e-11,2.409578960406148e-11,-8.943890373229612e-24,3.16019403822119e-06,3.951709495066083e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,24,A,2.2168125391699342e-11,2.2168125391710642e-11,-2.2168125391710642e-11,-1.129941641444507e-23,3.199711133171851e-06,3.635572564240545e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,24,B,-2.2168125391700376e-11,-2.2168125391710642e-11,2.2168125391710642e-11,1.0265440648753785e-23,3.199711133171851e-06,3.635572564240545e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,25,A,2.0394674304502416e-11,2.039467430448705e-11,-2.039467430448705e-11,1.5364233643318932e-23,3.2360668588142562e-06,3.344726585935876e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,25,B,-2.039467430449187e-11,-2.039467430448705e-11,2.039467430448705e-11,-4.817680833267829e-24,3.2360668588142562e-06,3.344726585935876e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,26,A,1.8763099293320372e-11,1.8763099293326666e-11,-1.8763099293326666e-11,-6.294327473645695e-24,3.269514124673615e-06,3.077148284105573e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,26,B,-1.8763099293319958e-11,-1.8763099293326666e-11,1.8763099293326666e-11,6.707917779922209e-24,3.269514124673615e-06,3.077148284105573e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,27,A,1.7262050273010374e-11,1.7262050273019024e-11,-1.7262050273019024e-11,-8.649853514861153e-24,3.3002856075146707e-06,2.83097624477512e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,27,B,-1.7262050273023402e-11,-1.7262050273019024e-11,1.7262050273019024e-11,-4.378241132849033e-24,3.3002856075146707e-06,2.83097624477512e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,28,A,1.5881085165096488e-11,1.5881085165098294e-11,-1.5881085165098294e-11,-1.8062264156919628e-24,3.328595369962422e-06,2.6044979670761205e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,28,B,-1.5881085165104553e-11,-1.5881085165098294e-11,1.5881085165098294e-11,-6.258784556700057e-24,3.328595369962422e-06,2.6044979670761205e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,29,A,1.4610597257335854e-11,1.4610597257313387e-11,-1.4610597257313387e-11,2.2466354683910943e-23,3.354640349633183e-06,2.3961379501993954e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,29,B,-1.461059725730773e-11,-1.4610597257313387e-11,1.4610597257313387e-11,5.657786142891998e-24,3.354640349633183e-06,2.3961379501993954e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,30,A,1.3441748374314693e-11,1.3441748374333126e-11,-1.3441748374333126e-11,-1.843223361058104e-23,3.378601729135177e-06,2.2044467333906326e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,30,B,-1.3441748374327515e-11,-1.3441748374333126e-11,1.3441748374333126e-11,5.6109341160091116e-24,3.378601729135177e-06,2.2044467333906326e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,31,A,1.2366407394807444e-11,1.236640739479918e-11,-1.236640739479918e-11,8.263728189860814e-24,3.4006461964690834e-06,2.0280908127470655e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,31,B,-1.236640739481799e-11,-1.236640739479918e-11,1.236640739479918e-11,-1.8810280999911916e-23,3.4006461964690834e-06,2.0280908127470655e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,32,A,1.1377093687002566e-11,1.1377093687009183e-11,-1.1377093687009183e-11,-6.617444900424222e-24,3.420927104596554e-06,1.865843364669506e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,32,B,-1.1377093686998843e-11,-1.1377093687009183e-11,1.1377093687009183e-11,1.0339757656912846e-23,3.420927104596554e-06,1.865843364669506e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,33,A,1.0466925069749646e-11,1.0466925069755101e-11,-1.0466925069755101e-11,-5.455837751155419e-24,3.439585538243249e-06,1.7165757114398366e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,33,B,-1.0466925069756263e-11,-1.0466925069755101e-11,1.0466925069755101e-11,-1.1616071492688025e-24,3.439585538243249e-06,1.7165757114398366e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,34,A,9.629569936298453e-12,9.629569936280506e-12,-9.629569936280506e-12,1.794755747041325e-23,3.4567512953576475e-06,1.579249469550003e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,34,B,-9.629569936276947e-12,-9.629569936280506e-12,9.629569936280506e-12,3.559138455965469e-24,3.4567512953576475e-06,1.579249469550003e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,35,A,8.859203208314368e-12,8.859203208330508e-12,-8.859203208330508e-12,-1.6139715467587395e-23,3.4725437900531475e-06,1.4529093261662034e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,35,B,-8.859203208329671e-12,-8.859203208330508e-12,8.859203208330508e-12,8.368741353563835e-25,3.4725437900531475e-06,1.4529093261662034e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,36,A,8.150465813888359e-12,8.150465813875803e-12,-8.150465813875803e-12,1.2556343204613537e-23,3.4870728833148096e-06,1.3366763934756315e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,36,B,-8.150465813891668e-12,-8.150465813875803e-12,8.150465813875803e-12,-1.5865065654825648e-23,3.4870728833148096e-06,1.3366763934756315e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,37,A,7.498427406612653e-12,7.498427406616946e-12,-7.498427406616946e-12,-4.292615014752724e-24,3.500439647249566e-06,1.2297420946851792e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,37,B,-7.498427406583702e-12,-7.498427406616946e-12,7.498427406616946e-12,3.324393645410869e-23,3.500439647249566e-06,1.2297420946851792e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,38,A,6.898552067919685e-12,6.898552067925237e-12,-6.898552067925237e-12,-5.5519651856220305e-24,3.5127370681964177e-06,1.1313625391397389e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,38,B,-6.898552067959803e-12,-6.898552067925237e-12,6.898552067925237e-12,-3.456629452319981e-23,3.5127370681964177e-06,1.1313625391397389e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,39,A,6.346666752643119e-12,6.346666752638342e-12,-6.346666752638342e-12,4.777291154920513e-24,3.524050693587815e-06,1.040853347432688e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,39,B,-6.346666752603828e-12,-6.346666752638342e-12,6.346666752638342e-12,3.45137879413483e-23,3.524050693587815e-06,1.040853347432688e-08,True,base,C_only
base:C_only,single_C_memory_time_gradient,40,A,5.838932259193665e-12,5.838932259177848e-12,-5.838932259177848e-12,1.5817405834375815e-23,3.534459227062142e-06,9.57584890505167e-09,True,base,C_only
base:C_only,single_C_memory_time_gradient,40,B,-5.838932259208141e-12,-5.838932259177848e-12,5.838932259177848e-12,-3.02930665540538e-23,3.534459227062142e-06,9.57584890505167e-09,True,base,C_only
base:C_only,single_C_memory_time_gradient,41,A,5.3718165220676165e-12,5.371816522068714e-12,-5.371816522068714e-12,-1.0977914574800436e-24,3.5440350759671936e-06,8.809779096192691e-09,True,base,C_only
base:C_only,single_C_memory_time_gradient,41,B,-5.371816522059345e-12,-5.371816522068714e-12,5.371816522068714e-12,9.36959758301032e-24,3.5440350759671936e-06,8.809779096192691e-09,True,base,C_only
base:C_only,single_C_memory_time_gradient,42,A,4.942070041042328e-12,4.942070041055175e-12,-4.942070041055175e-12,-1.2847148888714211e-23,3.5528448550633863e-06,8.104994867330487e-09,True,base,C_only
base:C_only,single_C_memory_time_gradient,42,B,-4.942070041065075e-12,-4.942070041055175e-12,4.942070041055175e-12,-9.90031795649405e-24,3.5528448550633863e-06,8.104994867330487e-09,True,base,C_only
base:C_only,single_C_memory_time_gradient,43,A,4.546703275878554e-12,4.546703275877973e-12,-4.546703275877973e-12,5.808035746344013e-25,3.560949849930717e-06,7.456593372439875e-09,True,base,C_only
base:C_only,single_C_memory_time_gradient,43,B,-4.5467032758384355e-12,-4.546703275877973e-12,4.546703275877973e-12,3.953745613418744e-23,3.560949849930717e-06,7.456593372439875e-09,True,base,C_only
base:C_only,single_C_memory_time_gradient,44,A,4.182965849477839e-12,4.1829658494811315e-12,-4.1829658494811315e-12,-3.2925665788731844e-24,3.5684064433031567e-06,6.860063993149056e-09,True,base,C_only
base:C_only,single_C_memory_time_gradient,44,B,-4.1829658494985184e-12,-4.1829658494811315e-12,4.1829658494811315e-12,-1.7386948734952507e-23,3.5684064433031567e-06,6.860063993149056e-09,True,base,C_only
base:C_only,single_C_memory_time_gradient,45,A,3.848327414969955e-12,3.848327414958786e-12,-3.848327414958786e-12,1.1169361650166713e-23,3.5752665072963057e-06,6.311256960532409e-09,True,base,C_only
base:C_only,single_C_memory_time_gradient,45,B,-3.848327414990221e-12,-3.848327414958786e-12,3.848327414958786e-12,-3.143528665771589e-23,3.5752665072963057e-06,6.311256960532409e-09,True,base,C_only
base:C_only,single_C_memory_time_gradient,46,A,3.5404600531109427e-12,3.540460053138058e-12,-3.540460053138058e-12,-2.711520666168699e-23,3.581577764256838e-06,5.806354487146415e-09,True,base,C_only
base:C_only,single_C_memory_time_gradient,46,B,-3.540460053094399e-12,-3.540460053138058e-12,3.540460053138058e-12,4.3658818912747546e-23,3.581577764256838e-06,5.806354487146415e-09,True,base,C_only
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,1,A,1.502986489806105e-10,1.5087273853441775e-10,-1.5087273853441775e-10,-5.740895538072488e-13,5.612790126948601e-07,2.474312911964451e-07,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,1,B,-1.5029864898039874e-10,-1.5087273853441775e-10,1.5087273853441775e-10,5.74089554019007e-13,5.612790126948601e-07,2.474312911964451e-07,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,2,A,1.3773116034659395e-10,1.3880347029255334e-10,-1.3880347029255334e-10,-1.0723099459593906e-12,8.087103038913052e-07,2.2763769127978746e-07,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,2,B,-1.377311603443771e-10,-1.3880347029255334e-10,1.3880347029255334e-10,1.0723099481762346e-12,8.087103038913052e-07,2.2763769127978746e-07,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,3,A,1.2602972368915752e-10,1.2769989168522078e-10,-1.2769989168522078e-10,-1.6701679960632657e-12,1.0363479951710927e-06,2.094278223637621e-07,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,3,B,-1.260297236928633e-10,-1.2769989168522078e-10,1.2769989168522078e-10,1.6701679923574966e-12,1.0363479951710927e-06,2.094278223637621e-07,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,4,A,1.1514198154493578e-10,1.1748473272290383e-10,-1.1748473272290383e-10,-2.3427511779680446e-12,1.2457758175348548e-06,1.9267496166556227e-07,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,4,B,-1.1514198154571003e-10,-1.1748473272290383e-10,1.1748473272290383e-10,2.3427511771938035e-12,1.2457758175348548e-06,1.9267496166556227e-07,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,5,A,1.0501777303413272e-10,1.0808690649732256e-10,-1.0808690649732256e-10,-3.069133463189845e-12,1.438450779200417e-06,1.77262526655609e-07,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,5,B,-1.0501777303066518e-10,-1.0808690649732256e-10,1.0808690649732256e-10,3.069133466657386e-12,1.438450779200417e-06,1.77262526655609e-07,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,6,A,9.560918721573586e-11,9.944101438672597e-11,-9.944101438672597e-11,-3.831827170990113e-12,1.615713305856026e-06,1.630832635942306e-07,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,6,B,-9.560918721319476e-11,-9.944101438672597e-11,9.944101438672597e-11,3.831827173531212e-12,1.615713305856026e-06,1.630832635942306e-07,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,7,A,8.687058637742834e-11,9.148689085956753e-11,-9.148689085956753e-11,-4.616304482139182e-12,1.7787965694502566e-06,1.5003850100969075e-07,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,7,B,-8.687058638277524e-11,-9.148689085956753e-11,9.148689085956753e-11,4.6163044767922865e-12,1.7787965694502566e-06,1.5003850100969075e-07,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,8,A,7.875860436269884e-11,8.416918470723734e-11,-8.416918470723734e-11,-5.410580344538506e-12,1.9288350704599474e-06,1.3803746291986925e-07,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,8,B,-7.875860435766958e-11,-8.416918470723734e-11,8.416918470723734e-11,5.410580349567764e-12,1.9288350704599474e-06,1.3803746291986925e-07,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,9,A,7.1232124569796e-11,7.743697379017148e-11,-7.743697379017148e-11,-6.204849220375471e-12,2.0668725333798166e-06,1.2699663701588122e-07,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,9,B,-7.123212457307826e-11,-7.743697379017148e-11,7.743697379017148e-11,6.2048492170932185e-12,2.0668725333798166e-06,1.2699663701588122e-07,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,10,A,6.42522416658393e-11,7.124341061508721e-11,-7.124341061508721e-11,-6.99116894924791e-12,2.193869170395698e-06,1.1683919340874302e-07,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,10,B,-6.425224166223941e-11,-7.124341061508721e-11,7.124341061508721e-11,6.9911689528478e-12,2.193869170395698e-06,1.1683919340874302e-07,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,11,A,5.778221013337905e-11,6.554539627575188e-11,-6.554539627575188e-11,-7.763186142372826e-12,2.310708363804441e-06,1.0749444989223307e-07,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,11,B,-5.7782210144761056e-11,-6.554539627575188e-11,6.554539627575188e-11,7.76318613099082e-12,2.310708363804441e-06,1.0749444989223307e-07,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,12,A,5.178738267754869e-11,6.030328048725808e-11,-6.030328048725808e-11,-8.515897809709385e-12,2.418202813696674e-06,9.889737999910325e-08,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,12,B,-5.178738266468438e-11,-6.030328048725808e-11,6.030328048725808e-11,8.515897822573698e-12,2.418202813696674e-06,9.889737999910325e-08,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,13,A,4.62351407651279e-11,5.5480585625415474e-11,-5.5480585625415474e-11,-9.245444860287574e-12,2.517100193695777e-06,9.098816042568138e-08,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,13,B,-4.623514078524493e-11,-5.5480585625415474e-11,5.5480585625415474e-11,9.245444840170541e-12,2.517100193695777e-06,9.098816042568138e-08,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,14,A,4.1094819624857334e-11,5.104375285010046e-11,-5.104375285010046e-11,-9.948933225243129e-12,2.6080883541214586e-06,8.371175467416476e-08,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,14,B,-4.109481961485176e-11,-5.104375285010046e-11,5.104375285010046e-11,9.948933235248706e-12,2.6080883541214586e-06,8.371175467416476e-08,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,15,A,3.633762902529409e-11,4.69619085451051e-11,-4.69619085451051e-11,-1.0624279519811005e-11,2.6918001087956233e-06,7.701753001397236e-08,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,15,B,-3.6337629013170934e-11,-4.69619085451051e-11,4.69619085451051e-11,1.0624279531934164e-11,2.6918001087956233e-06,7.701753001397236e-08,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,16,A,3.193657163438814e-11,4.320664944854297e-11,-4.320664944854297e-11,-1.1270077814154828e-11,2.7688176388095957e-06,7.085890509561047e-08,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,16,B,-3.193657164730539e-11,-4.320664944854297e-11,4.320664944854297e-11,1.1270077801237575e-11,2.7688176388095957e-06,7.085890509561047e-08,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,17,A,2.7866360049216984e-11,3.975184497799573e-11,-3.975184497799573e-11,-1.188548492877875e-11,2.839676543905206e-06,6.5193025763913e-08,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,17,B,-2.7866360050064016e-11,-3.975184497799573e-11,3.975184497799573e-11,1.1885484927931716e-11,2.839676543905206e-06,6.5193025763913e-08,True,base,combined_minus_R2_R3_residual
base:combined_minus_R2_R3_residual,combined_minus_R2_R3_residual,18,A,2.410333342930894e-11,3.657345537429616e-11,-3.657345537429616e-11,-1.2470121944987219e-11,2.904869569669119e-06,5.99804668138457e-08,True,base,combined_minus_R2_R3_residual
