sample_index,theta_rad,base,harmonic,composite
0,0.0,1.0,1.0,2.0
1,0.005240354718248195,0.9999862693726352,0.9998764266160686,1.9998626959887038
2,0.01048070943649639,0.9999450778676013,0.9995057370050369,1.9994508148726382
3,0.015721064154744585,0.9998764266160686,0.998888022781644,1.9987644493977126
4,0.02096141887299278,0.9997803175032866,0.9980234366119639,1.9978037541152505
5,0.026201773591240977,0.9996567531685321,0.9969121921756737,1.996568945344206
6,0.03144212830948917,0.9995057370050369,0.9955545641132444,1.9950603011182813
7,0.03668248302773737,0.9993272731598941,0.9939508879580634,1.9932781611179575
8,0.04192283774598556,0.9991213665339451,0.9921015600535092,1.9912229265874544
9,0.047163192464233755,0.998888022781644,0.9900070374549963,1.9888950602366404
10,0.052403547182481955,0.9986272483109031,0.9876678378170148,1.9862950861279178
11,0.05764390190073015,0.9983390502829166,0.985084539265195,1.9834235895481116
12,0.06288425661897834,0.9980234366119639,0.982257780253424,1.980281216865388
13,0.06812461133722654,0.9976804159651923,0.9791882594060555,1.9768686753712479
14,0.07336496605547474,0.9973099977623794,0.9758767353452454,1.973186733107625
15,0.07860532077372293,0.9969121921756737,0.9723240265034624,1.9692362186791361
16,0.08384567549197113,0.9964870101293157,0.9685310109212137,1.9650180210505295
17,0.08908603021021932,0.9960344632993381,0.964498626030041,1.960533089329379
18,0.09432638492846751,0.9955545641132444,0.9602278684208367,1.9557824325340811
19,0.09956673964671571,0.9950473257496685,0.9557197935975407,1.9507671193472091
20,0.10480709436496391,0.9945127621380123,0.9509755157162744,1.9454882778542868
21,0.1100474490832121,0.9939508879580634,0.9459962073099821,1.9399470952680455
22,0.1152878038014603,0.9933617186395917,0.9407830989986429,1.9341448176382345
23,0.1205281585197085,0.992745270361926,0.9353374791851261,1.928082749547052
24,0.12576851323795668,0.9921015600535092,0.9296606937367679,1.921762253790277
25,0.1310088679562049,0.9914306053914345,0.9237541456527435,1.915184751044178
26,0.13624922267445308,0.9907324248009585,0.9176192947173211,1.9083517195182795
27,0.14148957739270127,0.9900070374549963,0.9112576571390809,1.9012646945940772
28,0.14672993211094948,0.9892544632735946,0.9046708051761886,1.8939252684497832
29,0.15197028682919766,0.9884747229233847,0.8978603667478171,1.886335089671202
30,0.15721064154744585,0.9876678378170148,0.8908280250318118,1.8784958628488266
31,0.16245099626569406,0.9868338301125628,0.8835755180486983,1.8704093481612611
32,0.16769135098394225,0.9859727227129262,0.8761046382321365,1.8620773609450627
33,0.17293170570219044,0.985084539265195,0.8684172319859258,1.8535017712511208
34,0.17817206042043865,0.9841693041600009,0.8605151992276736,1.8446845033876746
35,0.18341241513868684,0.9832270425308484,0.8524004929192355,1.835627535450084
36,0.18865276985693502,0.982257780253424,0.8440751185840477,1.8263328988374719
37,0.19389312457518323,0.9812615439448862,0.8355411338114684,1.8168026777563546
38,0.19913347929343142,0.9802383609631339,0.8268006477482513,1.8070390087113852
39,0.2043738340116796,0.9791882594060555,0.8178558205772763,1.7970440799833318
40,0.20961418872992782,0.9781112681107574,0.808708862983668,1.7868201310944254
41,0.214854543448176,0.9770074166527721,0.7993620356084311,1.7763694522612032
42,0.2200948981664242,0.9758767353452454,0.7898176484897415,1.7656943838349868
43,0.2253352528846724,0.974719255238105,0.7800780604920267,1.7547973157301318
44,0.2305756076029206,0.9735350081172067,0.7701456787229806,1.7436806868401873
45,0.23581596232116878,0.9723240265034624,0.7600229579386545,1.7323469844421169
46,0.241056317039417,0.9710863436519468,0.7497123999367724,1.7207987435887193
47,0.24629667175766518,0.9698219935509839,0.7392165529384194,1.7090385464894031
48,0.25153702647591336,0.9685310109212137,0.7285380109582569,1.6970690218794706
49,0.25677738119416155,0.9672134312146393,0.717679413163421,1.6848928443780604
50,0.2620177359124098,0.9658692906136526,0.7066434432212599,1.6725127338349126
51,0.267258090630658,0.964498626030041,0.6954328286360754,1.6599314546661164
52,0.27249844534890616,0.9631014751039737,0.6840503400750276,1.6471518151790012
53,0.27773880006715435,0.9616778762029683,0.6724987906833751,1.6341766668863436
54,0.28297915478540253,0.9602278684208367,0.6607810353892135,1.6210089038100501
55,0.2882195095036507,0.9587514915766122,0.6488999701978905,1.6076514617745028
56,0.29345986422189896,0.9572487862134552,0.6368585314762666,1.5941073176897218
57,0.29870021894014714,0.9557197935975407,0.6246596952270026,1.5803794888245433
58,0.30394057365839533,0.954164555716924,0.6123064763530491,1.5664710320699733
59,0.3091809283766435,0.9525831152803891,0.5998019279125237,1.552385043192913
60,0.3144212830948917,0.9509755157162744,0.5871491403641567,1.5381246560804311
61,0.3196616378131399,0.9493418011712811,0.5743512408034952,1.5236930419747763
62,0.32490199253138813,0.9476820165092605,0.5614113921900511,1.5090934086993117
63,0.3301423472496363,0.9459962073099821,0.5483327925655861,1.4943289998755682
64,0.3353827019678845,0.9442844198678817,0.5351186742637253,1.479403094131607
65,0.3406230566861327,0.9425467011907902,0.521772303111097,1.4643190043018872
66,0.34586341140438087,0.9407830989986429,0.5082969776201947,1.4490800766188374
67,0.3511037661226291,0.9389936617221688,0.4946960281741589,1.4336896898963278
68,0.3563441208408773,0.9371784385015608,0.48097281620368554,1.4181512547052464
69,0.3615844755591255,0.9353374791851261,0.4671307333562576,1.4024682125413837
70,0.36682483027737367,0.9334708343279176,0.4531732006579112,1.3866440349858289
71,0.37206518499562186,0.9315785551903449,0.43910366766774006,1.370682222858085
72,0.37730553971387004,0.9296606937367679,0.4249256116253483,1.354586305362116
73,0.3825458944321183,0.927717302634068,0.41064253659146105,1.3383598392255291
74,0.38778624915036647,0.9257484352502037,0.3962579725819084,1.322006407832112
75,0.39302660386861465,0.9237541456527435,0.38177547469519213,1.3055296203479356
76,0.39826695858686284,0.921734488607382,0.36719862223385585,1.2889331108412379
77,0.403507313305111,0.9196895195764362,0.3525310178198708,1.272220537396307
78,0.4087476680233592,0.9176192947173212,0.3377762865042602,1.2553955812215813
79,0.41398802274160745,0.9155238708810092,0.32293807487117915,1.2384619457521884
80,0.41922837745985564,0.9134033056104681,0.3080200501366741,1.2214233557471421
81,0.4244687321781038,0.9112576571390809,0.29302589924234057,1.2042835563814216
82,0.429709086896352,0.9090869843890469,0.2779593279441095,1.1870463123331563
83,0.4349494416146002,0.9068913469697633,0.2628240598963797,1.169715406866143
84,0.4401897963328484,0.9046708051761886,0.2476238357317297,1.1522946409079182
85,0.4454301510510966,0.9024254199871866,0.23236241213643283,1.1347878321236196
86,0.4506705057693448,0.900155253063852,0.21704356092200386,1.117198813985856
87,0.455910860487593,0.8978603667478171,0.20167106809300758,1.0995314348408247
88,0.4611512152058412,0.8955408240595394,0.18624873291136068,1.0817895569709002
89,0.46639156992408937,0.8931966886965714,0.1707803669573562,1.0639770556539276
90,0.47163192464233755,0.8908280250318118,0.15526979318764358,1.0460978182194554
91,0.4768722793605858,0.8884348981117366,0.1397208449903979,1.0281557431021344
92,0.482112634078834,0.8860173736546137,0.12413736523791001,1.0101547388925238
93,0.48735298879708217,0.8835755180486983,0.10852320533683257,0.9920987233855308
94,0.49259334351533035,0.881109398350409,0.0928822242763178,0.9739916226267268
95,0.49783369823357854,0.8786190822824871,0.07721828767428146,0.9558373699567686
96,0.5030740529518267,0.8761046382321365,0.06153526682202652,0.937639905054163
97,0.508314407670075,0.8735661352491456,0.045837037727466716,0.9194031729766123
98,0.5135547623883231,0.8710036430439917,0.030127480157184614,0.9011311232011763
99,0.5187951171065713,0.8684172319859258,0.014410476677557366,0.8828277086634831
100,0.5240354718248196,0.8658069731010409,-0.0013100883048041013,0.8644968847962369
101,0.5292758265430677,0.8631729380703212,-0.0170303295030752,0.8461426085672461
102,0.534516181261316,0.8605151992276736,-0.0327463617104542,0.8277688375172194
103,0.5397565359795641,0.8578338295579414,-0.04845430076037697,0.8093795287975645
104,0.5449968906978123,0.8551289026949002,-0.06415026448647798,0.7909786382084222
105,0.5502372454160606,0.8524004929192355,-0.07983037368205362,0.7725701192371819
106,0.5554776001343087,0.8496486751565032,-0.09549075305879602,0.7541579220977072
107,0.5607179548525569,0.846873524975072,-0.11112753220455959,0.7357459927705123
108,0.5659583095708051,0.8440751185840477,-0.1267368465399178,0.7173382720441299
109,0.5711986642890533,0.8412535328311812,-0.142314838273285,0.6989386945578961
110,0.5764390190073014,0.8384088452007575,-0.1578576573543538,0.6805511878464037
111,0.5816793737255497,0.8355411338114684,-0.1733614624256253,0.6621796713858431
112,0.5869197284437979,0.8326504774142668,-0.18882242177178638,0.6438280556424805
113,0.592160083162046,0.8297369553902043,-0.20423671426670628,0.625500241123498
114,0.5974004378802943,0.8268006477482513,-0.21960053031781648,0.6072001174304349
115,0.6026407925985424,0.8238416351231,-0.23491007280763726,0.5889315623154627
116,0.6078811473167907,0.82085999877295,-0.2501615580322256,0.5706984407407244
117,0.6131215020350389,0.8178558205772763,-0.26535121663630284,0.5525046039409736
118,0.618361856753287,0.8148291830345818,-0.2804752945448395,0.5343538884897423
119,0.6236022114715353,0.8117801692601311,-0.29553005389086445,0.5162501153692667
120,0.6288425661897834,0.808708862983668,-0.31051177393926377,0.4981970890444042
121,0.6340829209080316,0.8056153485471164,-0.32541675200635084,0.4801985965407655
122,0.6393232756262798,0.8024997109022645,-0.34024130437497097,0.4622584065272935
123,0.644563630344528,0.7993620356084311,-0.3549817672049216,0.4443802684035095
124,0.6498039850627763,0.7962024088301168,-0.3696344974384573,0.42656791139165956
125,0.6550443397810244,0.7930209173346375,-0.3841958737006601,0.4088250436339774
126,0.6602846944992726,0.7898176484897415,-0.39866229719445195,0.3911553512952895
127,0.6655250492175208,0.7865926902612105,-0.41303019259002305,0.37356249767118743
128,0.670765403935769,0.7833461312104438,-0.4272960089084662,0.35605012230197763
129,0.6760057586540172,0.7800780604920267,-0.4414562203993869,0.33862184009263974
130,0.6812461133722654,0.7767885678512815,-0.45550732741228306,0.3212812404389984
131,0.6864864680905136,0.7734777436218035,-0.4694458572614714,0.3040318863603321
132,0.6917268228087617,0.7701456787229806,-0.4832683650843506,0.28687731363862995
133,0.69696717752701,0.7667924646574953,-0.4969714346927893,0.26982102996470597
134,0.7022075322452582,0.7634181935088133,-0.5105516794174235,0.2528665140913898
135,0.7074478869635064,0.7600229579386545,-0.5240057429446625,0.23601721499399198
136,0.7126882416817546,0.7566068511844474,-0.5373303001461914,0.21927655103825594
137,0.7179285964000027,0.7531699670567699,-0.5505220579007643,0.2026479091560056
138,0.723168951118251,0.7497123999367724,-0.56357775590809,0.1861346440286824
139,0.7284093058364991,0.7462342447735866,-0.5764941674946034,0.16974007727898321
140,0.7336496605547473,0.742735597081717,-0.589268100410929,0.15346749667078796
141,0.7388900152729956,0.7392165529384194,-0.6018963976208335,0.1373201553175859
142,0.7441303699912437,0.7356772089810613,-0.6143759380814777,0.12130127089958354
143,0.749370724709492,0.7321176624044686,-0.6267036375147725,0.10541402488969609
144,0.7546110794277401,0.7285380109582569,-0.6388764491696473,0.08966156178860962
145,0.7598514341459883,0.7249383529441461,-0.6508913645750465,0.07404698836909962
146,0.7650917888642366,0.7213187872132618,-0.6627454142834611,0.05857337292980069
147,0.7703321435824847,0.7176794131634209,-0.6744356686048194,0.04324374455860147
148,0.7755724983007329,0.7140203307364009,-0.685959238330551,0.028061092405849974
149,0.7808128530189811,0.7103416404151967,-0.6973132754476435,0.013028364967553108
150,0.7860532077372293,0.7066434432212599,-0.7084949738425214,-0.0018515306212614213
151,0.7912935624554774,0.702925840711726,-0.7195015699945667,-0.01657572928284068
152,0.7965339171737257,0.6991889349766244,-0.730330343659116,-0.0311414086824916
153,0.8017742718919739,0.6954328286360754,-0.7409786185397579,-0.04554578990368252
154,0.807014626610222,0.691657624837472,-0.7514437629497719,-0.059786138112299936
155,0.8122549813284703,0.6878634272526473,-0.7617231904625424,-0.07385976320989518
156,0.8174953360467184,0.6840503400750277,-0.7718143605507839,-0.08776402047575615
157,0.8227356907649667,0.6802184680167717,-0.7817147792144253,-0.10149631119765368
158,0.8279760454832149,0.6763679163058935,-0.7914219995969933,-0.11505408329109978
159,0.833216400201463,0.6724987906833751,-0.8009336225903453,-0.12843483190697014
160,0.8384567549197113,0.6686111974002604,-0.8102472974276016,-0.14163610002734117
161,0.8436971096379594,0.6647052432147389,-0.819360722264129,-0.15465547904939014
162,0.8489374643562076,0.6607810353892135,-0.8282716447464353,-0.16749060935722182
163,0.8541778190744559,0.6568386816873548,-0.8369778625688301,-0.1801391808814753
164,0.859418173792704,0.6528782903711422,-0.845477224017718,-0.19259893364657577
165,0.8646585285109523,0.6488999701978904,-0.8537676285033886,-0.20486765830549825
166,0.8698988832292004,0.6449038304172631,-0.8618470270791685,-0.21694319666190542
167,0.8751392379474486,0.6408899807682725,-0.8697134229478138,-0.22882344217954131
168,0.8803795926656968,0.6368585314762667,-0.8773648719550107,-0.24050634047874397
169,0.885619947383945,0.6328095932499012,-0.8847994830698676,-0.2519898898199664
170,0.8908603021021932,0.6287432772781003,-0.8920154188522771,-0.2632721415741768
171,0.8961006568204414,0.6246596952270027,-0.8990108959070333,-0.2743512006800306
172,0.9013410115386896,0.6205589592368951,-0.9057841853245928,-0.28522522608769774
173,0.9065813662569377,0.6164411819191334,-0.9123336131083679,-0.2958924311892345
174,0.911821720975186,0.6123064763530491,-0.918657560588451,-0.3063510842354019
175,0.9170620756934342,0.6081549560828453,-0.9247544648216619,-0.3165995087388166
176,0.9223024304116824,0.6039867351144776,-0.9306228189778253,-0.32663608386334764
177,0.9275427851299306,0.5998019279125236,-0.9362611727121791,-0.3364592447996555
178,0.9327831398481787,0.59560064939704,-0.9416681325238215,-0.3460674831267815
179,0.938023494566427,0.5913830149404062,-0.9468423621001114,-0.3554593471597052
180,0.9432638492846751,0.5871491403641567,-0.9517825826469328,-0.36463344228277617
181,0.9485042040029233,0.5828991419357992,-0.9564875732047449,-0.3735884312689457
182,0.9537445587211716,0.5786331363656235,-0.9609561709503384,-0.38232303458471484
183,0.9589849134394197,0.5743512408034952,-0.9651872714842237,-0.3908360306807285
184,0.964225268157668,0.570053572835639,-0.9691798291035795,-0.3991262562679405
185,0.9694656228759161,0.5657402504814097,-0.9729328570606944,-0.4071926065792847
186,0.9747059775941643,0.5614113921900512,-0.9764454278068393,-0.4150340356167881
187,0.9799463323124126,0.5570671168374437,-0.9797166732215075,-0.42264955638406376
188,0.9851866870306607,0.5527075437228395,-0.9827457848269676,-0.43003824110412814
189,0.9904270417489089,0.5483327925655861,-0.985532013988077,-0.4371992214224909
190,0.9956673964671571,0.5439429835018396,-0.9880746720973038,-0.44413168859546426
191,1.0009077511854052,0.5395382370812648,-0.9903731307449147,-0.4508348936636499
192,1.0061481059036534,0.5351186742637253,-0.992426821874284,-0.4573081476105587
193,1.0113884606219017,0.5306844164159612,-0.9942352379222867,-0.46355082150632554
194,1.01662881534015,0.526235585308257,-0.9957979319447415,-0.46956234663648455
195,1.0218691700583982,0.521772303111097,-0.9971145177268719,-0.47534221461577486
196,1.0271095247766462,0.5172946923918106,-0.9981846698787569,-0.4808899774869463
197,1.0323498794948944,0.5128028761112061,-0.9990081239157512,-0.4862052478045451
198,1.0375902342131427,0.5082969776201947,-0.9995846763238512,-0.4912876987036565
199,1.042830588931391,0.5037771206564026,-0.9999141846099925,-0.4961370639535899
200,1.0480709436496392,0.4992434293407733,-0.9999965673372673,-0.500753137996494
