m,direction,step,k,theta_rad,theta_over_pi,base_re,base_im,harmonic_re,harmonic_im,sum_re,sum_im
2,forward,0,0,0,0,1,0,1,0,2,0
2,forward,1,1,1.5707963267948966,0.5,0,1,-1,0,-1,1
2,forward,2,2,3.1415926535897931,1,-1,0,1,0,0,0
2,forward,3,3,4.7123889803846897,1.5,-0,-1,-1,0,-1,-1
2,reverse,0,0,0,0,1,0,1,0,2,0
2,reverse,1,3,4.7123889803846897,1.5,-0,-1,-1,0,-1,-1
2,reverse,2,2,3.1415926535897931,1,-1,0,1,0,0,0
2,reverse,3,1,1.5707963267948966,0.5,0,1,-1,0,-1,1
3,forward,0,0,0,0,1,0,1,0,2,0
3,forward,1,1,1.5707963267948966,0.5,0,1,-0,-1,0,0
3,forward,2,2,3.1415926535897931,1,-1,0,-1,0,-2,0
3,forward,3,3,4.7123889803846897,1.5,-0,-1,0,1,0,0
3,reverse,0,0,0,0,1,0,1,0,2,0
3,reverse,1,3,4.7123889803846897,1.5,-0,-1,0,1,0,0
3,reverse,2,2,3.1415926535897931,1,-1,0,-1,0,-2,0
3,reverse,3,1,1.5707963267948966,0.5,0,1,-0,-1,0,0
