m,direction,step,k,theta_rad,theta_over_pi,base_re,base_im,harmonic_re,harmonic_im,sum_re,sum_im
2,forward,0,0,0,0,1,0,1,0,2,0
2,forward,1,1,1.5707963267948966,0.5,6.123233995736766e-17,1,-1,1.2246467991473532e-16,-0.99999999999999989,1.0000000000000002
2,forward,2,2,3.1415926535897931,1,-1,1.2246467991473532e-16,1,-2.4492935982947064e-16,0,-1.2246467991473532e-16
2,forward,3,3,4.7123889803846897,1.5,-1.8369701987210297e-16,-1,-1,3.6739403974420594e-16,-1.0000000000000002,-0.99999999999999967
2,reverse,0,0,0,0,1,0,1,0,2,0
2,reverse,1,3,4.7123889803846897,1.5,-1.8369701987210297e-16,-1,-1,3.6739403974420594e-16,-1.0000000000000002,-0.99999999999999967
2,reverse,2,2,3.1415926535897931,1,-1,1.2246467991473532e-16,1,-2.4492935982947064e-16,0,-1.2246467991473532e-16
2,reverse,3,1,1.5707963267948966,0.5,6.123233995736766e-17,1,-1,1.2246467991473532e-16,-0.99999999999999989,1.0000000000000002
3,forward,0,0,0,0,1,0,1,0,2,0
3,forward,1,1,1.5707963267948966,0.5,6.123233995736766e-17,1,-1.8369701987210297e-16,-1,-1.224646799147353e-16,0
3,forward,2,2,3.1415926535897931,1,-1,1.2246467991473532e-16,-1,3.6739403974420594e-16,-2,4.8985871965894128e-16
3,forward,3,3,4.7123889803846897,1.5,-1.8369701987210297e-16,-1,5.5109105961630896e-16,1,3.6739403974420599e-16,0
3,reverse,0,0,0,0,1,0,1,0,2,0
3,reverse,1,3,4.7123889803846897,1.5,-1.8369701987210297e-16,-1,5.5109105961630896e-16,1,3.6739403974420599e-16,0
3,reverse,2,2,3.1415926535897931,1,-1,1.2246467991473532e-16,-1,3.6739403974420594e-16,-2,4.8985871965894128e-16
3,reverse,3,1,1.5707963267948966,0.5,6.123233995736766e-17,1,-1.8369701987210297e-16,-1,-1.224646799147353e-16,0
