file,purpose,size
complex_states.csv,"4 discrete complex states, m=2/3, forward/reverse",16 rows
wave_samples_static_2000_m2.csv,static plot samples,2000 rows
wave_samples_static_2000_m3.csv,static plot samples,2000 rows
wave_samples_html_800_m2.csv,HTML path samples,800 rows
wave_samples_html_800_m3.csv,HTML path samples,800 rows
wave_samples_mp4_1200_m2.csv,MP4 curve samples,1200 rows
wave_samples_mp4_1200_m3.csv,MP4 curve samples,1200 rows
representative_vectors_theta_pi4.csv,theta=pi/4 vector raw data,2 rows
