case_id,candidate_kind,epsilon,phi_over_pi,s0,stability_gain,pre_steps,C_mode,S_start,Q_start,C_sign_start,g_D,D_gain,baseline_outcome,baseline_phase_after,baseline_S_mean_after,D_outcome,phase_after_D,S_mean_after_D,S_amp_after_D,Q_max_error_after_D,D_selected,D_induced_selection
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,0,record_only,0.020000000000000073,1.0,gray,1.0,0.07,unresolved,unstable_or_drifting,-0.0198578545264938,white_selected,natural_selection,0.9617475645760287,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,0,record_only,0.020000000000000073,1.0,gray,1.0,0.0725,unresolved,unstable_or_drifting,-0.0198578545264938,white_selected,natural_selection,0.964959699772018,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,0,record_only,0.020000000000000073,1.0,gray,1.0,0.075,unresolved,unstable_or_drifting,-0.0198578545264938,white_selected,natural_selection,0.9677926705721085,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,0,record_only,0.020000000000000073,1.0,gray,1.0,0.0775,unresolved,unstable_or_drifting,-0.0198578545264938,white_selected,natural_selection,0.9703053069316823,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,0,record_only,0.020000000000000073,1.0,gray,1.0,0.08,unresolved,unstable_or_drifting,-0.0198578545264938,white_selected,natural_selection,0.9725450880433377,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,0,record_only,0.020000000000000073,1.0,gray,1.0,0.0825,unresolved,unstable_or_drifting,-0.0198578545264938,white_selected,natural_selection,0.9745507580047117,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,0,record_only,0.020000000000000073,1.0,gray,1.0,0.085,unresolved,unstable_or_drifting,-0.0198578545264938,white_selected,natural_selection,0.9763542431584744,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,0,record_only,0.020000000000000073,1.0,gray,1.0,0.0875,unresolved,unstable_or_drifting,-0.0198578545264938,white_selected,natural_selection,0.9779820820169552,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,0,record_only,0.020000000000000073,1.0,gray,1.0,0.09,unresolved,unstable_or_drifting,-0.0198578545264938,white_selected,natural_selection,0.979456507986198,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,0,record_only,0.020000000000000073,1.0,gray,1.0,0.095,unresolved,unstable_or_drifting,-0.0198578545264938,white_selected,natural_selection,0.9820173294497037,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,0,record_only,0.020000000000000073,1.0,gray,1.0,0.1,unresolved,unstable_or_drifting,-0.0198578545264938,white_selected,natural_selection,0.9841557721757919,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,0,record_only,0.020000000000000073,1.0,gray,1.0,0.12,unresolved,unstable_or_drifting,-0.0198578545264938,white_selected,natural_selection,0.98994794664769,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,0,record_only,0.020000000000000073,1.0,gray,1.0,0.15,unresolved,unstable_or_drifting,-0.0198578545264938,white_selected,natural_selection,0.9943522300091483,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,0,record_only,0.020000000000000073,1.0,gray,1.0,0.2,unresolved,unstable_or_drifting,-0.0198578545264938,white_selected,natural_selection,0.9974665558537763,0.0,4.440892098500626e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,0,record_only,0.020000000000000073,1.0,gray,1.0,0.3,unresolved,unstable_or_drifting,-0.0198578545264938,white_selected,natural_selection,0.9993552455466741,0.0,6.661338147750939e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,0,record_only,0.020000000000000073,1.0,gray,1.0,0.5,unresolved,unstable_or_drifting,-0.0198578545264938,white_selected,natural_selection,0.9999946542329294,0.0,4.440892098500626e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,0,record_only,0.020000000000000073,1.0,gray,1.0,0.75,unresolved,unstable_or_drifting,-0.0198578545264938,white_selected,natural_selection,0.9999999999989999,0.0,4.440892098500626e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,0,record_only,0.020000000000000073,1.0,gray,1.0,1.0,unresolved,unstable_or_drifting,-0.0198578545264938,white_selected,natural_selection,0.9999999999989999,0.0,4.440892098500626e-16,True,True
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.0,unresolved,unstable_or_drifting,-0.019806281162677075,unresolved,unstable_or_drifting,-0.019806281162677075,0.0,4.440892098500626e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.005,unresolved,unstable_or_drifting,-0.019806281162677075,unresolved,unstable_or_drifting,-0.9086168001532633,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.01,unresolved,unstable_or_drifting,-0.019806281162677075,unresolved,unstable_or_drifting,-0.005730237600060251,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.015,unresolved,unstable_or_drifting,-0.019806281162677075,unresolved,natural_selection,0.996223023711188,0.0,6.661338147750939e-16,False,False
gray_metastable_0_eps0.01_phi0_s0.01_g0,gray_metastable,0.01,0.0,0.01,0.0,1,record_only,0.019996000133331693,1.0,gray,1.0,0.02,unresolved,unstable_or_drifting,-0.019806281162677075,unresolved,unstable_or_drifting,-0.845240079273048,0.0,6.661338147750939e-16,False,False
