case,N,M,rank,final_H_perp,r2_min,r2_max,classes_tol1e-6,classes_tol1e-2
N=10,10,45,9,0.10214356373500777,0.02222222222222274,0.022222222222222907,45,39
N=11,11,55,10,0.13888529413164385,0.01818181817871555,0.01818181818473649,55,42
