t,H,Q2_re,Q2_im,generator_norm
0,np.float64(350.6171176340729),np.float64(-38.73719403467817),np.float64(9.074060727747577e-15),np.float64(17.020289399452626)
1,np.float64(350.61711763407243),np.float64(-38.737194034678105),np.float64(-7.993605777301127e-14),np.float64(17.505931200171954)
2,np.float64(350.617117634073),np.float64(-38.7371940346782),np.float64(-7.549516567451064e-15),np.float64(17.44018841024181)
3,np.float64(350.6171176340739),np.float64(-38.73719403467835),np.float64(1.3766765505351941e-14),np.float64(17.599188304530358)
4,np.float64(350.61711763407357),np.float64(-38.737194034678396),np.float64(-2.184918912462308e-13),np.float64(18.041117024753127)
5,np.float64(350.61711763407436),np.float64(-38.737194034678424),np.float64(-3.710365348297273e-13),np.float64(18.231585449319358)
6,np.float64(350.6171176340732),np.float64(-38.737194034678176),np.float64(-4.565237077258644e-13),np.float64(18.218566122896185)
7,np.float64(350.6171176340731),np.float64(-38.73719403467831),np.float64(-4.32542890393961e-13),np.float64(18.184957672040166)
8,np.float64(350.6171176340715),np.float64(-38.73719403467814),np.float64(-6.152856002472618e-13),np.float64(18.318289725019934)
9,np.float64(350.6171176340713),np.float64(-38.737194034678154),np.float64(-8.162359677044151e-13),np.float64(18.56153667374067)
10,np.float64(350.61711763407186),np.float64(-38.73719403467831),np.float64(-8.5087492607272e-13),np.float64(18.64217251570489)
11,np.float64(350.6171176340713),np.float64(-38.737194034678296),np.float64(-9.046097204645775e-13),np.float64(18.60521636877594)
12,np.float64(350.61711763407186),np.float64(-38.73719403467827),np.float64(-1.0205170042354439e-12),np.float64(18.56023105969427)
13,np.float64(350.61711763407106),np.float64(-38.73719403467838),np.float64(-1.06403774680075e-12),np.float64(18.60079619484289)
14,np.float64(350.61711763407106),np.float64(-38.73719403467854),np.float64(-1.1937117960769683e-12),np.float64(18.703231570218176)
15,np.float64(350.61711763407095),np.float64(-38.73719403467858),np.float64(-9.965361869035405e-13),np.float64(18.799448513833926)
16,np.float64(350.6171176340701),np.float64(-38.73719403467848),np.float64(-9.832135106080386e-13),np.float64(18.833270671543037)
17,np.float64(350.61711763407055),np.float64(-38.73719403467861),np.float64(-9.112710586123285e-13),np.float64(18.817447464415398)
18,np.float64(350.61711763406976),np.float64(-38.73719403467843),np.float64(-1.0969003483296547e-12),np.float64(18.788830887892463)
19,np.float64(350.61711763406976),np.float64(-38.73719403467838),np.float64(-1.0240697179142444e-12),np.float64(18.780384434312477)
20,np.float64(350.61711763407),np.float64(-38.73719403467827),np.float64(-1.270095140171179e-12),np.float64(18.8013658948409)
21,np.float64(350.6171176340706),np.float64(-38.737194034678396),np.float64(-1.241673430740775e-12),np.float64(18.845311509712065)
22,np.float64(350.61711763407055),np.float64(-38.73719403467846),np.float64(-1.184830011879967e-12),np.float64(18.887601797045093)
23,np.float64(350.6171176340705),np.float64(-38.73719403467851),np.float64(-1.092459456231154e-12),np.float64(18.908725485615186)
24,np.float64(350.6171176340699),np.float64(-38.73719403467845),np.float64(-1.3065104553788842e-12),np.float64(18.90221538114255)
25,np.float64(350.6171176340689),np.float64(-38.73719403467818),np.float64(-1.3957723865587468e-12),np.float64(18.879933026910233)
26,np.float64(350.61711763406913),np.float64(-38.737194034678126),np.float64(-1.1834977442504169e-12),np.float64(18.85827173867809)
