cover_id,blocks,max_block_residual,pair_blocks
0,5,9.771306048957256e-09,1-2+1-4 | 1-3+1-5 | 2-3+4-5 | 2-4+2-5 | 3-4+3-5
1,5,9.771306048957256e-09,1-2+1-4 | 1-3+1-5 | 2-3+4-5 | 2-4+3-4 | 2-5+3-5
2,5,8.860739615860178e-09,1-2+1-4 | 1-3+2-3 | 1-5+4-5 | 2-4+2-5 | 3-4+3-5
3,5,8.860739615860178e-09,1-2+1-4 | 1-3+2-3 | 1-5+4-5 | 2-4+3-4 | 2-5+3-5
4,5,4.711516436462209e-09,1-2+1-5 | 1-3+1-4 | 2-3+4-5 | 2-4+2-5 | 3-4+3-5
5,5,7.078059243802629e-09,1-2+1-5 | 1-3+1-4 | 2-3+4-5 | 2-4+3-4 | 2-5+3-5
6,5,6.590712100502848e-09,1-2+1-5 | 1-3+2-3 | 1-4+4-5 | 2-4+2-5 | 3-4+3-5
7,5,7.078059243802629e-09,1-2+1-5 | 1-3+2-3 | 1-4+4-5 | 2-4+3-4 | 2-5+3-5
8,5,6.9724515324742526e-09,1-2+2-3 | 1-3+1-4 | 1-5+4-5 | 2-4+2-5 | 3-4+3-5
9,5,7.078059243802629e-09,1-2+2-3 | 1-3+1-4 | 1-5+4-5 | 2-4+3-4 | 2-5+3-5
10,5,9.771306048957256e-09,1-2+2-3 | 1-3+1-5 | 1-4+4-5 | 2-4+2-5 | 3-4+3-5
11,5,9.771306048957256e-09,1-2+2-3 | 1-3+1-5 | 1-4+4-5 | 2-4+3-4 | 2-5+3-5
