N,M,k,best_residual,edges
16,120,2,0.017920719966166801,"3-10;8-16;"
16,120,3,0.00021318126518060914,"6-9;9-15;12-15;"
16,120,4,0.00030611999626272579,"2-4;4-10;6-7;8-14;"
