N,M,k,best_residual,edges,runtime_s
15,105,5,6.122964088733248e-05,2-14;3-14;5-8;5-10;11-14,0.4114530086517334
15,105,6,3.4188837943261067e-06,1-13;3-5;3-14;4-7;6-15;11-15,10.28833794593811
