N,M,k,best_residual,edges
14,91,2,0.013717811949929463,"5-14;9-14;"
14,91,3,0.0020363064352844859,"1-2;1-5;3-7;"
14,91,4,0.00014133932930287797,"2-8;6-10;8-9;11-13;"
