N,M,k,best_residual,edges,runtime_s
14,91,5,5.949267663629901e-05,1-2;1-5;1-9;2-6;3-12,0.26433801651000977
14,91,6,2.412724662429697e-05,1-6;3-7;4-10;4-13;6-12;7-9,6.543604135513306
