N,M,k,best_residual,edges
16,120,2,0.017920720032360272,"3-10;8-16"
16,120,3,0.00021318096791072858,"6-9;9-15;12-15"
16,120,4,0.00030612012556908768,"2-4;4-10;6-7;8-14"
16,120,5,2.0550906327658974e-05,"1-11;3-12;5-11;7-12;11-16"
16,120,6,5.3059565973479854e-06,"2-6;3-11;4-11;4-15;5-6;7-16"
16,120,7,2.7097354194958968e-05,"2-15;4-7;6-7;6-14;9-13;10-11;14-15"
16,120,8,4.2879280838205359e-05,"2-5;2-9;3-11;5-12;6-13;8-11;9-10;14-15"
16,120,9,6.5927642866605768e-05,"2-6;3-8;5-11;5-14;6-7;8-15;9-10;10-12;10-13"
16,120,10,6.1587047937756254e-05,"1-11;2-11;2-14;3-6;3-8;8-10;9-13;9-15;12-13;13-16"
16,120,11,4.193347594588823e-05,"1-2;1-5;1-15;4-16;7-12;7-13;10-12;10-13;11-12;13-15;15-16"
16,120,12,5.2832438358029365e-05,"1-5;1-6;3-13;4-5;6-8;6-9;8-13;8-15;9-10;10-14;12-16;13-16"
16,120,13,1.6432259953270333e-05,"2-6;2-14;2-16;3-15;5-8;6-11;6-12;6-14;7-11;8-16;10-15;11-13;12-13"
16,120,14,1.2885948706094689e-06,"2-7;2-8;2-16;3-8;3-10;4-5;4-12;4-16;7-15;8-13;8-15;10-11;12-13;13-16"
