N,M,k,best_residual,edges
15,105,2,0.012533371285898725,"1-14;6-7;"
15,105,3,0.0010446205952384,"2-5;4-7;12-14;"
15,105,4,0.00017550632051638762,"2-3;4-9;5-8;9-15;"
