N,M,k,best_residual,edges,runtime_s
16,120,5,2.0551148347087937e-05,1-11;3-12;5-11;7-12;11-16,0.5267589092254639
16,120,6,2.6752837142425123e-06,1-9;1-13;2-3;2-5;5-9;10-13,15.390531063079834
