case,use_c,use_r2,use_r3,c_persistent,mirrored,final_delta_A,final_delta_B,initial_distance_AB_abs,final_distance_AB_abs,distance_change,R_weighted_delta_balance_final,R_weighted_acceleration_balance_max,max_delta_chi_std,max_Q_raw_abs,max_Q_closed_abs,final_C_memory,final_R2_memory,final_R3_memory,beat_slope,beat_alias_reverse,R_balance_valid,gauge_std_valid,Q_closed_valid
C_mediated_only_persistent,True,False,False,True,False,8.179551975640347e-08,-5.234913264414473e-08,0.5,0.49999986585534767,-1.3414465233063666e-07,-7.26727798964588e-20,4.011825970882184e-23,6.414269100766159e-19,3.5873841187439844e-09,0.0,3.5873841187439845e-06,0.0,0.0,-0.012500000000000726,True,True,True,True
C_mediated_only_reset,True,False,False,False,False,8.556077321364342e-09,-5.475889485719698e-09,0.5,0.49999998596803324,-1.4031966755201353e-08,-7.268601478625965e-20,7.134432783269864e-24,6.414266241531815e-19,2.9233264549036767e-10,0.0,2.9233263813813393e-07,0.0,0.0,-0.012500000000000726,True,True,True,True
R2_only,False,True,False,True,False,-9.135025462953786e-05,5.846416296290421e-05,0.5,0.5001498144175924,0.00014981441759243097,-2.710505431213761e-20,3.6422416731934915e-20,6.429344348871916e-19,3.8117932330638805e-09,0.0,0.0,3.811793233063881e-06,0.0,-0.012500000000000726,True,True,True,True
R3_only,False,False,True,True,False,-5.7091905735827904e-05,3.653881967092979e-05,0.5,0.5000936307254067,9.363072540669037e-05,-1.0164395367051604e-19,2.583450489125616e-20,6.418124323024187e-19,2.3821850484109543e-09,0.0,0.0,0.0,2.3821850484109543e-06,-0.012500000000000726,True,True,True,True
C_plus_R2,True,True,False,True,False,-9.126844436639646e-05,5.841180439449369e-05,0.5,0.5001496802487608,0.00014968024876083064,-6.776263578034403e-20,8.046812998915853e-20,6.429344348871916e-19,7.399877603602557e-09,0.0,3.58808507151657e-06,3.8117925320859862e-06,0.0,-0.012500000000000726,True,True,True,True
C_plus_R3,True,False,True,True,False,-5.701010100157021e-05,3.648646464100489e-05,0.5,0.5000934965656425,9.349656564250353e-05,-7.453889935837843e-20,2.1175823681357508e-20,6.418124323024187e-19,5.970006818305246e-09,0.0,3.5878222079933625e-06,0.0,2.3821846103118836e-06,-0.012500000000000726,True,True,True,True
C_plus_R2_plus_R3,True,True,True,True,False,-0.00014837102592940902,9.495745659482172e-05,0.5,0.5002433284825242,0.00024332848252417438,-8.131516293641283e-20,6.437450399132683e-20,6.46718708726352e-19,9.783490886810155e-09,0.0,3.5885231940069144e-06,3.81228781095584e-06,2.3826798818473995e-06,-0.012500000000000726,True,True,True,True
C_plus_R2_plus_R3_mirrored,True,True,True,True,True,0.00014837102592940896,-9.495745659482177e-05,0.5,0.5002433284825242,0.00024332848252417438,-5.421010862427522e-20,8.300922883092143e-20,6.46718708726352e-19,9.783490886810155e-09,0.0,-3.5885231940069144e-06,-3.81228781095584e-06,-2.3826798818473995e-06,-0.012500000000000726,True,True,True,True
