case,step,readout_set,particle,gauge,chi_read,delta_chi_read,R_read,distance_AB_signed,distance_AB_abs,C_memory,R2_memory,R3_memory,Q_raw,Q_closed,beat_phase,unwrap_phase,principal_branch_phase,same_snapshot_id,delta_chi_gauge_offset,phase_bias,gain
C_mediated_only_persistent,0,frozen_fanout,A,g0,-0.2499999998217484,1.7825161310388272e-10,1.0,0.4999999997076674,0.4999999997076674,2.923326454903677e-07,0.0,0.0,2.9233264549036767e-10,0.0,0.0,-0.0,0.0,C_mediated_only_persistent:0,0.0,0.0,1.0
C_mediated_only_persistent,0,frozen_fanout,B,g0,0.24999999988591898,-1.1408103238648494e-10,1.5625,0.4999999997076674,0.4999999997076674,2.923326454903677e-07,0.0,0.0,2.9233264549036767e-10,0.0,0.0,-0.0,0.0,C_mediated_only_persistent:0,0.0,0.0,1.0
C_mediated_only_persistent,0,frozen_fanout,A,g_chi_plus,-0.2494999998217484,1.7825161310388272e-10,1.0,0.4999999997076674,0.4999999997076674,2.923326454903677e-07,0.0,0.0,2.9233264549036767e-10,0.0,0.0,-0.0,0.0,C_mediated_only_persistent:0,0.0005,0.0,1.0
C_mediated_only_persistent,0,frozen_fanout,B,g_chi_plus,0.250499999885919,-1.1408103238648494e-10,1.5625,0.4999999997076674,0.4999999997076674,2.923326454903677e-07,0.0,0.0,2.9233264549036767e-10,0.0,0.0,-0.0,0.0,C_mediated_only_persistent:0,0.0005,0.0,1.0
C_mediated_only_persistent,0,frozen_fanout,A,g_chi_minus,-0.25049999982174836,1.7825161310388272e-10,1.0,0.4999999997076674,0.4999999997076674,2.923326454903677e-07,0.0,0.0,2.9233264549036767e-10,0.0,0.0,-0.0,0.0,C_mediated_only_persistent:0,-0.0005,0.0,1.0
C_mediated_only_persistent,0,frozen_fanout,B,g_chi_minus,0.24949999988591898,-1.1408103238648494e-10,1.5625,0.4999999997076674,0.4999999997076674,2.923326454903677e-07,0.0,0.0,2.9233264549036767e-10,0.0,0.0,-0.0,0.0,C_mediated_only_persistent:0,-0.0005,0.0,1.0
C_mediated_only_persistent,0,frozen_fanout,A,g_phase_plus,-0.2499999998217484,1.7825161420166572e-10,1.0,0.4999999997076674,0.4999999997076674,2.923326454903677e-07,0.0,0.0,2.9233264549036767e-10,0.0,0.11,-0.0,0.0,C_mediated_only_persistent:0,0.0,0.11,1.0
C_mediated_only_persistent,0,frozen_fanout,B,g_phase_plus,0.24999999988591898,-1.1408103128870193e-10,1.5625,0.4999999997076674,0.4999999997076674,2.923326454903677e-07,0.0,0.0,2.9233264549036767e-10,0.0,0.11,-0.0,0.0,C_mediated_only_persistent:0,0.0,0.11,1.0
C_mediated_only_persistent,0,frozen_fanout,A,g_phase_minus,-0.2499999998217484,1.782516118075413e-10,1.0,0.4999999997076674,0.4999999997076674,2.923326454903677e-07,0.0,0.0,2.9233264549036767e-10,0.0,-0.13,-0.0,0.0,C_mediated_only_persistent:0,0.0,-0.13,1.0
C_mediated_only_persistent,0,frozen_fanout,B,g_phase_minus,0.24999999988591898,-1.1408103368282637e-10,1.5625,0.4999999997076674,0.4999999997076674,2.923326454903677e-07,0.0,0.0,2.9233264549036767e-10,0.0,-0.13,-0.0,0.0,C_mediated_only_persistent:0,0.0,-0.13,1.0
