N,M,M_odd,order4,axis_deg,n_A,n_B,max_axis_dev_deg,amp_cv_all,n_distinct_amp_12dig,r_A_mean,r_B_mean,amp_cv_A,amp_cv_B,P_A,P_B,P_A_over_P_B,abs_sum_z2,sum_r2,seed_delta,parent_residual
3,3,True,1.0,90.0,2,1,4.7161264816741026e-11,0.17157287525380954,2,0.5000000000000002,0.7071067811865474,5.02875522067832e-13,0.0,0.5000000000000004,0.4999999999999998,1.0000000000000013,6.744814321349626e-16,1.0000000000000002,1e-15,6.077012648064646e-13
4,6,False,1.0,46.386845417848235,4,2,5.360506860138611e-11,0.17157287525380976,2,0.35355339059327384,0.5,7.280219232244089e-16,7.850462293418876e-17,0.5000000000000002,0.49999999999999994,1.0000000000000007,3.2628022762886285e-16,1.0000000000000002,1e-15,7.740071880119881e-13
5,10,False,1.0,50.659098681259415,4,6,1.6513439906158578e-11,0.16361724073333347,3,0.3471825374147067,0.28867513459481303,0.1924500897298745,2.2219859497291565e-14,0.4999999999999998,0.5000000000000004,0.9999999999999987,1.0655439223536894e-15,1.0000000000000002,1e-15,2.1398983600827765e-13
6,15,True,1.0,24.543015514579263,8,7,5.0939763778319687e-11,0.10963762613798608,9,0.24882318471009826,0.26561831704841493,0.09737256764997197,0.11139491361639446,0.5,0.5000000000000003,0.9999999999999993,2.7396067764871434e-15,1.0000000000000002,1e-15,6.940104607515631e-13
7,21,True,0.9999999999999999,21.688881316050672,10,11,7.506109048253899e-12,0.06774505333541228,13,0.22334986282697286,0.21259977321295837,0.04797981684990648,0.07524141826752972,0.4999999999999995,0.5000000000000009,0.9999999999999972,2.1255226330348913e-15,1.0000000000000004,1e-15,1.3284964387090482e-13
8,28,False,0.9999999999999999,59.68222969177147,14,14,1.893066146407085e-11,0.07566792736969664,26,0.1887712804804042,0.1881157736565213,0.04728945429388919,0.09608970947923187,0.4999999999999991,0.5000000000000009,0.9999999999999964,2.3100681457820164e-15,1.0000000000000002,1e-15,4.421108404793428e-13
9,36,False,0.9999999999999999,54.986871178288865,18,18,3.538049027660016e-11,0.09047087461960351,31,0.16599011229876426,0.16598737536460192,0.09037895621934966,0.09056270199549801,0.49999999999999944,0.5000000000000008,0.9999999999999973,4.278772026101071e-15,1.0000000000000002,1e-15,5.202916376148666e-13
10,45,True,0.9999999999999999,26.085459046395588,23,22,9.363552982228593e-12,0.059911641724227596,45,0.14701247983973112,0.15067772636598842,0.0764934865561336,0.03216942723697804,0.4999999999999999,0.5000000000000004,0.9999999999999989,2.0371445046876665e-15,1.0000000000000002,1e-15,1.6301907903921956e-13
11,55,True,1.0,54.69467819597693,26,29,4.022765561115056e-11,0.0713084939618092,55,0.1384049499221578,0.13099607155639445,0.06250468374851349,0.06887739768140681,0.49999999999999956,0.5000000000000007,0.9999999999999978,1.164320306149383e-15,1.0000000000000002,1e-15,7.224630100010521e-13
12,66,False,1.0,58.7845105491876,32,34,3.587665680690847e-12,0.06009677832908679,66,0.12472055151339088,0.12112793806300151,0.06697920694674431,0.048071467535396636,0.49999999999999967,0.5000000000000004,0.9999999999999984,4.3911895905499484e-15,1.0000000000000002,1e-15,8.50198904865603e-14
13,78,False,1.0,45.903938924642794,40,38,4.573637631944537e-11,0.049303707515968784,78,0.11162875287195866,0.11462883985774007,0.055959791358506816,0.03713905507619309,0.5,0.5000000000000001,0.9999999999999998,1.9802851026958233e-16,1.0,1e-15,9.421307058033642e-13
14,91,True,1.0,66.22564173864022,47,44,3.158926909629565e-11,0.056989987663507574,91,0.10296886283094125,0.1064636771770565,0.05803581131987972,0.050688295421729986,0.4999999999999997,0.5000000000000002,0.999999999999999,2.0441491519923775e-15,1.0,1e-15,4.5425811592576583e-13
15,105,True,1.0,53.756245253464144,51,54,2.4121326704219312e-11,0.07262023981371343,105,0.09879281635956616,0.0959556271505236,0.06706746043604693,0.07498898569277469,0.5000000000000004,0.49999999999999994,1.000000000000001,1.1108096940456679e-15,1.0000000000000002,1e-15,4.2412873613174543e-13
16,120,False,1.0,66.06731939359351,59,61,1.4745051503264863e-11,0.07239490653639886,120,0.09190633538318017,0.09021940077237892,0.057370800681873786,0.08381583396887513,0.49999999999999994,0.5,0.9999999999999999,5.549813928017125e-16,1.0,1e-15,2.9983885741068536e-13
17,136,False,1.0,63.825068442426605,68,68,3.8103045083932934e-11,0.06437128267846719,136,0.08553205142297371,0.08561231806463343,0.07131767681209397,0.05659008989553634,0.5000000000000011,0.4999999999999989,1.0000000000000044,2.6204455151448114e-15,1.0,1e-15,9.246588822274841e-13
18,153,True,1.0,47.923553747143856,76,77,2.6195048356533525e-11,0.06988319684425548,153,0.08092340290272718,0.08037720337965669,0.06807801182182548,0.07148268527199086,0.5000000000000003,0.5000000000000001,1.0000000000000004,3.3123914800617003e-16,1.0000000000000002,1e-15,4.3045266674868894e-13
19,171,True,0.9999999999999999,27.59387611945766,88,83,1.4649634862820957e-11,0.06108295994892833,171,0.07524535174072927,0.07747925925131287,0.059367480537475405,0.05923135628244877,0.5000000000000003,0.5,1.0000000000000007,1.5569015145746553e-15,1.0000000000000004,1e-15,2.4898557694804543e-13
20,190,False,1.0,60.22409635263594,96,94,2.921021419456094e-11,0.04466790225540444,190,0.07209496855266768,0.07286384254375153,0.04526330374265777,0.04342018273300178,0.4999999999999997,0.5000000000000003,0.9999999999999988,2.0376444748160697e-15,1.0000000000000002,1e-15,6.180853281698006e-13
21,210,False,1.0,31.011915420922044,106,104,3.120760253452003e-11,0.06418031732038641,210,0.06852071037272141,0.06921564927786186,0.06828645563896027,0.059369269111473985,0.4999999999999999,0.5000000000000001,0.9999999999999996,1.204678027824418e-15,1.0,1e-15,5.182818723384021e-13
