N,M,M_odd,order4,axis_deg,n_A,n_B,max_axis_dev_deg,amp_cv_all,n_distinct_amp_12dig,r_A_mean,r_B_mean,amp_cv_A,amp_cv_B,P_A,P_B,P_A_over_P_B,abs_sum_z2,sum_r2,seed_delta,parent_residual
22,231,True,1.0,45.74265517102585,118,113,1.9592216837815263e-12,0.03373126444057692,231,0.06505248043351212,0.06649426828477413,0.03592930032287394,0.02728241350733599,0.5000000000000002,0.49999999999999967,1.000000000000001,1.545428554811127e-15,0.9999999999999999,1e-15,5.29876546673814e-14
23,253,True,0.9999999999999999,29.360472968371273,132,121,8.027720016013917e-12,0.04872929096844422,253,0.061501767201380425,0.06420569669341747,0.0378240462126754,0.0489061041373158,0.49999999999999895,0.5000000000000011,0.9999999999999957,3.1803783613361187e-15,1.0,1e-15,1.4846870170280357e-13
24,276,False,1.0,56.5452375586097,141,135,1.8777994839360602e-11,0.052341878933467,276,0.05948531947139886,0.06076375487083496,0.04633235150122073,0.055735676392443985,0.4999999999999999,0.5000000000000004,0.9999999999999989,1.9029720840368098e-15,1.0000000000000002,1e-15,2.7954220855891883e-13
25,300,False,1.0,27.923393568977005,149,151,3.9044489269646134e-11,0.03925179931385296,300,0.057880628910077406,0.05750309192402238,0.04065588606548734,0.03751122121027783,0.5000000000000003,0.49999999999999967,1.0000000000000013,5.1548055330769384e-15,1.0,1e-15,7.543300351217896e-13
26,325,True,1.0,59.09668149292287,161,164,3.3332213061737656e-12,0.036762961372497335,325,0.055696217064187085,0.055173752256522615,0.03369272239963286,0.03903118797473619,0.5000000000000007,0.4999999999999994,1.0000000000000027,3.655764995202577e-15,1.0000000000000002,1e-15,1.1435685186170985e-13
27,351,True,1.0,57.74549875812842,171,180,2.1500549646693374e-11,0.058111459303947385,351,0.05399442542559528,0.05261329805390758,0.0542450449543435,0.05894696329404688,0.5000000000000009,0.4999999999999993,1.0000000000000033,4.226564395596523e-15,1.0,1e-15,3.363376630519431e-13
28,378,False,1.0,23.872398714289375,186,192,2.1627771833951913e-11,0.04543457334505274,378,0.05181172014690893,0.0509646139025148,0.037214232609244065,0.05107159092292209,0.4999999999999999,0.5000000000000002,0.9999999999999993,1.2467063096955302e-15,1.0000000000000002,1e-15,3.2518765949226084e-13
29,406,False,0.9999999999999999,62.66302145439841,204,202,6.437442675282158e-12,0.03636545814588749,406,0.049464846236542404,0.049729222611510145,0.04147747872010388,0.03017637351201389,0.5000000000000007,0.49999999999999956,1.0000000000000022,2.326116382289081e-15,1.0000000000000002,1e-15,1.264095079943875e-13
30,435,True,0.9999999999999999,24.708443395601282,218,217,2.0870799819763598e-11,0.03640736566737878,435,0.04785169195243133,0.04797776860344997,0.040702971870797876,0.03148039941557262,0.5000000000000003,0.4999999999999998,1.000000000000001,7.630023007840829e-16,1.0,1e-15,5.248857954073233e-13
31,465,True,1.0,62.487639504957926,236,229,3.5494990245132845e-11,0.05169509160938291,465,0.045957356867560424,0.04667758347153614,0.055754013050334436,0.04599491498572895,0.4999999999999992,0.5000000000000007,0.9999999999999971,1.9915328145490975e-15,0.9999999999999998,1e-15,5.422944227303981e-13
32,496,False,1.0,41.71136420151842,248,248,1.3803607317551662e-12,0.033460792104822085,496,0.044874286533776654,0.04487813402613464,0.034719760921870554,0.03215273637417639,0.5000000000000001,0.5000000000000001,1.0,1.3014202159415619e-16,1.0000000000000002,1e-15,3.539400753509349e-14
33,528,False,1.0,24.971684449669517,264,264,3.990960014300421e-11,0.04194173527397243,528,0.04348116608409425,0.0434812073482098,0.04195306709499862,0.04193040040662407,0.5000000000000002,0.4999999999999997,1.000000000000001,1.4992035894480949e-15,1.0,1e-15,6.258888283232659e-13
34,561,True,0.9999999999999999,57.863984355050626,278,283,4.09655442972501e-12,0.036992102837278676,561,0.04237886968844238,0.042006797320915695,0.037993965219652134,0.03541713575132212,0.49999999999999994,0.5000000000000001,0.9999999999999997,1.0963671951224569e-15,1.0,1e-15,1.8168035719179664e-13
35,595,True,1.0000000000000002,63.1697975352545,300,295,3.867554492659636e-12,0.038174903885187496,595,0.04079376630353053,0.04114148264264668,0.03903198653704439,0.036811592089397,0.500000000000001,0.49999999999999944,1.000000000000003,2.0518084952407927e-15,1.0000000000000004,1e-15,1.0382395913899548e-13
36,630,False,1.0,51.4012957820787,315,315,2.9133880882205815e-11,0.03733193448803206,630,0.0398204313505585,0.039806008634508575,0.03210930591978727,0.04191105177428591,0.5000000000000002,0.4999999999999998,1.0000000000000009,5.343293268291006e-16,1.0,1e-15,4.3706969222177226e-13
37,666,False,0.9999999999999999,23.923290096666452,329,337,2.105527199128848e-11,0.04624400367162785,666,0.03894308115675151,0.03847819605092592,0.0458867646242961,0.04581657075447048,0.5,0.5000000000000002,0.9999999999999996,7.759882703731702e-16,1.0000000000000004,1e-15,3.2890964676656604e-13
38,703,True,1.0,26.07535449519296,346,357,5.953998363699704e-12,0.03902015677786166,703,0.03799065024988807,0.037392774071941914,0.03528753582777869,0.040914997502478366,0.4999999999999999,0.5000000000000002,0.9999999999999993,2.3432488503744835e-15,1.0,1e-15,1.4491366510805355e-13
39,741,True,0.9999999999999999,47.1751004160626,371,370,5.5977762393757894e-12,0.028578827058959852,741,0.036695351193673106,0.036746568091540664,0.02935187511937679,0.027766828472844868,0.5,0.5,1.0,4.844494842221843e-16,1.0000000000000002,1e-15,1.1890524875478264e-13
40,780,False,0.9999999999999999,27.224704395093227,393,387,2.6990187026899403e-11,0.029497758358353766,780,0.035655828856289803,0.03592660655675702,0.026995544082181726,0.031350688268773776,0.5000000000000007,0.4999999999999998,1.0000000000000018,1.0590287915377875e-15,1.0000000000000004,1e-15,6.237953231674313e-13
