step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9,takagi_r10,takagi_r11,takagi_r12,takagi_r13,takagi_r14
0,0.18949313196750006,0.18383774291365781,0.15957564814237887,0.15253351658435046,0.151449851512739,0.13658383907781405,0.1348221781238144,0.1311684648017049,0.11571120649988212,0.10340639709965195,0.100990886483211,0.07292972224836725,0.0397169278826462,1.88835021169621e-09
1,0.18949313196750037,0.1838377429136578,0.15957564814237873,0.15253351658435033,0.1514498515127391,0.13658383907781396,0.13482217812381483,0.13116846480170474,0.11571120649988206,0.10340639709965155,0.10099088648321125,0.07292972224836718,0.039716927882647156,1.2511127378413585e-09
2,0.1894931319675007,0.18383774291365776,0.1595756481423785,0.1525335165843501,0.1514498515127392,0.13658383907781374,0.1348221781238156,0.13116846480170435,0.11571120649988191,0.10340639709965095,0.1009908864832116,0.07292972224836726,0.03971692788264884,1.6356020097972443e-09
3,0.18949313196750117,0.18383774291365776,0.1595756481423782,0.15253351658434977,0.1514498515127393,0.13658383907781346,0.13482217812381664,0.13116846480170372,0.11571120649988167,0.10340639709965015,0.10099088648321213,0.07292972224836747,0.039716927882651236,1.732700356231389e-09
4,0.18949313196750173,0.1838377429136577,0.15957564814237782,0.1525335165843493,0.15144985151273946,0.1365838390778131,0.13482217812381803,0.13116846480170288,0.1157112064998814,0.10340639709964905,0.10099088648321275,0.07292972224836758,0.039716927882654324,9.569434163875918e-10
5,0.18949313196750242,0.18383774291365765,0.15957564814237724,0.15253351658434863,0.15144985151273968,0.13658383907781274,0.13482217812381966,0.13116846480170186,0.11571120649988113,0.10340639709964762,0.10099088648321365,0.07292972224836755,0.039716927882658154,8.883418850718018e-10
6,0.18949313196750342,0.1838377429136576,0.1595756481423764,0.15253351658434774,0.15144985151274,0.1365838390778123,0.13482217812382172,0.13116846480170052,0.11571120649988088,0.10340639709964583,0.10099088648321469,0.07292972224836733,0.039716927882662866,1.888225546017398e-09
7,0.18949313196750453,0.1838377429136575,0.15957564814237535,0.15253351658434663,0.15144985151274035,0.13658383907781171,0.13482217812382433,0.13116846480169875,0.11571120649988048,0.1034063970996436,0.1009908864832159,0.07292972224836715,0.03971692788266894,2.128815524069739e-09
8,0.18949313196750586,0.18383774291365745,0.1595756481423741,0.15253351658434527,0.15144985151274074,0.136583839077811,0.13482217812382763,0.13116846480169644,0.11571120649987991,0.10340639709964082,0.10099088648321737,0.07292972224836705,0.0397169278826767,1.5990163071109665e-09
9,0.18949313196750756,0.18383774291365731,0.15957564814237254,0.15253351658434364,0.15144985151274126,0.13658383907781005,0.1348221781238318,0.13116846480169356,0.11571120649987918,0.10340639709963736,0.10099088648321919,0.072929722248367,0.039716927882686465,1.6305665956855817e-09
10,0.18949313196750975,0.1838377429136572,0.1595756481423706,0.15253351658434158,0.15144985151274196,0.1365838390778089,0.13482217812383696,0.13116846480168995,0.1157112064998783,0.10340639709963292,0.10099088648322165,0.07292972224836698,0.03971692788269858,1.111708098560095e-09
11,0.18949313196751266,0.18383774291365695,0.1595756481423681,0.152533516584339,0.15144985151274287,0.1365838390778075,0.13482217812384348,0.13116846480168548,0.11571120649987725,0.10340639709962729,0.10099088648322488,0.07292972224836688,0.03971692788271371,1.811436443813471e-09
12,0.18949313196751633,0.18383774291365662,0.159575648142365,0.15253351658433573,0.15144985151274398,0.13658383907780566,0.13482217812385167,0.13116846480167987,0.11571120649987593,0.10340639709962021,0.10099088648322896,0.07292972224836682,0.039716927882732664,1.1972536121503457e-09
13,0.18949313196752088,0.18383774291365634,0.15957564814236108,0.15253351658433165,0.15144985151274537,0.1365838390778034,0.134822178123862,0.1311684648016727,0.1157112064998742,0.10340639709961133,0.10099088648323402,0.07292972224836679,0.03971692788275675,1.1468251265841906e-09
14,0.18949313196752654,0.18383774291365598,0.1595756481423562,0.15253351658432654,0.15144985151274706,0.13658383907780047,0.134822178123875,0.13116846480166358,0.11571120649987197,0.1034063970996002,0.10099088648324031,0.07292972224836675,0.03971692788278713,1.5088815642462262e-09
15,0.1894931319675337,0.1838377429136555,0.15957564814235006,0.1525335165843201,0.15144985151274923,0.13658383907779684,0.1348221781238913,0.13116846480165206,0.11571120649986923,0.1034063970995862,0.10099088648324812,0.07292972224836665,0.039716927882825326,1.670221706824708e-09
16,0.18949313196754272,0.18383774291365493,0.15957564814234232,0.15253351658431202,0.15144985151275198,0.13658383907779237,0.13482217812391176,0.1311684648016376,0.1157112064998659,0.10340639709956853,0.100990886483258,0.07292972224836643,0.03971692788287321,2.0440861517659542e-09
