case,N,M,rank,final_H_perp,r2_min,r2_max,classes_tol1e-6,classes_tol1e-2
N=14,14,91,13,0.08448345991184159,0.010989010989011547,0.010989010989011627,91,53
N=15,15,105,14,0.14445941195539413,0.009523809523810095,0.009523809523810118,105,65
