step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9,takagi_r10,takagi_r11,takagi_r12,takagi_r13,takagi_r14,takagi_r15
0,0.17366014208646569,0.17055536473222424,0.16963105797238617,0.15255211375078156,0.1419616225503584,0.14158908017862698,0.12739447839804155,0.12297873131238764,0.10967119872868857,0.10935583418863828,0.0975796968053047,0.07161229442794059,0.0528861185567863,0.04196788277653955,1.3997772495032975e-09
1,0.17366014208646532,0.17055536473222457,0.16963105797238565,0.15255211375078137,0.14196162255035852,0.14158908017862742,0.1273944783980422,0.12297873131238758,0.10967119872868877,0.10935583418863812,0.09757969680530475,0.07161229442794183,0.05288611855678735,0.04196788277654275,1.427228554043687e-09
2,0.1736601420864651,0.17055536473222482,0.16963105797238534,0.15255211375078123,0.14196162255035857,0.1415890801786278,0.1273944783980426,0.12297873131238758,0.10967119872868891,0.10935583418863803,0.09757969680530473,0.07161229442794273,0.05288611855678804,0.04196788277654491,1.3938854592316974e-09
3,0.1736601420864649,0.17055536473222493,0.16963105797238515,0.1525521137507811,0.14196162255035857,0.14158908017862804,0.12739447839804285,0.1229787313123876,0.10967119872868905,0.10935583418863795,0.09757969680530473,0.07161229442794327,0.05288611855678847,0.04196788277654642,1.492517016193773e-09
4,0.1736601420864647,0.17055536473222513,0.169631057972385,0.15255211375078098,0.1419616225503586,0.14158908017862826,0.12739447839804305,0.1229787313123876,0.1096711987286891,0.10935583418863781,0.09757969680530469,0.07161229442794367,0.05288611855678878,0.04196788277654738,1.0000268042314399e-09
5,0.17366014208646458,0.1705553647322253,0.16963105797238484,0.1525521137507809,0.14196162255035866,0.14158908017862837,0.12739447839804324,0.12297873131238755,0.10967119872868916,0.10935583418863765,0.0975796968053047,0.07161229442794387,0.052886118556789215,0.04196788277654807,1.2686169304803757e-09
6,0.17366014208646444,0.1705553647322255,0.16963105797238473,0.15255211375078087,0.1419616225503587,0.1415890801786285,0.12739447839804346,0.12297873131238757,0.1096711987286892,0.1093558341886374,0.0975796968053047,0.07161229442794406,0.05288611855678954,0.041967882776548775,8.170817386069307e-10
7,0.17366014208646427,0.1705553647322257,0.16963105797238467,0.1525521137507808,0.14196162255035868,0.14158908017862862,0.1273944783980436,0.12297873131238755,0.10967119872868926,0.10935583418863709,0.09757969680530466,0.07161229442794434,0.052886118556789825,0.041967882776549524,1.5402611252992394e-09
8,0.1736601420864641,0.1705553647322259,0.16963105797238456,0.1525521137507807,0.1419616225503587,0.14158908017862878,0.12739447839804377,0.12297873131238757,0.10967119872868934,0.10935583418863679,0.09757969680530464,0.07161229442794476,0.052886118556790075,0.04196788277655054,1.917402739638513e-09
9,0.1736601420864639,0.17055536473222613,0.16963105797238437,0.15255211375078062,0.14196162255035868,0.14158908017862895,0.127394478398044,0.12297873131238755,0.1096711987286894,0.10935583418863655,0.09757969680530457,0.07161229442794526,0.052886118556790464,0.04196788277655177,1.116550582577132e-09
