t,H,Q2_re,Q2_im,generator_norm,antisym_residual
0,np.float64(108.81778016906237),np.float64(-21.79795897113272),np.float64(25.38426085980494),np.float64(17.07444230797563),np.float64(4.440892098500626e-16)
1,np.float64(108.81778016906239),np.float64(-21.79795897113261),np.float64(25.3842608598051),np.float64(23.617926848588223),np.float64(8.881784197001252e-16)
2,np.float64(108.81778016906227),np.float64(-21.797958971132513),np.float64(25.384260859805103),np.float64(41.31252017766932),np.float64(1.7763568394002505e-15)
3,np.float64(108.81778016906205),np.float64(-21.79795897113262),np.float64(25.3842608598048),np.float64(46.377539240677514),np.float64(3.552713678800501e-15)
4,np.float64(108.81778016906209),np.float64(-21.797958971132537),np.float64(25.38426085980475),np.float64(47.77678010123325),np.float64(3.552713678800501e-15)
5,np.float64(108.81778016906208),np.float64(-21.797958971132662),np.float64(25.384260859804726),np.float64(47.96104673941006),np.float64(3.552713678800501e-15)
6,np.float64(108.81778016906188),np.float64(-21.797958971132445),np.float64(25.384260859804808),np.float64(48.05125354623132),np.float64(8.881784197001252e-16)
7,np.float64(108.81778016906222),np.float64(-21.797958971132232),np.float64(25.38426085980512),np.float64(48.12778792949756),np.float64(3.552713678800501e-15)
8,np.float64(108.81778016906205),np.float64(-21.797958971132733),np.float64(25.384260859804712),np.float64(48.18700496013443),np.float64(3.552713678800501e-15)
9,np.float64(108.8177801690617),np.float64(-21.797958971132584),np.float64(25.384260859804783),np.float64(48.21524260795792),np.float64(3.552713678800501e-15)
10,np.float64(108.81778016906182),np.float64(-21.797958971132257),np.float64(25.384260859805025),np.float64(48.219456902989116),np.float64(3.552713678800501e-15)
11,np.float64(108.81778016906159),np.float64(-21.79795897113233),np.float64(25.384260859805035),np.float64(48.23258427209182),np.float64(4.440892098500626e-16)
12,np.float64(108.8177801690615),np.float64(-21.79795897113225),np.float64(25.384260859805003),np.float64(48.25860745109162),np.float64(3.552713678800501e-15)
13,np.float64(108.81778016906179),np.float64(-21.79795897113209),np.float64(25.384260859805394),np.float64(48.28447147921083),np.float64(3.552713678800501e-15)
14,np.float64(108.81778016906156),np.float64(-21.79795897113229),np.float64(25.384260859805035),np.float64(48.311624869684785),np.float64(1.7763568394002505e-15)
15,np.float64(108.81778016906145),np.float64(-21.797958971132058),np.float64(25.384260859805217),np.float64(48.3384834006457),np.float64(8.881784197001252e-16)
16,np.float64(108.81778016906156),np.float64(-21.797958971132164),np.float64(25.384260859805195),np.float64(48.365763221396406),np.float64(1.7763568394002505e-15)
17,np.float64(108.81778016906148),np.float64(-21.797958971131987),np.float64(25.38426085980534),np.float64(48.39835820197062),np.float64(3.552713678800501e-15)
18,np.float64(108.81778016906118),np.float64(-21.797958971131745),np.float64(25.38426085980542),np.float64(48.428635782796974),np.float64(3.552713678800501e-15)
19,np.float64(108.8177801690611),np.float64(-21.797958971131507),np.float64(25.38426085980561),np.float64(48.45661396749265),np.float64(3.552713678800501e-15)
20,np.float64(108.817780169061),np.float64(-21.79795897113133),np.float64(25.384260859805785),np.float64(48.489928024699566),np.float64(3.552713678800501e-15)
21,np.float64(108.81778016906097),np.float64(-21.79795897113132),np.float64(25.384260859805746),np.float64(48.5312668526886),np.float64(3.552713678800501e-15)
22,np.float64(108.81778016906058),np.float64(-21.79795897113142),np.float64(25.384260859805426),np.float64(48.57792288644264),np.float64(3.552713678800501e-15)
23,np.float64(108.81778016906055),np.float64(-21.79795897113194),np.float64(25.38426085980481),np.float64(48.62017689551321),np.float64(3.552713678800501e-15)
24,np.float64(108.8177801690606),np.float64(-21.797958971131987),np.float64(25.38426085980481),np.float64(48.659955290889634),np.float64(3.552713678800501e-15)
25,np.float64(108.81778016906034),np.float64(-21.797958971131322),np.float64(25.38426085980521),np.float64(48.694405549954595),np.float64(3.552713678800501e-15)
26,np.float64(108.8177801690602),np.float64(-21.797958971131514),np.float64(25.384260859805014),np.float64(48.73130249878453),np.float64(3.552713678800501e-15)
27,np.float64(108.81778016906017),np.float64(-21.797958971131756),np.float64(25.384260859804783),np.float64(48.77850307160878),np.float64(3.552713678800501e-15)
28,np.float64(108.8177801690603),np.float64(-21.79795897113173),np.float64(25.38426085980486),np.float64(48.83283467894584),np.float64(3.552713678800501e-15)
29,np.float64(108.81778016906034),np.float64(-21.7979589711317),np.float64(25.38426085980481),np.float64(48.89886800208049),np.float64(3.552713678800501e-15)
30,np.float64(108.8177801690606),np.float64(-21.797958971131706),np.float64(25.384260859804925),np.float64(48.959728490501725),np.float64(3.552713678800501e-15)
31,np.float64(108.81778016906082),np.float64(-21.79795897113199),np.float64(25.384260859804698),np.float64(49.023253268351255),np.float64(3.552713678800501e-15)
32,np.float64(108.81778016906078),np.float64(-21.797958971132303),np.float64(25.384260859804364),np.float64(49.11883825400163),np.float64(3.552713678800501e-15)
33,np.float64(108.81778016906044),np.float64(-21.797958971131763),np.float64(25.384260859804698),np.float64(49.21480306964904),np.float64(3.552713678800501e-15)
34,np.float64(108.81778016906053),np.float64(-21.79795897113177),np.float64(25.384260859804684),np.float64(49.28881653369539),np.float64(3.552713678800501e-15)
35,np.float64(108.81778016906036),np.float64(-21.797958971131912),np.float64(25.384260859804456),np.float64(49.38510048062648),np.float64(8.881784197001252e-16)
36,np.float64(108.81778016906053),np.float64(-21.797958971132353),np.float64(25.384260859804264),np.float64(49.48638729577308),np.float64(1.7763568394002505e-15)
37,np.float64(108.81778016906057),np.float64(-21.797958971132378),np.float64(25.384260859804307),np.float64(49.65770343092101),np.float64(8.881784197001252e-16)
38,np.float64(108.81778016906034),np.float64(-21.797958971132086),np.float64(25.38426085980434),np.float64(50.0118198600288),np.float64(3.552713678800501e-15)
39,np.float64(108.81778016906014),np.float64(-21.797958971132385),np.float64(25.38426085980407),np.float64(50.424532957840675),np.float64(8.881784197001252e-16)
40,np.float64(108.81778016905966),np.float64(-21.79795897113195),np.float64(25.384260859804186),np.float64(50.89493712370143),np.float64(1.7763568394002505e-15)
41,np.float64(108.81778016905935),np.float64(-21.797958971131894),np.float64(25.38426085980413),np.float64(51.17294109233169),np.float64(1.7763568394002505e-15)
42,np.float64(108.81778016905949),np.float64(-21.79795897113161),np.float64(25.38426085980437),np.float64(51.31411575361146),np.float64(8.881784197001252e-16)
43,np.float64(108.8177801690597),np.float64(-21.797958971131855),np.float64(25.384260859804197),np.float64(51.38881695496272),np.float64(1.7763568394002505e-15)
44,np.float64(108.81778016905989),np.float64(-21.797958971131912),np.float64(25.384260859804233),np.float64(51.42753949265229),np.float64(1.7763568394002505e-15)
45,np.float64(108.81778016906009),np.float64(-21.79795897113169),np.float64(25.38426085980459),np.float64(51.46103822614361),np.float64(7.105427357601002e-15)
46,np.float64(108.81778016906),np.float64(-21.79795897113144),np.float64(25.384260859804655),np.float64(51.48103890508088),np.float64(7.105427357601002e-15)
47,np.float64(108.81778016906003),np.float64(-21.797958971131376),np.float64(25.384260859804687),np.float64(51.49867974200062),np.float64(7.105427357601002e-15)
48,np.float64(108.81778016905986),np.float64(-21.797958971131372),np.float64(25.38426085980467),np.float64(51.51355951439346),np.float64(1.7763568394002505e-15)
49,np.float64(108.8177801690602),np.float64(-21.797958971131422),np.float64(25.384260859804787),np.float64(51.52424155827952),np.float64(7.105427357601002e-15)
50,np.float64(108.81778016906034),np.float64(-21.797958971131415),np.float64(25.384260859804805),np.float64(51.53625438987927),np.float64(8.881784197001252e-16)
51,np.float64(108.81778016906004),np.float64(-21.797958971131152),np.float64(25.38426085980489),np.float64(51.54432043542115),np.float64(8.881784197001252e-16)
52,np.float64(108.81778016905994),np.float64(-21.797958971131187),np.float64(25.384260859804883),np.float64(51.55320910820277),np.float64(2.220446049250313e-16)
53,np.float64(108.81778016905997),np.float64(-21.797958971131692),np.float64(25.384260859804503),np.float64(51.56094494100227),np.float64(7.105427357601002e-15)
54,np.float64(108.81778016905993),np.float64(-21.797958971131884),np.float64(25.384260859804336),np.float64(51.56703233832094),np.float64(8.881784197001252e-16)
55,np.float64(108.81778016905987),np.float64(-21.797958971131692),np.float64(25.38426085980454),np.float64(51.5745274103262),np.float64(7.105427357601002e-15)
56,np.float64(108.81778016905972),np.float64(-21.797958971131663),np.float64(25.384260859804492),np.float64(51.579344921150835),np.float64(7.105427357601002e-15)
57,np.float64(108.81778016905965),np.float64(-21.797958971131642),np.float64(25.384260859804563),np.float64(51.58548751260273),np.float64(8.881784197001252e-16)
58,np.float64(108.81778016905966),np.float64(-21.797958971131507),np.float64(25.384260859804648),np.float64(51.59053252752195),np.float64(1.7763568394002505e-15)
59,np.float64(108.81778016905963),np.float64(-21.79795897113142),np.float64(25.384260859804712),np.float64(51.59486668539109),np.float64(4.440892098500626e-16)
