delta_max,closure_global_abs,closure_pair_rms,closure_pair_max
0.0,0.0,0.0,0.0
0.04,1.2130688578843068e-17,1.010478022208332e-18,1.7329555112632954e-18
0.08,6.924764586266563e-18,7.742122171537621e-19,1.7311911465666407e-18
0.12,0.0,3.458860741804455e-19,1.7294303709022274e-18
0.16,0.0,9.141987126858395e-19,1.7276731733300863e-18
0.2,8.629597714773322e-18,9.45325066115276e-19,1.7259195429546643e-18
0.24,5.172508406773805e-18,7.315031540348366e-19,1.7241694689246018e-18
0.28,1.7224229404325063e-18,8.07887970488604e-19,1.7224229404325063e-18
0.32,1.3765439573717849e-17,1.0324079680288387e-18,1.7206799467147311e-18
0.36,5.156821431153467e-18,8.764911035188334e-19,1.7189404770511556e-18
0.4,0.0,9.086592224359883e-19,1.7172045207649623e-18
0.44,1.7154720672224221e-18,8.046277219636926e-19,1.7154720672224221e-18
0.48,6.854972423330694e-18,8.39559231900504e-19,1.7137431058326735e-18
0.52,8.560088130237551e-18,8.72961128283105e-19,1.7120176260475103e-18
0.56,5.130886852083491e-18,8.720830726936792e-19,1.7102956173611635e-18
0.6,8.542885346550459e-18,8.712067816889332e-19,1.708577069310092e-18
0.64,1.0241171828836599e-17,7.633318792844825e-19,1.7068619714727665e-18
0.68,5.115450940408388e-18,7.99786390316503e-19,1.7051503134694627e-18
0.72,3.406884169924098e-18,9.013768259221884e-19,1.703442084962049e-18
0.76,3.4034745513075612e-18,8.33677600325145e-19,1.7017372756537806e-18
0.8,3.4000717505781796e-18,7.60279156266952e-19,1.7000358752890898e-18
0.84,6.793351494613538e-18,9.60724981765e-19,1.6983378736533844e-18
0.88,5.089929781718515e-18,6.348257788642587e-19,1.6966432605728384e-18
0.92,8.474760129570972e-18,7.950029694492587e-19,1.6949520259141943e-18
0.96,6.773056638338219e-18,9.578548556659032e-19,1.6932641595845548e-18
1.0,0.0,8.287014011052776e-19,1.691579651531188e-18
1.04,3.37979698348265e-18,7.557455805215939e-19,1.689898491741325e-18
1.08,6.7528826809678415e-18,8.933224103318019e-19,1.6882206702419604e-18
1.12,1.6865461770996574e-18,7.91060276873819e-19,1.6865461770996574e-18
1.16,1.8533625026623852e-17,1.0386267058172395e-18,1.6848750024203501e-18
1.2,1.683207136349151e-18,7.894941279379323e-19,1.683207136349151e-18
