step,class_id,count,a2_norm,b2_norm,ab_norm
0,0,6,0.1652987352592045,0.8347012647407954,0.37144994734272335
0,1,4,0.8347012647407956,0.1652987352592045,-0.3714499473427233
1,0,6,0.06400459301781797,0.935995406982182,0.24476111842047435
1,1,4,0.935995406982182,0.06400459301781797,-0.24476111842047432
10,0,6,0.8757440085744133,0.1242559914255867,-0.3298733696745332
10,1,4,0.12425599142558685,0.8757440085744131,0.32987336967453335
50,0,6,0.9841029182467197,0.01589708175328027,-0.12507743419582043
50,1,4,0.01589708175328039,0.9841029182467196,0.1250774341958209
81,0,2,0.04422148319650068,0.9557785168034993,-0.20558682744865314
81,1,4,0.9557785168034968,0.04422148319650321,0.20558682744865875
81,2,2,0.04422148325553174,0.9557785167444682,-0.2055868275795229
81,3,2,0.04422148313747682,0.9557785168625232,-0.20558682731779943
82,0,2,0.13401637792629867,0.8659836220737014,-0.3406699111659469
82,1,4,0.8659836220736967,0.13401637792630322,0.3406699111659518
82,2,2,0.1340163780329288,0.8659836219670712,-0.3406699112805003
82,3,2,0.1340163778196815,0.8659836221803185,-0.3406699110514075
100,0,2,0.02725684682334091,0.972743153176659,-0.1628309280345409
100,1,4,0.9727431531766536,0.027256846823346455,0.16283092803455704
100,2,2,0.027256847064092166,0.9727431529359079,-0.1628309287335083
100,3,2,0.027256846582605583,0.9727431534173944,-0.16283092733561977
200,0,1,0.46503824156574164,0.5349617584342583,-0.4987761777061777
200,1,1,0.46503793028053003,0.5349620697194699,-0.4987761558865168
200,2,4,0.5349619140753605,0.4650380859246394,0.49877616679647707
200,3,1,0.46504211795250866,0.5349578820474913,-0.49877644940669935
200,4,1,0.4650338982938385,0.5349661017061614,-0.4987758732451624
200,5,1,0.4650340539730333,0.5349659460269666,-0.49877588415884666
200,6,1,0.46504227355852346,0.5349577264414765,-0.4987764603126765
500,0,1,0.9428824516806645,0.05711754831933543,-0.23206708942313167
500,1,1,0.9594792574461296,0.04052074255387048,0.19717710814583278
500,2,1,0.008162125983933627,0.9918378740160663,-0.08997502810978178
500,3,1,0.000691923162227474,0.9993080768377725,0.026295330470732767
500,4,1,0.0765310958873393,0.9234689041126607,0.2658459840765367
500,5,1,0.7875067982129327,0.21249320178706738,-0.4090719264155731
500,6,1,0.24906582088749543,0.7509341791125046,0.4324720080573233
500,7,1,0.0796837827246963,0.9203162172753037,0.2708030234236311
500,8,1,0.6559790914795207,0.34402090852047934,-0.4750479165528709
500,9,1,0.9127500044525177,0.08724999554748224,0.2822010521320687
1000,0,1,0.0811801569227915,0.9188198430772085,-0.2731115871668254
1000,1,1,0.12083029705325635,0.8791697029467437,-0.3259299562287551
1000,2,1,0.9284566948858952,0.07154330511410482,0.2577302089539659
1000,3,1,0.8744823501690869,0.12551764983091307,0.3313049492715697
1000,4,1,0.9069790632469394,0.09302093675306047,0.29046177386816946
1000,5,1,0.30413654482055236,0.6958634551794477,-0.46004076659049303
1000,6,1,0.7134832279190807,0.28651677208091936,0.4521337317622408
1000,7,1,0.644307310343016,0.355692689656984,0.4787226756500724
1000,8,1,0.3186355019331028,0.6813644980668973,-0.4659473348361834
1000,9,1,0.09747752976331799,0.9025224702366821,-0.2966069131941456
2000,0,1,0.9760559122414993,0.02394408775850068,0.15287500914117358
2000,1,1,0.9762485945867205,0.023751405413279407,0.15227368831867652
2000,2,1,0.024307474518643707,0.9756925254813562,-0.15400201687370588
2000,3,1,0.023314158769604396,0.9766858412303956,-0.15089933323401422
2000,4,1,0.023758498673253445,0.9762415013267466,-0.15229587129678354
2000,5,1,0.9424253759797041,0.05757462402029585,0.23293730205619154
2000,6,1,0.05784483920836272,0.9421551607916373,-0.23344980999204387
2000,7,1,0.057003249049128124,0.9429967509508719,-0.23184882714167696
2000,8,1,0.9430131461602814,0.05698685383971857,0.23181749789256445
2000,9,1,0.9761293876208161,0.023870612379183923,0.15264601614135456
3000,0,1,0.007035634437022211,0.9929643655629778,0.08358309808263151
3000,1,1,0.007035620915986584,0.9929643790840134,0.08358301833693921
3000,2,1,0.99296870806072,0.007031291939279903,-0.08355748244738183
3000,3,1,0.992959338401585,0.0070406615984149054,-0.08361274234631651
3000,4,1,0.9929642902548209,0.007035709745179063,-0.0835835422410456
3000,5,1,7.435757674437496e-06,0.9999925642423255,-0.002726848434355181
3000,6,1,0.9999925535136885,7.446486311532135e-06,0.002728814918856489
3000,7,1,0.9999927061091499,7.293890850034117e-06,0.002700710582270967
3000,8,1,7.2911306222416465e-06,0.9999927088693777,-0.002700199522564193
3000,9,1,0.007035997312928221,0.9929640026870717,0.08358523825856266
4000,0,1,0.8992528399730383,0.10074716002696171,-0.3009936374302013
4000,1,1,0.8992529366652986,0.10074706333470135,-0.30099350917276446
4000,2,1,0.10074686887361795,0.899253131126382,0.3009932512296247
4000,3,1,0.10074739243130568,0.8992526075686944,0.3009939457025642
4000,4,1,0.10074711689413302,0.899252883105867,0.3009935802166766
4000,5,1,0.9451934648694325,0.054806535130567595,-0.2276022382085674
4000,6,1,0.05480656163352407,0.945193438366476,0.22760229004874882
4000,7,1,0.05480672619789766,0.9451932738021023,0.22760261193880515
4000,8,1,0.9451932250890981,0.05480677491090184,-0.22760270722196516
4000,9,1,0.8992528737234604,0.1007471262765395,-0.3009935926619676
5000,0,1,0.2839688082342878,0.7160311917657122,0.4509218603974374
5000,1,1,0.2839688036713202,0.7160311963286797,0.45092185821137504
5000,2,1,0.7160311997566305,0.2839688002433695,-0.45092185656908534
5000,3,1,0.7160311875281039,0.28396881247189604,-0.4509218624276241
5000,4,1,0.7160311939291597,0.28396880607084035,-0.450921859360956
5000,5,1,0.209415915159041,0.790584084840959,0.40689174191318056
5000,6,1,0.7905840828706948,0.20941591712930524,-0.4068917433202562
5000,7,1,0.7905840797741338,0.2094159202258662,-0.406891745531683
5000,8,1,0.2094159228584563,0.7905840771415438,0.4068917474117624
5000,9,1,0.2839688061863929,0.716031193813607,0.45092185941631585
