j,branch_id,sigma,sigma_over_sigma1,N_sigma_over_sigma1,N2_sigma_over_sigma1,delta,E_j,occupation_fraction,solver_residual
0,0,3.89682644869198569e+01,1.00000000000000000e+00,4.00000000000000000e+01,1.60000000000000000e+03,1.87304705511979475e-01,9.99412442887458452e-01,9.99412442887458230e-01,1.48141880823894370e-15
1,1,1.89998649847765151e+01,4.87572778386218264e-01,1.95029111354487306e+01,7.80116445417949194e+02,9.99981165247648796e-01,1.31126169670154108e-06,1.31126169670154087e-06,1.87549278129596823e-15
2,2,1.89992358810293567e+01,4.87556634384029797e-01,1.95022653753611905e+01,7.80090615014447621e+02,9.99953915399253934e-01,8.15943672609659182e-07,8.15943672609658970e-07,1.85735550434483513e-15
3,3,1.89978670116762380e+01,4.87521506585264774e-01,1.95008602634105905e+01,7.80034410536423593e+02,9.99967098053373915e-01,1.31159618248385750e-07,1.31159618248385723e-07,1.62684971440928799e-15
4,4,1.89960595283348752e+01,4.87475123114890552e-01,1.94990049245956207e+01,7.79960196983824858e+02,9.99925633609826003e-01,4.54079382565447837e-07,4.54079382565447731e-07,2.20447158600611104e-15
5,5,1.89931700621972972e+01,4.87400973902047174e-01,1.94960389560818861e+01,7.79841558243275472e+02,9.99940623714967725e-01,1.04484037462599262e-07,1.04484037462599235e-07,1.42544944703563646e-15
6,6,1.89860994863183130e+01,4.87219529437632859e-01,1.94887811775053130e+01,7.79551247100212549e+02,9.99924359135507812e-01,9.06166467492861277e-07,9.06166467492861065e-07,2.21998410668835194e-15
7,7,1.89794958828018387e+01,4.87050068374805967e-01,1.94820027349922391e+01,7.79280109399689536e+02,9.99993740988123103e-01,6.21321433439649584e-08,6.21321433439649451e-08,1.23580928103255699e-15
8,8,1.89721423228927186e+01,4.86861362000376885e-01,1.94744544800150763e+01,7.78978179200602995e+02,9.99989601019439456e-01,2.11432985029394150e-06,2.11432985029394107e-06,1.43284477764016378e-15
9,9,1.89705726929959866e+01,4.86821082303105279e-01,1.94728432921242103e+01,7.78913731684968411e+02,9.99949859639845617e-01,1.91827282292484119e-06,1.91827282292484076e-06,2.35351138328198875e-15
10,10,1.89620733480655019e+01,4.86602972899404795e-01,1.94641189159761936e+01,7.78564756639047687e+02,9.99904055658495716e-01,6.56858236816885695e-07,6.56858236816885589e-07,1.65034254639851238e-15
11,11,1.89549664293583930e+01,4.86420595808695677e-01,1.94568238323478262e+01,7.78272953293913133e+02,9.99936400483828702e-01,2.28496680153099171e-06,2.28496680153099129e-06,1.85058478920656224e-15
12,12,1.89483510949206817e+01,4.86250833708052665e-01,1.94500333483221084e+01,7.78001333932884222e+02,9.99992104532118509e-01,1.07013470168968696e-06,1.07013470168968675e-06,3.15137403444389983e-15
13,13,1.89404318566328946e+01,4.86047610947376585e-01,1.94419044378950616e+01,7.77676177515802578e+02,9.99899183246793055e-01,1.52396730238510556e-06,1.52396730238510513e-06,1.34293232349368498e-15
14,14,1.89131831786954905e+01,4.85348357893739812e-01,1.94139343157495929e+01,7.76557372629983661e+02,9.99958958956525534e-01,7.01559328902149845e-07,7.01559328902149739e-07,1.35824164824164054e-15
15,15,1.89073971005519326e+01,4.85199876091438886e-01,1.94079950436575572e+01,7.76319801746302232e+02,9.99976935579609871e-01,1.23574137429287560e-07,1.23574137429287533e-07,1.78284030657101841e-15
16,16,1.88993597531194268e+01,4.84993622424812199e-01,1.93997448969924875e+01,7.75989795879699500e+02,9.99964201686514120e-01,1.04186684847212820e-07,1.04186684847212793e-07,1.63545775378547839e-15
17,17,1.88772118519335699e+01,4.84425265032522090e-01,1.93770106013008849e+01,7.75080424052035369e+02,9.99954753883244729e-01,1.92456577192866934e-06,1.92456577192866892e-06,1.74930393404299332e-15
18,18,1.88733695814622067e+01,4.84326665042967675e-01,1.93730666017187083e+01,7.74922664068748304e+02,9.99969127217802956e-01,4.31625066950278114e-07,4.31625066950278008e-07,1.98602072610437267e-15
19,19,1.88601761313181981e+01,4.83988095945325769e-01,1.93595238378130290e+01,7.74380953512521273e+02,9.99933292052414102e-01,1.57893455582647765e-07,1.57893455582647739e-07,1.73549675803624525e-15
20,20,1.88209380676129747e+01,4.82981172382733082e-01,1.93192468953093233e+01,7.72769875812372902e+02,9.99911929629932916e-01,3.84699782720836802e-06,3.84699782720836717e-06,2.22989914505564187e-15
21,21,1.88017931572162240e+01,4.82489877462396632e-01,1.92995950984958640e+01,7.71983803939834615e+02,9.99893115056323167e-01,4.72440382882705869e-07,4.72440382882705763e-07,1.27177998326457023e-15
22,22,1.87843674140078676e+01,4.82042699651483220e-01,1.92817079860593275e+01,7.71268319442373127e+02,9.99981267367033411e-01,1.42054611889306326e-06,1.42054611889306305e-06,1.65151836064186768e-15
23,23,1.87634843373438933e+01,4.81506800069119612e-01,1.92602720027647862e+01,7.70410880110591393e+02,9.99993328095875933e-01,3.77101631665771439e-07,3.77101631665771333e-07,2.40215024751143390e-15
24,24,1.87252454152534256e+01,4.80525516386257567e-01,1.92210206554503031e+01,7.68840826218012126e+02,9.99978591534570360e-01,2.56615658424916887e-06,2.56615658424916845e-06,1.51236310737958435e-15
