j,branch_id,sigma,sigma_over_sigma1,N_sigma_over_sigma1,N2_sigma_over_sigma1,delta,E_j,occupation_fraction,solver_residual
0,0,3.90000000000000355e+01,1.00000000000000000e+00,4.00000000000000000e+01,1.60000000000000000e+03,4.51125069153853531e-01,1.00000000000000044e+00,9.99999999999999556e-01,1.24490347739937856e-15
1,2,1.89999721205810701e+01,4.87178772322591103e-01,1.94871508929036423e+01,7.79486035716145807e+02,9.99966111009406022e-01,1.24799660128958981e-18,1.24799660128958866e-18,1.53894350406041645e-15
2,41,1.89990902689313224e+01,4.87156160741828326e-01,1.94862464296731339e+01,7.79449857186925328e+02,9.99343395464313056e-01,2.98173817044187799e-19,2.98173817044187510e-19,1.50426785715233172e-15
3,3,1.89970611630600708e+01,4.87104132386155242e-01,1.94841652954462106e+01,7.79366611817848366e+02,9.99610740675528575e-01,3.58627245054052193e-19,3.58627245054051856e-19,1.46873082979018839e-15
4,5,1.89952579120420282e+01,4.87057895180564360e-01,1.94823158072225731e+01,7.79292632288902951e+02,9.99563585444310232e-01,4.14362335793626608e-18,4.14362335793626223e-18,1.28052782989190448e-15
5,4,1.89919663091124811e+01,4.86973495105447796e-01,1.94789398042179123e+01,7.79157592168716519e+02,9.96239750653767575e-01,1.69943642287177496e-18,1.69943642287177342e-18,1.31727528975061803e-15
6,7,1.89897296866279639e+01,4.86916145810972978e-01,1.94766458324389191e+01,7.79065833297556765e+02,9.99537555663366328e-01,3.87352947558872440e-18,3.87352947558872132e-18,1.11832353446924684e-15
7,6,1.89849662340808543e+01,4.86794006002072732e-01,1.94717602400829080e+01,7.78870409603316375e+02,9.99747964983135562e-01,4.68650802058996432e-19,4.68650802058996047e-19,1.53685352110496247e-15
8,9,1.89812793948615202e+01,4.86699471663115446e-01,1.94679788665246178e+01,7.78719154660984714e+02,9.99732964887933839e-01,2.94420089091938722e-19,2.94420089091938482e-19,1.32488292304665123e-15
9,8,1.89761319054702717e+01,4.86567484755647539e-01,1.94626993902259002e+01,7.78507975609036066e+02,9.99128568811741280e-01,4.37161096623821105e-20,4.37161096623820744e-20,1.57364177811576879e-15
10,10,1.89676540739639314e+01,4.86350104460613164e-01,1.94540041784245261e+01,7.78160167136981045e+02,9.99558773046983373e-01,3.66325301312642072e-18,3.66325301312641764e-18,1.41666982280963169e-15
11,11,1.89657115426420368e+01,4.86300295965179985e-01,1.94520118386071985e+01,7.78080473544287997e+02,9.98210645952722575e-01,8.26856659714732785e-18,8.26856659714732014e-18,1.79153548084463568e-15
12,13,1.89592739414604488e+01,4.86135229268216174e-01,1.94454091707286452e+01,7.77816366829145863e+02,9.98961713068608259e-01,5.68519511871755746e-19,5.68519511871755264e-19,1.21025642256144095e-15
13,14,1.89432572696141079e+01,4.85724545374720262e-01,1.94289818149888092e+01,7.77159272599552423e+02,9.99454278811086616e-01,1.37467617660452634e-18,1.37467617660452518e-18,1.42937543816227180e-15
14,12,1.89252504953815226e+01,4.85262833214910372e-01,1.94105133285964158e+01,7.76420533143856574e+02,9.99851047771495249e-01,4.21207444785312046e-18,4.21207444785311661e-18,1.64913369554942068e-15
15,40,1.89058221562221789e+01,4.84764670672363118e-01,1.93905868268945234e+01,7.75623473075781021e+02,9.99710031814253219e-01,6.21480475476852651e-19,6.21480475476852073e-19,1.12477600895062373e-15
16,15,1.89011710472453665e+01,4.84645411467829468e-01,1.93858164587131796e+01,7.75432658348527184e+02,9.99937017255292049e-01,6.77377870796339896e-19,6.77377870796339318e-19,1.49308640349397147e-15
17,16,1.88897223993101164e+01,4.84351856392566671e-01,1.93740742557026664e+01,7.74962970228106656e+02,9.98935947295746973e-01,7.94832761090270174e-19,7.94832761090269500e-19,1.39140240260560190e-15
18,17,1.88730090965481025e+01,4.83923310167899634e-01,1.93569324067159840e+01,7.74277296268639361e+02,9.99844706605037881e-01,1.25495965465951290e-18,1.25495965465951175e-18,1.26462728389628331e-15
19,20,1.88440830135158599e+01,4.83181615731175462e-01,1.93272646292470185e+01,7.73090585169880796e+02,9.98889234811068394e-01,2.31389490760036569e-18,2.31389490760036376e-18,1.72896784050264576e-15
20,22,1.88237328376843216e+01,4.82659816350879622e-01,1.93063926540351858e+01,7.72255706161407375e+02,9.98175643418108938e-01,4.32792882095083383e-19,4.32792882095082998e-19,1.62212590912036718e-15
21,19,1.88131071380131871e+01,4.82387362513158224e-01,1.92954945005263276e+01,7.71819780021053134e+02,9.97742626869745908e-01,8.47951448023653069e-19,8.47951448023652298e-19,1.41727427869733158e-15
22,21,1.88003562402138975e+01,4.82060416415740545e-01,1.92824166566296213e+01,7.71296666265184854e+02,9.99112588311885985e-01,5.03849141816751179e-19,5.03849141816750697e-19,1.38084263860236773e-15
23,26,1.87756365638300942e+01,4.81426578559745577e-01,1.92570631423898249e+01,7.70282525695592881e+02,9.99841860862433318e-01,7.72647058108595388e-20,7.72647058108594666e-20,1.39198416951524540e-15
24,24,1.87652474003695744e+01,4.81160189753065570e-01,1.92464075901226224e+01,7.69856303604904951e+02,9.98513590346728264e-01,8.11843251897244431e-19,8.11843251897243757e-19,1.40154099999734756e-15
25,23,1.87335830928781775e+01,4.80348284432773331e-01,1.92139313773109350e+01,7.68557255092437345e+02,9.98624168403465351e-01,1.40403005400149772e-18,1.40403005400149656e-18,1.47266118510747237e-15
26,25,1.86931982126749787e+01,4.79312774683973375e-01,1.91725109873589332e+01,7.66900439494357443e+02,9.98484365947085895e-01,1.18299910199103920e-19,1.18299910199103824e-19,1.47105123038996164e-15
27,27,1.86595578590180722e+01,4.78450201513283491e-01,1.91380080605313410e+01,7.65520322421253582e+02,9.99835385534252885e-01,2.24541269695658746e-18,2.24541269695658554e-18,1.46324266972921935e-15
28,28,1.86309709800365262e+01,4.77717204616320723e-01,1.91086881846528271e+01,7.64347527386113143e+02,9.99728719198782256e-01,1.98360703723195032e-19,1.98360703723194863e-19,2.05165952712789468e-15
29,29,1.85671625191805489e+01,4.76081090235398241e-01,1.90432436094159314e+01,7.61729744376637200e+02,9.99599379112990016e-01,3.11536639211331535e-21,3.11536639211331271e-21,1.73289791547198948e-15
30,30,1.85220679300095021e+01,4.74924818718191921e-01,1.89969927487276777e+01,7.59879709949107109e+02,9.99211624639982254e-01,1.46260613817017487e-19,1.46260613817017366e-19,1.76806866169340865e-15
31,31,1.85120182669549465e+01,4.74667135050126421e-01,1.89866854020050582e+01,7.59467416080202270e+02,9.98728899195221675e-01,3.92908513491549085e-19,3.92908513491548748e-19,1.51826885376821709e-15
32,33,1.84533624601951836e+01,4.73163140005004257e-01,1.89265256002001721e+01,7.57061024008006825e+02,9.99169967934294023e-01,5.59801464991457391e-19,5.59801464991456910e-19,1.37129925350435912e-15
33,32,1.83920902279858964e+01,4.71592057127843078e-01,1.88636822851137218e+01,7.54547291404548901e+02,9.99507989915497719e-01,2.52426733767949311e-19,2.52426733767949070e-19,1.23855626074396884e-15
34,34,1.83308503620237531e+01,4.70021804154454770e-01,1.88008721661781912e+01,7.52034886647127678e+02,9.97972297461985902e-01,2.41211018159655901e-20,2.41211018159655690e-20,1.49684320467803579e-15
35,36,1.83178308748561278e+01,4.69687971150156702e-01,1.87875188460062681e+01,7.51500753840250695e+02,9.99340026839239615e-01,1.12180705601126506e-19,1.12180705601126410e-19,1.92030668122656161e-15
36,35,1.82679133297441965e+01,4.68408034096004622e-01,1.87363213638401831e+01,7.49452854553607381e+02,9.99658317127609775e-01,1.99465206976152609e-19,1.99465206976152440e-19,2.19885281675038385e-15
37,38,1.82428853915645632e+01,4.67766292091398639e-01,1.87106516836559464e+01,7.48426067346237801e+02,9.98612334160959070e-01,2.72447885902483552e-19,2.72447885902483312e-19,1.40039629306700276e-15
38,37,1.81700138498652315e+01,4.65897791022184982e-01,1.86359116408874002e+01,7.45436465635496006e+02,9.99469218012601579e-01,3.73662037618955336e-20,3.73662037618954975e-20,1.11162439364540918e-15
39,39,1.80248988383428213e+01,4.62176893290841162e-01,1.84870757316336451e+01,7.39483029265345863e+02,9.98324691335810588e-01,9.75840137496486046e-20,9.75840137496485204e-20,9.71139212713122195e-16
