j,branch_id,sigma,sigma_over_sigma1,N_sigma_over_sigma1,N2_sigma_over_sigma1,delta,E_j,occupation_fraction,solver_residual
19,19,1.88533723473356893e+01,4.83779614561747506e-01,1.93511845824699016e+01,7.74047383298796035e+02,9.99944678143446120e-01,2.62190658721654494e-07,2.62190658721654547e-07,1.46718031512999585e-15
20,20,1.88113316333364686e+01,4.82700845202094053e-01,1.93080338080837635e+01,7.72321352323350538e+02,9.99761880266886394e-01,3.61573318319166381e-06,3.61573318319166465e-06,1.50004358616078058e-15
21,21,1.88007534994115701e+01,4.82429409118475150e-01,1.92971763647390055e+01,7.71887054589560194e+02,9.99974538608806918e-01,1.12847605890073531e-06,1.12847605890073552e-06,1.47854585449238959e-15
22,22,1.87838832898360373e+01,4.81996517679444014e-01,1.92798607071777610e+01,7.71194428287110441e+02,9.99962448174827268e-01,1.86117223210174891e-06,1.86117223210174934e-06,2.31571225133875090e-15
23,23,1.87750943182473549e+01,4.81770991698774187e-01,1.92708396679509661e+01,7.70833586718038646e+02,9.99995978154555210e-01,8.03690788069025739e-07,8.03690788069025951e-07,1.60583902754308369e-15
24,24,1.87305040480087470e+01,4.80626800444720559e-01,1.92250720177888219e+01,7.69002880711552848e+02,9.99979266380631504e-01,4.18461712180254200e-06,4.18461712180254284e-06,1.39227486488489469e-15
25,26,1.86876304022852757e+01,4.79526657965123837e-01,1.91810663186049553e+01,7.67242652744198153e+02,9.99986344947206063e-01,2.95708326918738085e-06,2.95708326918738169e-06,1.05552306527879082e-15
26,25,1.86681753405532262e+01,4.79027438934564787e-01,1.91610975573825897e+01,7.66443902295303701e+02,9.99987269545660418e-01,2.61427200844283370e-06,2.61427200844283412e-06,1.20504934214415357e-15
27,28,1.86488384656911599e+01,4.78531252592129253e-01,1.91412501036851701e+01,7.65650004147406776e+02,9.99968838556867134e-01,3.24697258559651869e-06,3.24697258559651954e-06,1.53415079266505114e-15
28,27,1.86127859683377999e+01,4.77606141532300132e-01,1.91042456612920049e+01,7.64169826451680251e+02,9.99930345529815745e-01,2.28859701861556508e-06,2.28859701861556550e-06,1.39939174965334605e-15
29,29,1.85469389328004581e+01,4.75916499335380883e-01,1.90366599734152366e+01,7.61466398936609380e+02,9.99971412625963674e-01,2.56290658392369950e-06,2.56290658392369992e-06,1.12565084657539044e-15
30,30,1.85206476013801371e+01,4.75241860870361910e-01,1.90096744348144782e+01,7.60386977392579070e+02,9.99806330076693173e-01,9.47293017385267296e-06,9.47293017385267466e-06,1.79437871156810167e-15
31,31,1.84622934250441624e+01,4.73744486267251408e-01,1.89497794506900554e+01,7.57991178027602245e+02,9.99973489785238479e-01,1.60433547686609519e-06,1.60433547686609561e-06,1.68864513625287384e-15
32,32,1.84180729285773523e+01,4.72609783448979970e-01,1.89043913379591970e+01,7.56175653518367994e+02,9.99808742843785958e-01,1.57960979442606079e-06,1.57960979442606121e-06,1.55792033053283750e-15
33,33,1.84007935639597058e+01,4.72166393046425381e-01,1.88866557218570144e+01,7.55466228874280660e+02,9.99930793953308417e-01,2.36913730702122815e-07,2.36913730702122868e-07,1.93738353540133150e-15
34,34,1.83137430308870321e+01,4.69932666763326512e-01,1.87973066705330609e+01,7.51892266821322437e+02,9.99938351632577160e-01,7.40604602148111882e-07,7.40604602148112094e-07,1.22351682238162293e-15
35,36,1.82765950101556989e+01,4.68979444452747418e-01,1.87591777781098976e+01,7.50367111124395819e+02,9.99841278298007285e-01,4.41704107690730659e-07,4.41704107690730765e-07,1.47170758381675070e-15
36,35,1.82514209777918524e+01,4.68333476004791305e-01,1.87333390401916517e+01,7.49333561607666070e+02,9.99900112449560230e-01,4.41646788762726947e-06,4.41646788762727031e-06,2.09279752951194799e-15
37,37,1.82203549822257713e+01,4.67536319130994138e-01,1.87014527652397646e+01,7.48058110609590585e+02,9.99949728573939045e-01,2.43245328135832950e-06,2.43245328135832992e-06,1.55853334459330542e-15
38,38,1.81634135926873483e+01,4.66075196792984370e-01,1.86430078717193766e+01,7.45720314868774949e+02,9.99944155318615580e-01,6.46366987944538448e-06,6.46366987944538618e-06,1.83353596820646650e-15
39,39,1.80536652050892492e+01,4.63259041058464827e-01,1.85303616423385940e+01,7.41214465693543730e+02,9.99877525065897887e-01,4.03158110752456310e-06,4.03158110752456395e-06,1.55777879933136452e-15
