j,branch_id,sigma,sigma_over_sigma1,N_sigma_over_sigma1,N2_sigma_over_sigma1,delta,E_j,occupation_fraction,solver_residual
0,0,3.89709937745409647e+01,1.00000000000000000e+00,4.00000000000000000e+01,1.60000000000000000e+03,2.11300059320763706e-01,9.99420184733231021e-01,9.99420184733231243e-01,3.26995186082642673e-15
1,1,1.89996335004152677e+01,4.87532691887046010e-01,1.95013076754818400e+01,7.80052307019273599e+02,9.99963469922630632e-01,2.40636028110128118e-06,2.40636028110128161e-06,1.41246916863604944e-15
2,2,1.89989236520446845e+01,4.87514477099537880e-01,1.95005790839815134e+01,7.80023163359260593e+02,9.99944367706342985e-01,1.80113017568875455e-07,1.80113017568875508e-07,1.52721205142718037e-15
3,3,1.89972825377947494e+01,4.87472365926817253e-01,1.94988946370726914e+01,7.79955785482907572e+02,9.99969150164640608e-01,1.23616214250716719e-07,1.23616214250716745e-07,1.23846977045570052e-15
4,4,1.89945977032071625e+01,4.87403472775076729e-01,1.94961389110030687e+01,7.79845556440122778e+02,9.99898988384621989e-01,1.00172734519052494e-07,1.00172734519052520e-07,1.74441007935527903e-15
5,5,1.89938530956161387e+01,4.87384366062137087e-01,1.94953746424854835e+01,7.79814985699419367e+02,9.99962223066469647e-01,1.78910811620540078e-07,1.78910811620540131e-07,1.33344989543924902e-15
6,6,1.89848117806234100e+01,4.87152364921877856e-01,1.94860945968751125e+01,7.79443783875004556e+02,9.99885742472297112e-01,1.79193594542398954e-06,1.79193594542398996e-06,1.23364669858917595e-15
7,7,1.89796764138881784e+01,4.87020590844856827e-01,1.94808236337942731e+01,7.79232945351770923e+02,9.99964907401619585e-01,1.21192077608052401e-07,1.21192077608052427e-07,1.31576997102228750e-15
8,8,1.89755028354930992e+01,4.86913496362760101e-01,1.94765398545104027e+01,7.79061594180416137e+02,9.99975483186144376e-01,5.50121764519531426e-06,5.50121764519531511e-06,1.43242418506606291e-15
9,9,1.89709905211889236e+01,4.86797709879862595e-01,1.94719083951945038e+01,7.78876335807780151e+02,9.99986207513495984e-01,1.13611952435809234e-07,1.13611952435809261e-07,1.35985419327220907e-15
10,10,1.89640199029149841e+01,4.86618843045871496e-01,1.94647537218348603e+01,7.78590148873394355e+02,9.99861076865059428e-01,2.05239186716442505e-07,2.05239186716442558e-07,1.18867068549701109e-15
11,11,1.89526065469667984e+01,4.86325975072983363e-01,1.94530390029193327e+01,7.78121560116773367e+02,9.99870106885444532e-01,3.74370051798716726e-06,3.74370051798716810e-06,1.53075536748638080e-15
12,12,1.89436523256156875e+01,4.86096208765177229e-01,1.94438483506070909e+01,7.77753934024283581e+02,9.99983394062653574e-01,4.99277450516525108e-07,4.99277450516525213e-07,1.43703028367001991e-15
13,13,1.89369407838819441e+01,4.85923989863791983e-01,1.94369595945516807e+01,7.77478383782067226e+02,9.99951024443999859e-01,2.06871258631393615e-06,2.06871258631393657e-06,1.18414603519965088e-15
14,14,1.89240264547866772e+01,4.85592606754344458e-01,1.94237042701737792e+01,7.76948170806951111e+02,9.99948694075712297e-01,1.30333955701041840e-06,1.30333955701041862e-06,1.97281883927744738e-15
15,15,1.89170737185402373e+01,4.85414198775151962e-01,1.94165679510060798e+01,7.76662718040243135e+02,9.99923276470413569e-01,3.44314511220635615e-07,3.44314511220635668e-07,1.74904581940052296e-15
16,16,1.89042885279101469e+01,4.85086129372968966e-01,1.94034451749187582e+01,7.76137806996750328e+02,9.99955390582179526e-01,1.73355175497852541e-07,1.73355175497852567e-07,1.55299542976201193e-15
17,17,1.88815060557958745e+01,4.84501528624882438e-01,1.93800611449952989e+01,7.75202445799811926e+02,9.99953802173351947e-01,2.67854571910685765e-06,2.67854571910685807e-06,1.28619398196918040e-15
18,18,1.88687085096553133e+01,4.84173142178937588e-01,1.93669256871575044e+01,7.74677027486300176e+02,9.99896366176335261e-01,6.37719372561156172e-07,6.37719372561156277e-07,1.42931824737061541e-15
