j,branch_id,sigma,sigma_over_sigma1,N_sigma_over_sigma1,N2_sigma_over_sigma1,delta,E_j,occupation_fraction,solver_residual
0,0,3.89046629980524443e+01,1.00000000000000000e+00,4.00000000000000000e+01,1.60000000000000000e+03,0.00000000000000000e+00,1.00000000000000422e+00,1.00000000000000377e+00,9.59632675030108146e-16
1,1,1.89988486573636202e+01,4.88343740654293701e-01,1.95337496261717476e+01,7.81349985046869961e+02,1.00000000000000000e+00,2.45177006246062908e-31,2.45177006246062821e-31,1.55794824039407815e-15
2,2,1.89983063567652906e+01,4.88329801435790356e-01,1.95331920574316129e+01,7.81327682297264573e+02,1.00000000000000000e+00,2.53026569607718373e-32,2.53026569607718263e-32,2.02727261055123887e-15
3,3,1.89955489399321245e+01,4.88258925180332148e-01,1.95303570072132864e+01,7.81214280288531427e+02,1.00000000000000000e+00,5.88198565241859512e-32,5.88198565241859293e-32,2.39636269100991636e-15
4,4,1.89892049708844866e+01,4.88095860689889027e-01,1.95238344275955598e+01,7.80953377103822390e+02,1.00000000000000000e+00,3.48109956657031565e-32,3.48109956657031401e-32,1.62584088550917032e-15
5,5,1.89870587464275502e+01,4.88040694437528899e-01,1.95216277775011555e+01,7.80865111100046192e+02,1.00000000000000000e+00,7.71365035382469010e-32,7.71365035382468681e-32,1.37628100987102515e-15
6,6,1.89829504791079451e+01,4.87935096110669986e-01,1.95174038444267985e+01,7.80696153777072027e+02,1.00000000000000000e+00,9.29923236585224411e-32,9.29923236585223974e-32,1.01740366848537706e-15
7,7,1.89822185365402021e+01,4.87916282361588516e-01,1.95166512944635393e+01,7.80666051778541600e+02,1.00000000000000000e+00,2.65958888257724851e-32,2.65958888257724742e-32,1.43164359847880054e-15
8,8,1.89695961476963255e+01,4.87591838249464782e-01,1.95036735299785917e+01,7.80146941199143612e+02,1.00000000000000000e+00,1.91438188788475770e-31,1.91438188788475682e-31,1.44755383029137596e-15
9,9,1.89607336177271684e+01,4.87364037022408769e-01,1.94945614808963512e+01,7.79782459235854049e+02,1.00000000000000000e+00,1.10676648751389066e-31,1.10676648751389022e-31,1.90715598826272668e-15
10,10,1.89560637679548272e+01,4.87244003858965768e-01,1.94897601543586312e+01,7.79590406174345276e+02,1.00000000000000000e+00,2.19869353434300076e-31,2.19869353434299989e-31,1.71486852886977992e-15
11,11,1.89470764470114474e+01,4.87012995022214512e-01,1.94805198008885796e+01,7.79220792035543241e+02,1.00000000000000000e+00,4.23193012623714028e-32,4.23193012623713864e-32,7.83311667960791106e-16
12,12,1.89455495154251246e+01,4.86973746986923750e-01,1.94789498794769500e+01,7.79157995179077943e+02,1.00000000000000000e+00,1.24059440346517661e-32,1.24059440346517607e-32,1.59242653538390148e-15
13,13,1.89318098431181028e+01,4.86620584377400300e-01,1.94648233750960102e+01,7.78592935003840466e+02,1.00000000000000000e+00,2.35020629260466770e-31,2.35020629260466683e-31,1.80524886062409479e-15
14,14,1.89275406456332860e+01,4.86510849524150690e-01,1.94604339809660267e+01,7.78417359238641097e+02,1.00000000000000000e+00,4.20254464825754441e-31,4.20254464825754266e-31,2.04564471387285403e-15
15,15,1.89166372221160053e+01,4.86230589455638407e-01,1.94492235782255349e+01,7.77968943129021454e+02,1.00000000000000000e+00,2.36011429938887860e-31,2.36011429938887772e-31,3.41106982228586692e-15
