j,branch_id,sigma,sigma_over_sigma1,N_sigma_over_sigma1,N2_sigma_over_sigma1,delta,E_j,occupation_fraction,solver_residual
0,0,3.89996761282076250e+01,1.00000000000000000e+00,4.00000000000000000e+01,1.60000000000000000e+03,4.47289925648834019e-01,9.99993949593414810e-01,9.99993949593415477e-01,1.97557435487654157e-15
1,2,1.89999631610198314e+01,4.87182588351741941e-01,1.94873035340696781e+01,7.79492141362787152e+02,9.99612316187457273e-01,1.25477687817596418e-08,1.25477687817596501e-08,1.26001058978248268e-15
2,41,1.89992492159533874e+01,4.87164281915962893e-01,1.94865712766385144e+01,7.79462851065540576e+02,9.99514455054424045e-01,2.72060006408131592e-09,2.72060006408131757e-09,2.18129070969877451e-15
3,3,1.89976510974200536e+01,4.87123304177376537e-01,1.94849321670950602e+01,7.79397286683802463e+02,9.99784779014912806e-01,4.72387544344374974e-09,4.72387544344375305e-09,1.54334179557673189e-15
4,5,1.89955421055869280e+01,4.87069227014628015e-01,1.94827690805851219e+01,7.79310763223404820e+02,9.99612808963178723e-01,2.20231509159783781e-08,2.20231509159783913e-08,1.96450097340679097e-15
5,4,1.89912436597076670e+01,4.86959009538330767e-01,1.94783603815332320e+01,7.79134415261329195e+02,9.97948352457895260e-01,2.66284404607852615e-08,2.66284404607852780e-08,1.26135435190550267e-15
6,7,1.89903803947694101e+01,4.86936874356094396e-01,1.94774749742437763e+01,7.79098998969751051e+02,9.99640808486389254e-01,9.47042271250884245e-08,9.47042271250884907e-08,1.22408472045588933e-15
7,6,1.89854642201477439e+01,4.86810817549737707e-01,1.94724327019895078e+01,7.78897308079580284e+02,9.99671078998685125e-01,7.55468951592398228e-08,7.55468951592398757e-08,1.38522925847661627e-15
8,9,1.89771162312203678e+01,4.86596764774018975e-01,1.94638705909607594e+01,7.78554823638430321e+02,9.99187956637366370e-01,2.87705224212662841e-08,2.87705224212663040e-08,1.27215403860443153e-15
9,8,1.89754685046220715e+01,4.86554515023203571e-01,1.94621806009281428e+01,7.78487224037125770e+02,9.99947599659042230e-01,4.89511468906230358e-09,4.89511468906230689e-09,2.20757553834230336e-15
10,10,1.89669539703794818e+01,4.86336191819323693e-01,1.94534476727729491e+01,7.78137906910917877e+02,9.99457988478083093e-01,8.92750916133747757e-08,8.92750916133748287e-08,2.94840766449922296e-15
11,11,1.89627722690481448e+01,4.86228967817832203e-01,1.94491587127132881e+01,7.77966348508531496e+02,9.98744990048184622e-01,3.09611918152354295e-08,3.09611918152354493e-08,1.33252929299604255e-15
12,13,1.89563230389301722e+01,4.86063601569744153e-01,1.94425440627897643e+01,7.77701762511590687e+02,9.98033048026275571e-01,5.79793265710009742e-09,5.79793265710010155e-09,1.80100669004125334e-15
13,14,1.89381383659173252e+01,4.85597324030590527e-01,1.94238929612236220e+01,7.76955718448944822e+02,9.98487288926419247e-01,2.26656374830298086e-08,2.26656374830298251e-08,1.45134262440195918e-15
14,12,1.89307191278108746e+01,4.85407085576249009e-01,1.94162834230499612e+01,7.76651336921998450e+02,9.99826951677631803e-01,8.25578108561428820e-08,8.25578108561429350e-08,1.81966715407596498e-15
15,40,1.89126400850910805e+01,4.84943516528640484e-01,1.93977406611456189e+01,7.75909626445824756e+02,9.99786281969156643e-01,4.80100681559540647e-08,4.80100681559540978e-08,1.41161433502359373e-15
16,15,1.89025669339546880e+01,4.84685228457137574e-01,1.93874091382855021e+01,7.75496365531420111e+02,9.99095911587659868e-01,2.89587392521344256e-08,2.89587392521344455e-08,1.43235353658672158e-15
17,16,1.88869771674308637e+01,4.84285487534352133e-01,1.93714195013740849e+01,7.74856780054963451e+02,9.99071039831403884e-01,4.18348154220671483e-08,4.18348154220671748e-08,1.60581427389938459e-15
18,17,1.88802471736147126e+01,4.84112922157295456e-01,1.93645168862918169e+01,7.74580675451672732e+02,9.99750136537067235e-01,7.77805021616507788e-08,7.77805021616508317e-08,1.43840407760275418e-15
19,20,1.88431053436925779e+01,4.83160559635103404e-01,1.93264223854041362e+01,7.73056895416165389e+02,9.98855410836661295e-01,1.46151825922250927e-07,1.46151825922251033e-07,1.52767289691343153e-15
20,22,1.88159280187588074e+01,4.82463699362612186e-01,1.92985479745044870e+01,7.71941918980179480e+02,9.97780643453012206e-01,5.25910573738671800e-08,5.25910573738672131e-08,1.64484973180488175e-15
21,19,1.88045912341288357e+01,4.82173010163227500e-01,1.92869204065290987e+01,7.71476816261164004e+02,9.99221508099232048e-01,1.10732179746016734e-08,1.10732179746016800e-08,1.32437086836074182e-15
22,21,1.88033285406697779e+01,4.82140633138995134e-01,1.92856253255598062e+01,7.71425013022392250e+02,9.99688702073381785e-01,6.45231230008491829e-09,6.45231230008492243e-09,1.66495973232827385e-15
