j,branch_id,sigma,sigma_over_sigma1,N_sigma_over_sigma1,N2_sigma_over_sigma1,delta,E_j,occupation_fraction,solver_residual
0,0,3.89821392183975135e+01,1.00000000000000000e+00,4.00000000000000000e+01,1.60000000000000000e+03,2.82695981943559549e-01,9.99426707555245875e-01,9.99426707555245875e-01,1.53095031496052392e-15
1,2,1.89995022207407409e+01,4.87389932971507567e-01,1.94955973188603018e+01,7.79823892754412100e+02,9.99971717147978612e-01,7.87017955378018373e-07,7.87017955378018373e-07,1.05070829091897777e-15
2,1,1.89992935652407411e+01,4.87384580379161880e-01,1.94953832151664770e+01,7.79815328606659023e+02,9.99876369186058156e-01,2.12772674300251495e-06,2.12772674300251495e-06,1.46460058556632844e-15
3,3,1.89977374147553171e+01,4.87344660802744967e-01,1.94937864321098004e+01,7.79751457284391904e+02,9.99515204908071442e-01,1.26571161964040838e-07,1.26571161964040838e-07,1.82430594968042317e-15
4,4,1.89965850454762872e+01,4.87315099334284407e-01,1.94926039733713772e+01,7.79704158934855059e+02,9.99919969241979234e-01,4.61376528534894872e-07,4.61376528534894872e-07,9.63221750796666074e-16
5,5,1.89944612853102370e+01,4.87260618995117967e-01,1.94904247598047178e+01,7.79616990392188768e+02,9.99967087224964191e-01,5.22682403759710860e-06,5.22682403759710860e-06,1.74260758056683223e-15
6,6,1.89883339040747892e+01,4.87103434670237312e-01,1.94841373868094934e+01,7.79365495472379735e+02,9.99926804835043814e-01,4.67592471620568508e-07,4.67592471620568508e-07,1.90404496565665646e-15
7,7,1.89851666121043472e+01,4.87022184845729289e-01,1.94808873938291711e+01,7.79235495753166902e+02,9.99862032077118212e-01,1.68354054141851311e-06,1.68354054141851311e-06,9.50078238040374818e-16
8,8,1.89817591916615207e+01,4.86934775059833846e-01,1.94773910023933539e+01,7.79095640095734097e+02,9.99967222545841139e-01,7.26631034811657974e-07,7.26631034811657974e-07,1.32941922053799422e-15
9,9,1.89748903866141099e+01,4.86758571157607567e-01,1.94703428463043018e+01,7.78813713852172100e+02,9.99965770914240326e-01,1.50244915976461932e-06,1.50244915976461932e-06,1.80740402831350473e-15
10,10,1.89689971309597958e+01,4.86607392803302841e-01,1.94642957121321132e+01,7.78571828485284527e+02,9.99984581858119337e-01,5.73457307086156300e-07,5.73457307086156300e-07,1.30440776145923178e-15
11,11,1.89671086241689792e+01,4.86558947365759331e-01,1.94623578946303724e+01,7.78494315785214894e+02,9.99988148019589795e-01,1.87903430491181705e-06,1.87903430491181705e-06,1.98865741795828670e-15
12,13,1.89548852666364205e+01,4.86245384339777709e-01,1.94498153735911075e+01,7.77992614943644298e+02,9.99883688382385616e-01,1.04047976767958365e-06,1.04047976767958365e-06,1.83808720225064537e-15
13,12,1.89399154105507108e+01,4.85861366007642514e-01,1.94344546403057024e+01,7.77378185612227981e+02,9.99855910182866681e-01,3.04113339995803293e-06,3.04113339995803293e-06,1.04206598258760668e-15
14,14,1.89380560502756197e+01,4.85813668259074294e-01,1.94325467303629722e+01,7.77301869214518888e+02,9.99907519229288222e-01,1.05401087675697942e-05,1.05401087675697942e-05,1.37812782967200995e-15
15,15,1.89263644224953929e+01,4.85513745576157285e-01,1.94205498230462901e+01,7.76821992921851688e+02,9.99694085688074496e-01,1.53403783905679905e-06,1.53403783905679905e-06,1.46475017967837446e-15
16,16,1.89173237115886934e+01,4.85281826264185978e-01,1.94112730505674378e+01,7.76450922022697569e+02,9.99869107387674871e-01,5.08917913462828947e-06,5.08917913462828947e-06,1.59298629196026349e-15
17,17,1.89029625626640119e+01,4.84913422959169227e-01,1.93965369183667704e+01,7.75861476734670759e+02,9.99589045546860344e-01,9.05084241132350097e-07,9.05084241132350097e-07,1.17313571325884430e-15
18,18,1.88740887343070796e+01,4.84172729171299665e-01,1.93669091668519862e+01,7.74676366674079418e+02,9.99825294466325509e-01,2.66315178912221468e-06,2.66315178912221468e-06,1.36340739830799776e-15
19,19,1.88425203060132205e+01,4.83362911420739727e-01,1.93345164568295900e+01,7.73380658273183599e+02,9.99714527781178974e-01,1.34944626419912353e-06,1.34944626419912353e-06,1.56646313841734115e-15
20,20,1.88281660878471122e+01,4.82994685908904930e-01,1.93197874363561972e+01,7.72791497454247860e+02,9.99921901877575459e-01,3.08023247286766266e-06,3.08023247286766266e-06,1.60754007527779566e-15
21,21,1.88165416416303017e+01,4.82696486619438425e-01,1.93078594647775361e+01,7.72314378591101445e+02,9.99786189282377391e-01,1.66446910355257523e-06,1.66446910355257523e-06,1.40867956949271345e-15
22,22,1.88025428741264022e+01,4.82337379403041944e-01,1.92934951761216773e+01,7.71739807044867121e+02,9.99976230110440234e-01,1.77870682573993357e-06,1.77870682573993357e-06,1.63694876580703698e-15
23,24,1.87525528150331766e+01,4.81054995724374213e-01,1.92421998289749681e+01,7.69687993158998779e+02,9.99886976667466953e-01,7.37092207977675226e-06,7.37092207977675226e-06,1.14415056304086607e-15
24,26,1.87317927206784951e+01,4.80522441719619053e-01,1.92208976687847617e+01,7.68835906751390439e+02,9.99873681792742719e-01,1.42863192264143210e-07,1.42863192264143210e-07,1.81297678259310365e-15
25,23,1.87062787105950257e+01,4.79867936589961408e-01,1.91947174635984581e+01,7.67788698543938267e+02,9.99741627740337924e-01,3.18271674226200168e-06,3.18271674226200168e-06,1.65429159644596194e-15
26,25,1.86935657707281493e+01,4.79541814419096102e-01,1.91816725767638445e+01,7.67266903070553781e+02,9.99637239953909629e-01,4.67155029119347421e-08,4.67155029119347421e-08,1.70095537029316870e-15
27,28,1.86646793935450539e+01,4.78800798719027476e-01,1.91520319487610990e+01,7.66081277950444019e+02,9.99810525463341593e-01,8.99585333815481862e-06,8.99585333815481862e-06,1.34667928185371876e-15
28,27,1.86069546348348815e+01,4.77319998540597812e-01,1.90927999416239125e+01,7.63711997664956471e+02,9.99878919010010025e-01,2.74095984387456132e-06,2.74095984387456132e-06,1.79423904387703630e-15
29,29,1.85494668201654775e+01,4.75845276634051628e-01,1.90338110653620660e+01,7.61352442614482584e+02,9.99828844054473476e-01,1.59894136332747873e-07,1.59894136332747873e-07,1.92264125695176000e-15
30,30,1.84888921241856714e+01,4.74291367659471330e-01,1.89716547063788532e+01,7.58866188255154157e+02,9.99729886113203903e-01,5.16711458349754642e-06,5.16711458349754642e-06,1.84781173292982982e-15
31,31,1.84685416756809531e+01,4.73769322207047483e-01,1.89507728882819002e+01,7.58030915531275923e+02,9.99925574819015450e-01,1.30545055107282823e-06,1.30545055107282823e-06,1.63958459926200176e-15
32,32,1.84357084739207053e+01,4.72927059508833292e-01,1.89170823803533317e+01,7.56683295214133295e+02,9.99849667444412948e-01,7.81090941368399794e-06,7.81090941368399794e-06,2.00520072729103291e-15
33,33,1.83980057945691868e+01,4.71959881203397325e-01,1.88783952481358916e+01,7.55135809925435751e+02,9.99848131717253286e-01,2.29800156032482867e-06,2.29800156032482867e-06,1.56313128624441525e-15
34,34,1.83504253534203130e+01,4.70739310908824649e-01,1.88295724363529864e+01,7.53182897454119484e+02,9.99825066740539836e-01,1.46495531478507678e-06,1.46495531478507678e-06,1.31587288916079211e-15
35,36,1.83255973204730864e+01,4.70102402995481894e-01,1.88040961198192775e+01,7.52163844792770988e+02,9.99861777511946270e-01,1.82473227176146180e-06,1.82473227176146180e-06,2.02650260243102005e-15
36,35,1.82369033359715935e+01,4.67827156272756228e-01,1.87130862509102478e+01,7.48523450036409940e+02,9.99505902778973998e-01,6.60943561109320443e-06,6.60943561109320443e-06,1.91548266601790709e-15
37,37,1.81789131834883051e+01,4.66339548007894289e-01,1.86535819203157729e+01,7.46143276812630916e+02,9.99830209338452458e-01,4.76073377111127197e-06,4.76073377111127197e-06,1.25872648199885135e-15
38,38,1.81095107552038179e+01,4.64559183213246629e-01,1.85823673285298661e+01,7.43294693141194557e+02,9.99755508414889582e-01,1.92225089886448482e-07,1.92225089886448482e-07,9.82807257937993709e-16
39,39,1.80392042672671771e+01,4.62755626780831597e-01,1.85102250712332648e+01,7.40409002849330591e+02,9.99155255245177010e-01,1.46254455362759038e-05,1.46254455362759038e-05,9.32641226659430131e-16
