scenario,stage,step,p_A,p_B,S,Q,C_A,C_B,D_A,D_B
metastable_d_selection,AB,0,0.51,0.48999999999999994,0.020000000000000073,1.0,nan,nan,nan,nan
metastable_d_selection,AB,1,0.5099980000666658,0.49000199993333415,0.019996000133331693,1.0,nan,nan,nan,nan
metastable_d_selection,AB,2,0.5099920010666097,0.49000799893339025,0.019984002133219436,1.0,nan,nan,nan,nan
metastable_d_selection,AB,3,0.509982005399352,0.49001799460064793,0.01996401079870408,1.0,nan,nan,nan,nan
metastable_d_selection,AB,4,0.5099680170630262,0.49003198293697375,0.019936034126052438,1.0000000000000002,nan,nan,nan,nan
metastable_d_selection,AB,5,0.5099500416527802,0.4900499583472197,0.019900083305560534,1.0000000000000002,nan,nan,nan,nan
metastable_d_selection,AB,6,0.5099280863585386,0.49007191364146135,0.019856172717077236,1.0000000000000002,nan,nan,nan,nan
metastable_d_selection,AB,7,0.5099021599621263,0.49009784003787366,0.019804319924252634,1.0000000000000002,nan,nan,nan,nan
metastable_d_selection,AB,8,0.5098722728337562,0.49012772716624387,0.01974454566751238,1.0,nan,nan,nan,nan
metastable_d_selection,AB,9,0.5098384369278812,0.4901615630721188,0.019676873855762445,1.0,nan,nan,nan,nan
metastable_d_selection,AB,10,0.5098006657784124,0.4901993342215876,0.019601331556824808,1.0,nan,nan,nan,nan
metastable_d_selection,AB,11,0.5097589744933062,0.4902410255066939,0.0195179489866123,1.0,nan,nan,nan,nan
metastable_d_selection,AB,12,0.5097133797485204,0.49028662025147957,0.019426759497040813,1.0000000000000002,nan,nan,nan,nan
metastable_d_selection,AB,13,0.5096638997813453,0.4903361002186548,0.019327799562690484,1.0,nan,nan,nan,nan
metastable_d_selection,AB,14,0.509610554383108,0.4903894456168921,0.01922110876621591,1.0000000000000002,nan,nan,nan,nan
metastable_d_selection,AB,15,0.5095533648912564,0.4904466351087437,0.019106729782512655,1.0000000000000002,nan,nan,nan,nan
metastable_d_selection,AB,16,0.5094923541808248,0.4905076458191752,0.018984708361649616,1.0000000000000002,nan,nan,nan,nan
metastable_d_selection,AB,17,0.5094275466552839,0.49057245334471605,0.01885509331056784,1.0,nan,nan,nan,nan
metastable_d_selection,AB,18,0.5093589682367798,0.4906410317632202,0.018717936473559627,1.0,nan,nan,nan,nan
metastable_d_selection,AB,19,0.5092866463557656,0.49071335364423446,0.01857329271153113,1.0,nan,nan,nan,nan
metastable_d_selection,AB,20,0.5092106099400293,0.49078939005997074,0.01842121988005857,1.0,nan,nan,nan,nan
metastable_d_selection,AB,21,0.5091308894031236,0.49086911059687643,0.01826177880624713,1.0000000000000002,nan,nan,nan,nan
metastable_d_selection,AB,22,0.5090475166321999,0.49095248336780006,0.018095033264399873,1.0000000000000002,nan,nan,nan,nan
metastable_d_selection,AB,23,0.5089605249752556,0.49103947502474443,0.017921049950511136,1.0,nan,nan,nan,nan
metastable_d_selection,AB,24,0.5088699492277933,0.4911300507722068,0.01773989845558649,1.0000000000000002,nan,nan,nan,nan
metastable_d_selection,AB,25,0.5087758256189041,0.4912241743810959,0.01755165123780822,1.0,nan,nan,nan,nan
metastable_d_selection,AB,26,0.5086781917967769,0.49132180820322313,0.017356383593553737,1.0,nan,nan,nan,nan
metastable_d_selection,AB,27,0.5085770868136387,0.4914229131863614,0.01715417362727728,1.0000000000000002,nan,nan,nan,nan
metastable_d_selection,AB,28,0.5084725511101345,0.4915274488898655,0.01694510222026896,1.0000000000000002,nan,nan,nan,nan
metastable_d_selection,AB,29,0.5083646264991523,0.4916353735008478,0.016729252998304467,1.0000000000000002,nan,nan,nan,nan
metastable_d_selection,AB,30,0.5082533561490971,0.49174664385090305,0.016506712298194004,1.0,nan,nan,nan,nan
metastable_d_selection,AB,31,0.5081387845666256,0.49186121543337435,0.01627756913325129,1.0000000000000002,nan,nan,nan,nan
metastable_d_selection,AB,32,0.5080209575788432,0.4919790424211568,0.016041915157686437,1.0,nan,nan,nan,nan
metastable_d_selection,AB,33,0.5078999223149739,0.49210007768502606,0.01579984462994788,1.0000000000000002,nan,nan,nan,nan
metastable_d_selection,AB,34,0.5077757271875095,0.4922242728124904,0.015551454375019091,1.0000000000000002,nan,nan,nan,nan
metastable_d_selection,AB,35,0.5076484218728452,0.4923515781271548,0.015296843745690403,1.0000000000000002,nan,nan,nan,nan
metastable_d_selection,AB,36,0.5075180572914093,0.49248194270859075,0.01503611458281856,1.0,nan,nan,nan,nan
metastable_d_selection,AB,37,0.5073846855872962,0.4926153144127038,0.014769371174592427,1.0000000000000002,nan,nan,nan,nan
metastable_d_selection,AB,38,0.5072483601074091,0.4927516398925908,0.014496720214818348,1.0000000000000002,nan,nan,nan,nan
metastable_d_selection,AB,39,0.5071091353801229,0.492890864619877,0.014218270760245899,1.0000000000000002,nan,nan,nan,nan
metastable_d_selection,AB,40,0.506967067093472,0.4930329329065281,0.013934134186943836,1.0000000000000004,nan,nan,nan,nan
metastable_d_selection,AB,41,0.5068222120728765,0.4931777879271236,0.013644424145752898,1.0000000000000002,nan,nan,nan,nan
metastable_d_selection,AB,42,0.5066746282584134,0.49332537174158664,0.013349256516826724,1.0000000000000002,nan,nan,nan,nan
metastable_d_selection,AB,43,0.5065243746816408,0.49347562531835915,0.013048749363281653,1.0000000000000002,nan,nan,nan,nan
