step,base_Hperp,treat_Hperp,base_Hperp_frac,treat_Hperp_frac,base_PR_M,treat_PR_M,base_amp_std,treat_amp_std
0,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,-2.220446049250313e-16,0.8711111111111114,0.8711111111111114,0.05106135691547296,0.05106135691547296
25,-2.220446049250313e-16,0.0057720596104529065,-2.2204460492502894e-16,0.005772059610452891,0.8711111111111107,0.8395340219046492,0.051061356915473345,0.0567948344843039
50,1.9095836023552692e-14,0.026868556777735586,1.909583602355226e-14,0.026868556777735593,0.8711111111111121,0.7388574875795177,0.05106135691547536,0.07333151081274741
75,2.7476909636448e-12,0.07288331252320113,2.747690963644707e-12,0.0728833125232014,0.8711111111117003,0.5864152220017622,0.05106135691563895,0.0978426548699608
100,3.8732239637795374e-10,0.1520976078056303,3.8732239637794376e-10,0.15209760780563203,0.8711111111938777,0.4466422179227397,0.05106135693872939,0.12439463637577536
125,5.4519252445928146e-08,0.2591824472638311,5.4519252445926405e-08,0.25918244726383394,0.8711111227598225,0.36885925533566777,0.05106136018854186,0.1436792712550742
150,7.672998134200526e-06,0.36890433893136,7.67299813420027e-06,0.36890433893136443,0.8711127505058206,0.36246848555578504,0.05106181752071407,0.145623053552329
200,0.08858278507416117,0.490865627248263,0.08858278507415891,0.49086562724827326,0.8886412093769167,0.5551584215206352,0.05223117135668555,0.1033880381730117
300,0.4661150161910177,0.49572428336526464,0.46611501619100654,0.4957242833652774,0.9388229049512058,0.816718034029168,0.04309600740754967,0.06063841851379254
500,0.4906693415835539,0.030765701367312714,0.4906693415835258,0.0307657013673141,0.9968442490172038,0.6964364111803162,0.008926810694722759,0.08011004977565594
750,0.39729022859216556,0.4926784284855148,0.39729022859215046,0.492678428485542,0.9999277215940128,0.573964974593836,0.0013450878164047119,0.10047509609317179
1000,0.40083681081538636,0.11559031309539058,0.4008368108153923,0.11559031309539243,0.9999955407381668,0.4809656624487334,0.00033384039776297584,0.11832663374196813
1500,0.40321056211608475,0.20223180893630022,0.40321056211609363,0.2022318089362997,0.9999999883070994,0.3896224279392183,1.709774509812253e-05,0.14079751258529863
2000,0.40320157999323347,0.25191008769965784,0.4032015799932351,0.25191008769965584,0.9999999999285759,0.3640280836020588,1.3362654111581544e-06,0.1494839810350298
3000,0.403199921924127,0.24074886129999185,0.4031999219241565,0.24074886129999942,0.9999999999999991,0.36438568198188254,4.746100602771111e-09,0.15189920853855482
4000,0.40319991889260365,0.14062230147619625,0.4031999188926766,0.1406223014761949,0.9999999999999998,0.42094709754642334,1.852405160836857e-11,0.13717980275746244
5000,0.40319991889338824,0.06408985965533365,0.4031999188934159,0.06408985965532893,1.0000000000000002,0.510257490636721,6.687676311310642e-14,0.11733405552610703
7500,0.40319991889336804,0.6502521444816536,0.40319991889328494,0.6502521444816243,0.9999999999999998,0.3690316362098258,6.177595570610135e-15,0.17093453057017238
10000,0.40319991889344386,0.7001156009577473,0.4031999188932382,0.7001156009577159,1.0,0.3359640535650132,1.199232313383873e-14,0.21006872284725348
15000,0.40319991889339524,0.8400534183222577,0.40319991889299117,0.840053418322117,1.0000000000000002,0.3976725178299031,2.5162758482202865e-14,0.21681700827373268
20000,0.40319991889372875,0.7567582381181736,0.40319991889297385,0.7567582381182345,1.0,0.3054648496483783,1.2186866104235944e-14,0.2381086026069347
25000,0.4031999188939438,0.7758563326413643,0.4031999188929721,0.7758563326414827,1.0,0.304725897961531,4.6211521404892064e-14,0.24033859951084968
30000,0.40319991889404505,0.7620079973095597,0.40319991889303625,0.7620079973096757,0.9999999999999998,0.306174046982174,1.7173305700717014e-14,0.24411212964386475
35000,0.4031999188938771,0.7958609870699654,0.40319991889294465,0.7958609870701356,1.0,0.30723380329927164,5.5546298092280335e-14,0.24604416674309687
40000,0.4031999188939387,0.7816874751036647,0.4031999188930244,0.7816874751040325,1.0,0.30745117876572975,9.723953341047722e-14,0.2487252358470494
