case,N,M,rank,final_H_perp,r2_min,r2_max,classes_tol1e-6,classes_tol1e-2
N=10,10,45,9,6.5787375547188276e-12,0.0490804754060361,0.04908096461017931,45,38
N=11,11,55,10,0.0,0.04311934045069931,0.04311934045656252,55,37
