step,takagi_r1,takagi_r2,takagi_r3,takagi_r4,takagi_r5,takagi_r6,takagi_r7,takagi_r8,takagi_r9,takagi_r10
0,0.3899217488104132,0.3167527011545371,0.2886284197044398,0.257798456397534,0.25197374196635014,0.23177861854631832,0.18992154721921753,0.18154030033603152,0.13745837328671628,1.773424419626007e-09
1,0.38992174881041125,0.31675270115453824,0.28862841970444486,0.2577984563975331,0.2519737419663514,0.2317786185463161,0.18992154721922241,0.18154030033602947,0.13745837328671756,3.4804690267796325e-09
2,0.3899217488104087,0.3167527011545389,0.28862841970444936,0.25779845639753207,0.25197374196635247,0.23177861854631338,0.189921547219227,0.1815403003360271,0.13745837328671862,2.6570117525389526e-09
3,0.38992174881040637,0.3167527011545396,0.2886284197044541,0.25779845639753085,0.25197374196635364,0.2317786185463107,0.1899215472192316,0.1815403003360246,0.13745837328671934,3.0155705919816726e-09
4,0.389921748810404,0.3167527011545399,0.28862841970445857,0.25779845639752946,0.2519737419663545,0.23177861854630774,0.18992154721923613,0.1815403003360221,0.1374583732867201,1.8444267993394715e-09
5,0.3899217488104025,0.31675270115454074,0.28862841970446346,0.25779845639752863,0.25197374196635597,0.23177861854630516,0.18992154721924082,0.18154030033601984,0.13745837328672092,2.4439188795682965e-09
6,0.38992174881040087,0.31675270115454157,0.2886284197044681,0.25779845639752774,0.2519737419663574,0.23177861854630274,0.18992154721924545,0.18154030033601742,0.13745837328672156,3.0174200845388604e-09
7,0.389921748810399,0.3167527011545421,0.28862841970447245,0.2577984563975267,0.2519737419663585,0.23177861854630005,0.18992154721924967,0.18154030033601473,0.13745837328672209,2.9552989958219802e-09
8,0.3899217488103968,0.3167527011545425,0.28862841970447667,0.2577984563975254,0.25197374196635974,0.23177861854629733,0.1899215472192539,0.18154030033601187,0.13745837328672236,2.7870457654243985e-09
9,0.38992174881039515,0.31675270115454307,0.288628419704481,0.2577984563975242,0.2519737419663611,0.23177861854629478,0.18992154721925825,0.181540300336009,0.13745837328672267,2.15856924024191e-09
10,0.38992174881039315,0.31675270115454335,0.288628419704485,0.25779845639752286,0.2519737419663621,0.2317786185462918,0.18992154721926224,0.181540300336006,0.13745837328672264,2.9433061547304787e-09
11,0.3899217488103913,0.31675270115454357,0.288628419704489,0.25779845639752164,0.2519737419663633,0.23177861854628898,0.18992154721926618,0.18154030033600294,0.1374583732867226,3.227614161240591e-09
12,0.3899217488103902,0.3167527011545443,0.2886284197044933,0.2577984563975207,0.25197374196636474,0.23177861854628654,0.1899215472192704,0.18154030033600005,0.13745837328672256,2.9226307974873687e-09
13,0.38992174881038916,0.3167527011545449,0.2886284197044976,0.2577984563975197,0.2519737419663661,0.23177861854628387,0.18992154721927462,0.18154030033599708,0.13745837328672242,2.381901035905439e-09
14,0.38992174881038716,0.3167527011545449,0.28862841970450115,0.25779845639751814,0.25197374196636707,0.23177861854628082,0.18992154721927823,0.18154030033599342,0.13745837328672197,2.5200767318066116e-09
15,0.38992174881038577,0.31675270115454507,0.2886284197045051,0.2577984563975168,0.2519737419663683,0.23177861854627776,0.189921547219282,0.18154030033599017,0.1374583732867214,3.1929804508910998e-09
16,0.38992174881038477,0.3167527011545455,0.2886284197045091,0.2577984563975157,0.2519737419663698,0.23177861854627504,0.18992154721928592,0.18154030033598692,0.1374583732867208,1.0903579857512766e-09
17,0.3899217488103835,0.3167527011545457,0.28862841970451286,0.25779845639751425,0.25197374196637107,0.23177861854627196,0.18992154721928955,0.18154030033598348,0.1374583732867201,1.914890851361221e-09
18,0.3899217488103824,0.31675270115454573,0.2886284197045165,0.257798456397513,0.2519737419663724,0.23177861854626905,0.18992154721929314,0.18154030033597987,0.13745837328671917,1.6792827650698263e-09
19,0.3899217488103825,0.3167527011545468,0.28862841970452097,0.2577984563975122,0.25197374196637434,0.23177861854626666,0.18992154721929713,0.18154030033597685,0.13745837328671862,3.373956506621144e-09
20,0.38992174881038144,0.31675270115454685,0.2886284197045245,0.25779845639751064,0.2519737419663757,0.23177861854626367,0.18992154721930052,0.1815403003359731,0.13745837328671764,1.399854648496386e-09
21,0.38992174881038033,0.3167527011545469,0.28862841970452807,0.257798456397509,0.251973741966377,0.23177861854626056,0.18992154721930385,0.18154030033596927,0.1374583732867165,3.202453018038126e-09
22,0.38992174881038,0.31675270115454723,0.2886284197045319,0.25779845639750765,0.25197374196637856,0.23177861854625773,0.18992154721930732,0.1815403003359657,0.13745837328671542,2.4458153636360305e-09
23,0.38992174881037944,0.31675270115454746,0.28862841970453545,0.25779845639750626,0.25197374196638017,0.23177861854625478,0.1899215472193105,0.1815403003359617,0.13745837328671417,1.918804081038688e-09
24,0.3899217488103787,0.3167527011545475,0.2886284197045388,0.2577984563975048,0.2519737419663816,0.23177861854625187,0.18992154721931345,0.18154030033595756,0.1374583732867125,1.5766244452702194e-09
25,0.3899217488103779,0.3167527011545472,0.288628419704542,0.25779845639750304,0.2519737419663829,0.23177861854624862,0.1899215472193162,0.18154030033595328,0.13745837328671082,2.395613686916069e-09
26,0.3899217488103777,0.3167527011545475,0.2886284197045455,0.2577984563975018,0.2519737419663847,0.2317786185462457,0.18992154721931914,0.18154030033594928,0.13745837328670923,3.665486360399896e-09
27,0.3899217488103778,0.31675270115454773,0.2886284197045489,0.2577984563975004,0.25197374196638656,0.23177861854624288,0.1899215472193221,0.1815403003359453,0.13745837328670754,2.3247043058523568e-09
28,0.38992174881037717,0.31675270115454734,0.2886284197045519,0.2577984563974986,0.25197374196638783,0.2317786185462394,0.18992154721932467,0.18154030033594085,0.1374583732867055,2.1132288101853013e-09
29,0.38992174881037733,0.3167527011545475,0.28862841970455533,0.25779845639749704,0.25197374196638955,0.23177861854623646,0.18992154721932727,0.1815403003359367,0.13745837328670357,1.795891740661224e-09
30,0.38992174881037717,0.31675270115454734,0.28862841970455827,0.2577984563974953,0.251973741966391,0.23177861854623327,0.18992154721932977,0.18154030033593235,0.13745837328670124,2.2225132793935936e-09
31,0.38992174881037706,0.31675270115454673,0.28862841970456116,0.25779845639749327,0.25197374196639244,0.23177861854622964,0.189921547219332,0.18154030033592788,0.13745837328669888,1.9880468955904675e-09
32,0.3899217488103774,0.31675270115454685,0.28862841970456427,0.2577984563974919,0.2519737419663944,0.2317786185462267,0.18992154721933438,0.1815403003359234,0.1374583732866964,2.8514822068876828e-09
33,0.3899217488103772,0.3167527011545464,0.28862841970456704,0.2577984563974898,0.2519737419663956,0.2317786185462232,0.1899215472193363,0.18154030033591861,0.1374583732866937,2.2590827488559485e-09
34,0.38992174881037706,0.3167527011545456,0.2886284197045694,0.25779845639748755,0.25197374196639655,0.23177861854621948,0.18992154721933807,0.1815403003359137,0.13745837328669086,3.987499538758243e-09
35,0.389921748810377,0.31675270115454496,0.2886284197045719,0.25779845639748544,0.2519737419663978,0.23177861854621595,0.18992154721933988,0.18154030033590873,0.13745837328668792,1.191015693520233e-09
36,0.3899217488103779,0.31675270115454474,0.2886284197045748,0.25779845639748383,0.2519737419663996,0.2317786185462129,0.1899215472193418,0.18154030033590407,0.13745837328668514,1.5637755298665531e-09
37,0.3899217488103785,0.3167527011545444,0.28862841970457753,0.2577984563974818,0.25197374196640115,0.23177861854620957,0.1899215472193435,0.1815403003358992,0.13745837328668217,1.832231930901053e-09
38,0.38992174881037917,0.31675270115454374,0.28862841970458003,0.2577984563974796,0.2519737419664025,0.2317786185462061,0.18992154721934507,0.18154030033589427,0.13745837328667893,1.4088026081631348e-09
39,0.38992174881038033,0.31675270115454357,0.288628419704583,0.25779845639747767,0.2519737419664042,0.2317786185462028,0.18992154721934673,0.18154030033588947,0.1374583732866757,2.7924108998480367e-09
40,0.3899217488103811,0.3167527011545431,0.2886284197045854,0.2577984563974756,0.25197374196640565,0.2317786185461993,0.18992154721934798,0.18154030033588425,0.13745837328667224,3.836936035557641e-09
41,0.3899217488103819,0.3167527011545422,0.28862841970458764,0.25779845639747323,0.251973741966407,0.23177861854619577,0.18992154721934923,0.18154030033587917,0.13745837328666846,2.8874307862740156e-09
42,0.38992174881038244,0.3167527011545411,0.28862841970458947,0.2577984563974707,0.2519737419664081,0.23177861854619197,0.18992154721935003,0.18154030033587365,0.13745837328666466,2.6799274890342965e-09
43,0.38992174881038333,0.3167527011545402,0.2886284197045916,0.2577984563974682,0.2519737419664094,0.23177861854618823,0.18992154721935092,0.18154030033586824,0.1374583732866607,3.056966586808376e-09
44,0.3899217488103844,0.3167527011545393,0.2886284197045937,0.2577984563974659,0.2519737419664109,0.23177861854618473,0.18992154721935167,0.1815403003358629,0.1374583732866567,2.7587175397940254e-09
45,0.3899217488103856,0.3167527011545385,0.2886284197045959,0.2577984563974634,0.25197374196641226,0.2317786185461809,0.1899215472193524,0.18154030033585744,0.13745837328665264,1.630911073799249e-09
46,0.389921748810387,0.31675270115453763,0.288628419704598,0.25779845639746096,0.2519737419664138,0.23177861854617718,0.18992154721935295,0.18154030033585206,0.1374583732866486,2.810035087644829e-09
47,0.3899217488103881,0.3167527011545365,0.28862841970459996,0.2577984563974582,0.2519737419664151,0.23177861854617332,0.18992154721935334,0.18154030033584634,0.13745837328664418,3.0963465210939134e-09
48,0.3899217488103893,0.3167527011545353,0.2886284197046017,0.25779845639745536,0.25197374196641625,0.23177861854616932,0.18992154721935348,0.1815403003358405,0.1374583732866397,2.1386627741061484e-09
49,0.3899217488103916,0.3167527011545349,0.2886284197046042,0.2577984563974533,0.2519737419664184,0.23177861854616616,0.18992154721935406,0.18154030033583501,0.13745837328663538,2.401201777808334e-09
50,0.3899217488103932,0.3167527011545335,0.28862841970460584,0.25779845639745047,0.25197374196641975,0.2317786185461621,0.1899215472193541,0.18154030033582927,0.1374583732866307,3.3435905691297223e-09
51,0.38992174881039443,0.316752701154532,0.28862841970460734,0.2577984563974474,0.25197374196642097,0.23177861854615808,0.1899215472193539,0.18154030033582327,0.13745837328662558,1.8211029202494661e-09
52,0.38992174881039676,0.3167527011545313,0.28862841970460945,0.25779845639744486,0.2519737419664228,0.23177861854615456,0.18992154721935398,0.18154030033581753,0.1374583732866209,1.9897956586207677e-09
53,0.389921748810399,0.3167527011545304,0.28862841970461145,0.257798456397442,0.25197374196642447,0.23177861854615092,0.18992154721935373,0.1815403003358117,0.13745837328661598,2.2532941219742005e-09
54,0.3899217488104014,0.3167527011545295,0.2886284197046135,0.25779845639743937,0.25197374196642625,0.23177861854614723,0.18992154721935345,0.18154030033580584,0.13745837328661092,1.5154229207359363e-09
