t,H,Q2_re,Q2_im,generator_norm
0,np.float64(48.608963739909704),np.float64(-15.3910362600903),np.float64(-0.6089637399096894),np.float64(5.559991858984384)
1,np.float64(48.60896373990971),np.float64(-15.391036260090274),np.float64(-0.6089637399096923),np.float64(5.798955163184784)
2,np.float64(48.6089637399098),np.float64(-15.391036260090296),np.float64(-0.6089637399096859),np.float64(6.696874770041495)
3,np.float64(48.60896373990978),np.float64(-15.391036260090276),np.float64(-0.6089637399097028),np.float64(6.391472290860722)
4,np.float64(48.60896373990984),np.float64(-15.391036260090274),np.float64(-0.6089637399096728),np.float64(6.787630417193907)
5,np.float64(48.60896373990987),np.float64(-15.391036260090251),np.float64(-0.608963739909691),np.float64(6.786262643147844)
6,np.float64(48.6089637399098),np.float64(-15.391036260090235),np.float64(-0.6089637399096919),np.float64(6.749563310741185)
7,np.float64(48.60896373990993),np.float64(-15.391036260090297),np.float64(-0.6089637399096984),np.float64(6.814498132553415)
8,np.float64(48.60896373990988),np.float64(-15.391036260090315),np.float64(-0.6089637399097714),np.float64(6.801514400964563)
9,np.float64(48.60896373990981),np.float64(-15.391036260090303),np.float64(-0.6089637399097794),np.float64(6.701833531277068)
10,np.float64(48.60896373990985),np.float64(-15.391036260090313),np.float64(-0.6089637399097567),np.float64(6.7978333209067205)
11,np.float64(48.60896373990967),np.float64(-15.391036260090258),np.float64(-0.6089637399097452),np.float64(6.785745061144585)
12,np.float64(48.60896373990964),np.float64(-15.391036260090264),np.float64(-0.6089637399097463),np.float64(6.780874312963942)
13,np.float64(48.60896373990968),np.float64(-15.391036260090262),np.float64(-0.6089637399098109),np.float64(6.852750601837783)
14,np.float64(48.608963739909804),np.float64(-15.391036260090313),np.float64(-0.608963739909754),np.float64(6.80831193327103)
15,np.float64(48.608963739909846),np.float64(-15.391036260090296),np.float64(-0.6089637399097803),np.float64(6.790257223297857)
16,np.float64(48.60896373990975),np.float64(-15.391036260090285),np.float64(-0.6089637399098251),np.float64(6.845046973693493)
17,np.float64(48.60896373990979),np.float64(-15.391036260090257),np.float64(-0.6089637399098775),np.float64(6.756149039533625)
18,np.float64(48.608963739909655),np.float64(-15.391036260090226),np.float64(-0.6089637399098827),np.float64(6.8588580484767645)
19,np.float64(48.6089637399096),np.float64(-15.391036260090221),np.float64(-0.6089637399098775),np.float64(6.803201156552217)
20,np.float64(48.60896373990968),np.float64(-15.391036260090228),np.float64(-0.6089637399098656),np.float64(6.891741169957912)
21,np.float64(48.608963739909655),np.float64(-15.39103626009023),np.float64(-0.6089637399098775),np.float64(6.750253688862134)
22,np.float64(48.60896373990976),np.float64(-15.391036260090242),np.float64(-0.608963739909929),np.float64(6.819888274690338)
23,np.float64(48.608963739909804),np.float64(-15.391036260090267),np.float64(-0.6089637399098997),np.float64(6.820410624507053)
24,np.float64(48.60896373990968),np.float64(-15.391036260090218),np.float64(-0.6089637399098948),np.float64(6.800269007201702)
25,np.float64(48.60896373990967),np.float64(-15.39103626009022),np.float64(-0.6089637399098766),np.float64(6.872621293208536)
26,np.float64(48.60896373990954),np.float64(-15.391036260090205),np.float64(-0.6089637399098846),np.float64(6.797308503266037)
27,np.float64(48.60896373990964),np.float64(-15.39103626009025),np.float64(-0.6089637399098962),np.float64(6.8138203338674925)
28,np.float64(48.60896373990964),np.float64(-15.391036260090235),np.float64(-0.6089637399098957),np.float64(6.7491131408870695)
29,np.float64(48.608963739909626),np.float64(-15.391036260090232),np.float64(-0.6089637399098917),np.float64(6.816639580386951)
30,np.float64(48.60896373990972),np.float64(-15.391036260090281),np.float64(-0.6089637399099233),np.float64(6.778200337519187)
31,np.float64(48.60896373990963),np.float64(-15.391036260090276),np.float64(-0.6089637399098948),np.float64(6.848456940604346)
32,np.float64(48.60896373990967),np.float64(-15.391036260090308),np.float64(-0.6089637399098675),np.float64(6.834066057034766)
33,np.float64(48.60896373990958),np.float64(-15.391036260090289),np.float64(-0.6089637399098811),np.float64(6.80407313767786)
34,np.float64(48.608963739909555),np.float64(-15.39103626009028),np.float64(-0.6089637399099068),np.float64(6.843920109635284)
35,np.float64(48.60896373990963),np.float64(-15.391036260090308),np.float64(-0.6089637399098817),np.float64(6.784680457077316)
36,np.float64(48.60896373990977),np.float64(-15.391036260090347),np.float64(-0.6089637399098617),np.float64(6.867770441639471)
37,np.float64(48.60896373990984),np.float64(-15.39103626009042),np.float64(-0.6089637399098649),np.float64(6.797311004062898)
38,np.float64(48.608963739909825),np.float64(-15.391036260090434),np.float64(-0.6089637399098058),np.float64(6.906834945871452)
39,np.float64(48.60896373990983),np.float64(-15.391036260090432),np.float64(-0.608963739909802),np.float64(6.780107409677123)
40,np.float64(48.60896373990985),np.float64(-15.391036260090429),np.float64(-0.6089637399098078),np.float64(6.847503610848426)
41,np.float64(48.60896373990994),np.float64(-15.391036260090464),np.float64(-0.608963739909762),np.float64(6.834805255671753)
42,np.float64(48.60896373990989),np.float64(-15.391036260090447),np.float64(-0.6089637399097643),np.float64(6.813205143125364)
43,np.float64(48.60896373991003),np.float64(-15.391036260090477),np.float64(-0.6089637399097794),np.float64(6.873870563002163)
44,np.float64(48.608963739909875),np.float64(-15.391036260090438),np.float64(-0.6089637399097869),np.float64(6.812162676497986)
45,np.float64(48.608963739909996),np.float64(-15.391036260090495),np.float64(-0.6089637399097372),np.float64(6.836940085072627)
46,np.float64(48.60896373990997),np.float64(-15.391036260090514),np.float64(-0.6089637399097843),np.float64(6.758146357682011)
47,np.float64(48.60896373991005),np.float64(-15.391036260090543),np.float64(-0.6089637399097683),np.float64(6.834800103814353)
48,np.float64(48.60896373991001),np.float64(-15.391036260090516),np.float64(-0.6089637399097367),np.float64(6.75413835493564)
49,np.float64(48.608963739909925),np.float64(-15.391036260090504),np.float64(-0.6089637399097274),np.float64(6.8392900334863524)
50,np.float64(48.60896373990991),np.float64(-15.391036260090484),np.float64(-0.6089637399097518),np.float64(6.843891058449034)
51,np.float64(48.6089637399097),np.float64(-15.391036260090392),np.float64(-0.6089637399097145),np.float64(6.789054944729358)
52,np.float64(48.60896373990971),np.float64(-15.391036260090402),np.float64(-0.6089637399096812),np.float64(6.841406726126634)
53,np.float64(48.608963739909754),np.float64(-15.391036260090402),np.float64(-0.6089637399096863),np.float64(6.791800818877318)
54,np.float64(48.60896373990978),np.float64(-15.391036260090402),np.float64(-0.6089637399096945),np.float64(6.8585963432230415)
55,np.float64(48.60896373990987),np.float64(-15.391036260090416),np.float64(-0.608963739909732),np.float64(6.7707775085052795)
56,np.float64(48.60896373990982),np.float64(-15.391036260090406),np.float64(-0.6089637399097292),np.float64(6.875830246369521)
57,np.float64(48.608963739909676),np.float64(-15.391036260090353),np.float64(-0.6089637399097465),np.float64(6.779077211182761)
58,np.float64(48.60896373990954),np.float64(-15.391036260090289),np.float64(-0.6089637399097625),np.float64(6.834256788481899)
59,np.float64(48.60896373990956),np.float64(-15.391036260090278),np.float64(-0.6089637399097936),np.float64(6.86780864075526)
60,np.float64(48.60896373990944),np.float64(-15.391036260090244),np.float64(-0.608963739909798),np.float64(6.794774627256771)
61,np.float64(48.608963739909555),np.float64(-15.391036260090262),np.float64(-0.6089637399098249),np.float64(6.877880035387827)
62,np.float64(48.60896373990966),np.float64(-15.39103626009028),np.float64(-0.6089637399098144),np.float64(6.811225023460549)
63,np.float64(48.608963739909754),np.float64(-15.391036260090315),np.float64(-0.6089637399097843),np.float64(6.8606996260511846)
64,np.float64(48.608963739909555),np.float64(-15.391036260090235),np.float64(-0.608963739909806),np.float64(6.778336159901906)
65,np.float64(48.60896373990961),np.float64(-15.391036260090239),np.float64(-0.6089637399098415),np.float64(6.852814888669113)
66,np.float64(48.60896373990976),np.float64(-15.39103626009027),np.float64(-0.6089637399098762),np.float64(6.796674806913782)
67,np.float64(48.6089637399098),np.float64(-15.391036260090262),np.float64(-0.6089637399099015),np.float64(6.8430118546820005)
68,np.float64(48.6089637399098),np.float64(-15.39103626009026),np.float64(-0.6089637399099028),np.float64(6.874293742475014)
69,np.float64(48.608963739909655),np.float64(-15.391036260090246),np.float64(-0.608963739909872),np.float64(6.795777560834649)
70,np.float64(48.608963739909754),np.float64(-15.391036260090267),np.float64(-0.6089637399098851),np.float64(6.885493200870465)
71,np.float64(48.608963739909726),np.float64(-15.391036260090265),np.float64(-0.6089637399098873),np.float64(6.801229076102758)
72,np.float64(48.6089637399098),np.float64(-15.3910362600903),np.float64(-0.6089637399098502),np.float64(6.8738161369688715)
73,np.float64(48.60896373990979),np.float64(-15.39103626009027),np.float64(-0.6089637399098324),np.float64(6.806473310040833)
74,np.float64(48.60896373990981),np.float64(-15.391036260090269),np.float64(-0.6089637399097908),np.float64(6.862412673378468)
75,np.float64(48.608963739909754),np.float64(-15.391036260090218),np.float64(-0.6089637399097538),np.float64(6.8328877293330486)
76,np.float64(48.60896373990985),np.float64(-15.391036260090226),np.float64(-0.6089637399097307),np.float64(6.839606820789216)
77,np.float64(48.608963739909626),np.float64(-15.391036260090207),np.float64(-0.6089637399097957),np.float64(6.885534081934732)
78,np.float64(48.608963739909626),np.float64(-15.391036260090218),np.float64(-0.6089637399097991),np.float64(6.808772247875055)
79,np.float64(48.608963739909655),np.float64(-15.391036260090225),np.float64(-0.6089637399098263),np.float64(6.8991871285593085)
80,np.float64(48.6089637399096),np.float64(-15.39103626009022),np.float64(-0.6089637399098486),np.float64(6.8118046835119515)
81,np.float64(48.60896373990972),np.float64(-15.391036260090239),np.float64(-0.6089637399098622),np.float64(6.876341289896094)
82,np.float64(48.608963739909704),np.float64(-15.391036260090244),np.float64(-0.6089637399098184),np.float64(6.824096275927649)
83,np.float64(48.608963739909896),np.float64(-15.391036260090278),np.float64(-0.6089637399098136),np.float64(6.856414876100865)
84,np.float64(48.608963739909875),np.float64(-15.391036260090296),np.float64(-0.6089637399098586),np.float64(6.860436006482962)
85,np.float64(48.60896373990989),np.float64(-15.391036260090328),np.float64(-0.6089637399098484),np.float64(6.848080760749024)
86,np.float64(48.60896373990985),np.float64(-15.391036260090331),np.float64(-0.6089637399098958),np.float64(6.876204289075647)
87,np.float64(48.60896373990994),np.float64(-15.391036260090345),np.float64(-0.6089637399099355),np.float64(6.826804097292831)
88,np.float64(48.60896373990993),np.float64(-15.391036260090349),np.float64(-0.6089637399099217),np.float64(6.891613159357515)
89,np.float64(48.60896373990985),np.float64(-15.39103626009037),np.float64(-0.6089637399099457),np.float64(6.818772467716315)
90,np.float64(48.60896373990984),np.float64(-15.391036260090385),np.float64(-0.6089637399099217),np.float64(6.875493583294176)
91,np.float64(48.60896373990986),np.float64(-15.391036260090397),np.float64(-0.6089637399098824),np.float64(6.840684676829942)
92,np.float64(48.60896373990987),np.float64(-15.391036260090392),np.float64(-0.6089637399099372),np.float64(6.855544514941367)
